Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,5,0.27675030000682455
0.0,2,0,0.3214099000033457
0.0,2,40,0.2398527000041213
0.0,2,0,0.29201689999899827
0.0,2,35,0.24139329999161419
0.0,2,5,0.2433722999994643
0.0,2,0,0.30829079999239184
0.0,2,15,0.28122209999128245
0.0,2,20,0.2543658000067808
0.0,2,35,0.2814664999896195
0.0,2,25,0.31863049999810755
0.0,2,15,0.2210209000040777
0.0,2,35,0.2720108999928925
0.0,2,5,0.27655029999732506
0.0,2,35,0.12004829999932554
0.0,2,20,0.26444199999968987
0.0,2,10,0.22929149999981746
0.0,2,10,0.23065860000497196
0.0,2,35,0.2430607999995118
0.0,2,15,0.3150748000043677
0.0,2,40,0.23326619999716058
0.0,2,25,0.24525419999554288
0.0,2,35,0.2839819999935571
0.0,2,40,0.2603579999995418
0.0,2,15,0.2594375000044238
0.0,2,25,0.2596230000053765
0.0,2,15,0.2605607000004966
0.0,2,40,0.26024580000375863
0.0,2,25,0.262301100010518
0.0,2,0,0.2942343000031542
0.0,2,40,0.2529160999984015
0.0,2,10,0.25230830001237337
0.0,2,5,0.26281610000296496
0.0,2,35,0.3053610000060871
0.0,2,15,0.28193349999492057
0.0,2,30,0.28327729999728035
0.0,2,35,0.2669620000087889
0.0,2,0,0.2722161999990931
0.0,2,30,0.28310159999819007
0.0,2,40,0.31304710000404157
0.0,2,30,0.2568189000012353
0.0,2,5,0.27908629999728873
0.0,2,35,0.25849120000202674
0.0,2,20,0.27809249999700114
0.0,2,20,0.2648053000011714
0.0,2,10,0.22478330000012647
0.0,2,15,0.23531150000053458
0.0,2,0,0.35678180000104476
0.0,2,25,0.3060510999930557
0.0,2,15,0.2626676999934716
0.0,2,20,0.2833399999944959
0.0,2,40,0.26440839999122545
0.0,2,20,0.2643351000006078
0.0,2,30,0.25208430000930093
0.0,2,30,0.28316939999058377
0.0,2,10,0.2631795999914175
0.0,2,5,0.24707319999288302
0.0,2,40,0.2563148000044748
0.0,2,10,0.28265969999483787
0.0,2,5,0.26719869999215007
0.0,2,10,0.26965499999641906
0.0,2,30,0.27502190000086557
0.0,2,40,0.3076308000017889
0.0,2,10,0.25103990000206977
0.0,2,25,0.2652422000101069
0.0,2,20,0.2572166999889305
0.0,2,20,0.22854880000522826
0.0,2,25,0.2304677000065567
0.0,2,0,0.27836650000244845
0.0,2,20,0.240454700004193
0.0,2,30,0.24085740000009537
0.0,2,25,0.25920650000625756
