Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,15,0.3707960000028834
90.0,0,40,0.4105191999988165
90.0,0,25,0.3276546999986749
90.0,0,0,0.32571099999768194
0.0,0,10,0.3111549000022933
90.0,0,20,0.33676820000982843
0.0,0,5,0.34105319999798667
0.0,0,10,0.3650573000049917
90.0,0,30,0.38551490000099875
0.0,0,5,0.4224121000006562
0.0,0,35,0.4279062999994494
90.0,0,25,0.3834745999920415
90.0,0,20,0.3242811000091024
90.0,0,15,0.3143491999944672
0.0,0,10,0.35170290000678506
0.0,0,25,0.38481160000083037
0.0,0,40,0.5604991000000155
90.0,0,35,0.3622204999992391
0.0,0,25,0.3944876000023214
0.0,0,20,0.3769031999981962
0.0,0,20,0.3931564999948023
90.0,0,15,0.4250778999994509
0.0,0,10,0.4368845999997575
90.0,0,20,0.3236314000096172
0.0,0,35,0.39986510000017006
90.0,0,0,0.35437200000160374
0.0,0,15,0.3665932000003522
90.0,0,0,0.3419235000037588
0.0,0,0,0.3551562000066042
90.0,0,40,0.40851979999570176
0.0,0,5,0.3746525000024121
90.0,0,15,0.42987799999536946
90.0,0,30,0.39813349999894854
0.0,0,15,0.38439829999697395
90.0,0,40,0.35564689998864196
90.0,0,10,0.4375489999947604
0.0,0,30,0.4181772000010824
90.0,0,10,0.4406587999983458
0.0,0,30,0.41341059999831486
90.0,0,40,0.39940359999309294
90.0,0,0,0.4283313000050839
90.0,0,5,0.3413255999912508
0.0,0,30,0.3985021999978926
0.0,0,0,0.4082281000009971
90.0,0,35,0.40641219999815803
90.0,0,25,0.3893355000036536
90.0,0,25,0.3612083999905735
0.0,0,25,0.4634475999919232
0.0,0,30,0.47649339999770746
90.0,0,20,0.3497198999975808
0.0,0,15,0.4388481000059983
90.0,0,20,0.3524053000001004
90.0,0,30,0.34547919999749865
90.0,0,10,0.45780079999531154
0.0,0,25,0.4205101999978069
0.0,0,35,0.4052129000046989
0.0,0,20,0.45957789999374654
90.0,0,40,0.3086046999960672
0.0,0,35,0.35986050000065006
0.0,0,20,0.37908189999870956
