Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.4260673999961
0.0,2,5,0.40270730000338517
90.0,2,40,0.3232669999997597
0.0,2,35,0.4093031000084011
0.0,2,30,0.3089532000012696
90.0,2,10,0.2876308999984758
0.0,2,40,0.327391600003466
0.0,2,35,0.5800117999897338
90.0,2,10,0.3190013999992516
90.0,2,35,0.3321772999915993
0.0,2,25,0.27963119999913033
0.0,2,40,0.37603529999614693
0.0,2,25,0.4134904000093229
90.0,2,25,0.3015804000024218
0.0,2,20,0.24318579999089707
0.0,2,35,0.3784744000004139
90.0,2,0,0.317817200004356
0.0,2,10,0.3283335000014631
0.0,2,10,0.38081469999451656
0.0,2,35,0.37466349999886006
0.0,2,20,0.3412821000092663
0.0,2,10,0.31616020000365097
0.0,2,5,0.38196050000260584
0.0,2,5,0.3842945000069449
0.0,2,25,0.36486479999439325
90.0,2,0,0.35731720000330824
0.0,2,15,0.26443160000781063
90.0,2,30,0.4066735999949742
0.0,2,40,0.47910609999962617
0.0,2,30,0.39857069999561645
90.0,2,10,0.3473890000022948
90.0,2,20,0.35933720000321046
90.0,2,0,0.3299881999992067
0.0,2,15,0.34899030000087805
90.0,2,40,0.3249109000025783
0.0,2,0,0.49155659999814816
0.0,2,5,0.36361650000617374
0.0,2,20,0.2639157000085106
0.0,2,10,0.45795450000150595
90.0,2,10,0.34448290000727866
90.0,2,0,0.3631509999977425
0.0,2,30,0.3299926999898162
0.0,2,25,0.3336990999960108
90.0,2,5,0.27411749999737367
0.0,2,25,0.36771230000886135
0.0,2,15,0.33885270000610035
0.0,2,0,0.3560108000092441
90.0,2,25,0.30317089999152813
0.0,2,20,0.40790569999080617
90.0,2,5,0.384803799999645
0.0,2,15,0.39048330001241993
90.0,2,5,0.37157550000119954
0.0,2,5,0.33659750000515487
90.0,2,25,0.28510670000105165
0.0,2,25,0.3081317000032868
90.0,2,30,0.2909979999967618
90.0,2,5,0.3007779000035953
0.0,2,15,0.37712599999213126
90.0,2,20,0.3082903000031365
90.0,2,35,0.38818499998888
0.0,2,10,0.40004740000586025
90.0,2,20,0.3094563000049675
90.0,2,0,0.3804344999953173
90.0,2,0,0.37064220001047943
0.0,2,30,0.40485910000279546
0.0,2,15,0.43811859999550506
90.0,2,30,0.338479300000472
0.0,2,15,0.34699669999827165
0.0,2,35,0.4480653000064194
0.0,2,40,0.4027746999927331
90.0,2,20,0.345560600006138
90.0,2,30,0.41425109999545384
0.0,2,10,0.39119929999287706
90.0,2,30,0.28482800000347197
90.0,2,30,0.3067095000005793
0.0,2,35,0.4768555000046035
90.0,2,35,0.45222399999329355
0.0,2,15,0.3369183000031626
0.0,2,20,0.32766629999969155
0.0,2,5,0.44359179999446496
