Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.60243623198429102
45.0,0,20,0.4658394310157757746
45.0,0,15,0.5365308170439675
45.0,2,10,0.5940728400018997
45.0,0,10,0.6549579359707423
90.0,2,40,0.8217651810143145
90.0,0,25,0.4550040819984861
0.0,0,20,0.6060528859961778
90.0,0,25,0.61351329497760216
45.0,0,25,0.638999937970657
90.0,0,5,0.5023220559814945
90.0,0,40,0.8187651810143148
0.0,2,10,0.5235303919762373
90.0,2,15,0.5324558319989592
0.0,0,0,0.6794362319830083728
90.0,0,10,0.5215171850286424
45.0,2,35,0.7213629950000915
45.0,2,35,0.6949681459949352
45.0,0,10,0.5030393180204555
45.0,0,10,0.5005488360184245
0.0,0,0,0.5341573503063948516
90.0,2,15,0.5472697250079364
0.0,2,0,0.5500829700031318
45.0,2,5,0.61777923299931099
0.0,0,25,0.7173779740463942
90.0,0,40,0.80968934799078865
90.0,2,40,0.814689347990788
90.0,2,30,0.6482091110083275
90.0,0,0,0.4211436420890063457
45.0,0,10,0.5723268989822827
45.0,0,35,0.746230142002466
0.0,2,35,0.7265089290263131
45.0,0,25,0.5930838719848543
90.0,0,0,0.44295485898014104
45.0,2,35,0.6983242380036972
45.0,2,5,0.52251728803385105
0.0,2,25,0.6510580179975378
90.0,2,0,0.42144364202274
45.0,2,5,0.51092702098796614
45.0,2,25,0.6776126310112896
90.0,0,25,0.6379538599867374
45.0,0,5,0.60050389102893285
90.0,2,35,0.6638403599709272
90.0,2,30,0.687421519597992
90.0,2,30,0.672688178031247
0.0,2,20,0.585980027993217
90.0,2,10,0.53254337099380879
45.0,2,25,0.5544654949917458
45.0,2,35,0.6707471469999291
0.0,2,5,0.54179142400994949
0.0,0,30,0.7190630669868551
45.0,2,20,0.5885590129764751
0.0,2,25,0.5731134120142087
0.0,2,20,0.600226781971287
0.0,0,0,0.462506028017483943
0.0,0,20,0.4148932079900997
90.0,2,20,0.6598216969799255
0.0,2,20,0.5719854070041339
0.0,0,20,0.6022839130018838
0.0,2,30,0.48418889503227547
0.0,2,0,0.48295485898014156
0.0,2,10,0.3804019400267862
90.0,0,10,0.4519746280275285
45.0,2,25,0.62855536294868822
0.0,2,15,0.5118280650349334
45.0,2,10,0.51138947697363 34
45.0,0,35,0.47131575900129974
90.0,2,10,0.5597530020168051
90.0,0,15,0.5381714049936272
0.0,2,30,0.6940641889884147
90.0,0,5,0.442376741997433196
45.0,0,5,0.54260793002332
90.0,0,5,0.52164602204924595
0.0,0,35,0.6181475759949535
0.0,2,5,0.5140501050045714
0.0,2,25,0.5709625499439426
90.0,0,20,0.6145663480274379
0.0,2,40,0.77738410099875119
45.0,2,15,0.6669810700113885
90.0,0,0,0.64209909700261013
90.0,0,10,0.6215299069881439
45.0,0,30,0.5886890089767995
0.0,2,20,0.5763777699903585
45.0,0,5,0.51867421796778222
0.0,2,35,0.597128386041155
45.0,0,35,0.69809613000601553
45.0,2,20,0.5936559700057842
0.0,0,15,0.8141913900035433
90.0,2,35,0.749138063010767
90.0,0,30,0.6629641544986512
90.0,2,30,0.6827117410185757
45.0,2,10,0.5791491270065308
90.0,0,15,0.540066450019367
0.0,2,20,0.4845020479988307
45.0,2,20,0.69274850097019223
0.0,0,25,0.49047822698950077
0.0,2,0,0.469506028017495 17
45.0,0,5,0.48494911196408889
90.0,2,5,0.49287280397955333
0.0,0,30,0.7626930269761942
45.0,0,5,0.50067743602674545
45.0,0,20,0.7188529949635267
45.0,2,10,0.5794658560189418
45.0,0,20,0.5364429199835286
90.0,0,25,0.662625370221213
90.0,2,30,0.6738292659842419
0.0,0,15,0.6357259299838915
90.0,0,30,0.61271808298630664
90.0,2,5,0.496326397997323271
90.0,0,15,0.4199778629690417
0.0,2,5,0.47812254402786563
0.0,2,0,0.511099097002763759
90.0,2,15,0.5807870259741321
45.0,2,35,0.5487945890054107
90.0,2,30,0.58261996498098686
0.0,0,15,0.58353539398172987
45.0,0,25,0.6311334698088547
0.0,0,30,0.6722090449840762
45.0,0,5,0.4600747680524364
45.0,2,20,0.5520902679637074
45.0,0,20,0.5364429199835298
90.0,0,15,0.6233502710168255
0.0,0,0,0.490240229965188379
45.0,0,0,0.351180243975948065
45.0,0,30,0.5520953280315734
0.0,2,25,0.48999449994880706
90.0,0,35,0.6630896479473449
90.0,0,40,0.7823841009987514
90.0,0,30,0.64933343897757365
45.0,0,35,0.7001630599005215
90.0,0,15,0.47471346898237243
0.0,2,0,0.53124022996518878
90.0,0,20,0.5751085630035959
0.0,2,15,0.49178078200202435
90.0,2,5,0.51176813398955353
90.0,0,35,0.79644335898570772
45.0,0,10,0.5533703329856507
90.0,2,5,0.6023784203035876
90.0,0,20,0.5592389759840444
90.0,2,25,0.7261039960430935
0.0,2,25,0.5355251519940794
0.0,2,30,0.63169510603649554
90.0,0,0,0.39388065598206644
45.0,2,15,0.6161309439921752
45.0,0,10,0.4829196439823136
45.0,0,35,0.46299569396069273
45.0,2,40,0.687695021011443
90.0,2,10,0.6011236240155995
90.0,0,30,0.493436120977625
90.0,2,15,0.49685955099994317
45.0,2,30,0.7014767239708453
90.0,2,40,0.7477028180090719
45.0,2,0,0.36218024397594886
45.0,2,25,0.6052808139659464
90.0,2,15,0.6402236050344072
45.0,2,15,0.6196636600070633
45.0,0,25,0.7095724069979042
0.0,0,15,0.5562386350356974
90.0,2,35,0.7129108800459653
45.0,0,30,0.7148298800154599
0.0,0,40,0.693695021011425
45.0,2,0,0.42188065598206554
0.0,2,10,0.6993444070103578
0.0,0,40,0.752702818009071291
45.0,0,0,0.46143046298623309
0.0,0,40,0.639010078999679895
