Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,25,0.2791117
0,2,15,0.286107
0,0,40,0.2498454
0,0,15,0.0898653
0,0,10,0.0445881
0,0,5,0.1920917
0,2,0,0.2486586
0,2,35,0.4898144
0,0,0,0.2983367
0,2,40,0.2894667
0,0,35,0.204147
0,0,20,0.2475734
0,2,35,0.2940354
0,2,5,0.2698242
0,2,40,0.0555871
0,2,35,0.2385722
0,2,5,0.2223357
0,2,0,0.353211
0,2,40,0.2960607
0,2,5,0.1410467
0,2,40,0.2640437
0,0,25,0.3039047
0,0,25,0.2605557
0,0,10,0.2501758
0,2,5,0.3612545
0,2,30,0.2637998
0,0,25,0.2682908
0,0,20,0.3165403
0,0,10,0.3350389
0,0,30,0.2696208
0,2,30,0.1215394
0,2,30,0.312553
0,0,25,0.2266254
0,2,20,0.2807495
0,0,20,0.2449415
0,0,40,0.2943262
0,0,20,0.3863234
0,0,20,0.2747793
0,0,0,0.336427
0,2,15,0.2612049
0,2,5,0.2051953
0,2,25,0.2082912
0,0,25,0.0060685
0,0,30,0.190419
0,0,10,0.256176
0,2,30,0.328928
0,2,20,0.4180678
0,2,35,0.0434272
0,0,0,0.4037588
0,0,40,0.1454383
0,2,40,0.3104227
0,0,15,0.2563919
0,0,15,0.2880862
0,2,5,0.3297845
0,0,40,0.3164375
0,2,0,0.277226
0,0,20,0.1828064
0,2,25,0.3039002
0,2,20,0.3055929
0,2,30,0.2993902
0,0,5,0.1872746
0,2,15,0.2590585
0,2,20,0.2077576
0,0,25,0.304885
0,2,5,0.0592091
0,0,5,0.2520538
0,2,10,0.2560939
0,0,0,0.285883
0,2,15,0.3581113
0,0,10,0.1857478
0,0,35,0.2490189
0,2,20,0.2412119
0,0,35,0.3014856
0,2,15,0.3837892
0,0,30,0.2264809
0,0,0,0.1285154
0,2,30,0.2509369
0,2,10,0.2839704
0,0,15,0.2073388
0,2,30,0.4605159
0,0,20,0.3153247
0,2,0,0.2563885
0,0,40,0.4119884
0,0,30,0.2861025
0,2,25,0.3666789
0,2,40,0.404383
0,2,0,0.2786758
0,2,40,0.2978661
0,0,0,0.3511853
0,0,40,0.2374981
0,2,0,0.4444022
0,2,25,0.3873925
0,2,25,0.2441
0,0,15,0.3014486
0,0,10,0.2869799
0,2,25,0.3256723
0,0,10,0.2523461
0,0,30,0.2691627
0,2,15,0.2590236
0,0,15,0.2615835
0,0,0,0.0314
0,0,20,0.2809167
0,2,40,0.3126194
0,0,30,0.2198295
0,2,20,0.3120192
0,0,5,0.3304039
0,0,15,0.2818102
0,0,30,0.1868625
0,0,30,0.2622058
0,0,35,0.3031332
0,0,5,0.0988351
0,2,10,0.2866645
0,2,40,0.2146866
0,2,20,0.2648157
0,2,0,0.2717388
0,2,35,0.2948053
0,0,15,0.327675
0,0,20,0.2895443
0,2,10,0.0097827
0,0,30,0.3755794
0,0,30,0.3229645
0,2,15,0.3058684
0,2,35,0.4307725
0,0,0,0.3469119
0,0,35,0.4107086
0,0,5,0.3099855
0,0,40,0.5411594
0,0,5,0.3711548
0,2,35,0.3124165
0,2,10,0.2530536
0,2,10,0.3192769
0,2,15,0.282955
0,2,5,0.2647356
0,0,0,0.3321008
0,0,35,0.318482
0,2,25,0.3393955
0,0,35,0.2091904
0,0,25,0.3712248
0,0,35,0.2206702
0,2,10,0.3059111
0,0,40,0.3358569
0,0,5,0.2747579
0,2,20,0.2035895
0,0,25,0.3045808
0,2,35,0.202181
0,2,30,0.2811904
0,2,25,0.2351996
0,0,5,0.3072229
0,0,20,0.2712551
0,0,10,0.2484816
0,0,5,0.2165939
0,2,30,0.2302786
0,2,40,0.263479
0,2,30,0.2718725
0,2,0,0.3292363
0,0,15,0.283909
0,2,10,0.3131777
0,2,5,0.2218016
0,0,10,0.2386609
0,0,0,0.2615643
0,2,20,0.261018
0,2,25,0.3112697
0,2,0,0.2140905
0,2,5,0.2154387
0,0,10,0.2558594
0,0,40,0.3251453
0,2,15,0.2442129
0,2,10,0.2604923
0,0,35,0.2263549
0,2,0,0.1440398
0,0,15,0.2221983
0,2,10,0.263203
0,2,20,0.2336792
0,0,40,0.33205
0,0,25,0.4493139
0,2,35,0.3107815
0,0,35,0.2654098
0,2,25,0.2685063
0,2,35,0.2599874
0,2,15,0.2583806
