Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,15,0.5857695
90,0,40,0.5847033
90,2,25,0.5859967
0,0,0,0.3560346
90,2,30,0.5472923
0,0,10,0.5079467
0,0,0,0.356856
0,2,5,0.3628465
0,0,35,0.4619892
0,2,35,0.4466361
0,0,35,0.4663494
0,2,40,0.3835043
90,0,20,0.5437211
0,0,15,0.5516153
90,2,25,0.5373815
90,2,30,0.4327867
0,2,15,0.5190846
90,0,20,0.4920866
90,0,10,0.3467082
90,0,25,0.4748372
0,2,20,0.5384153
0,0,35,0.4503297
90,0,30,0.5080087
0,0,30,0.7200167
90,0,15,0.5340223
90,2,10,0.4723043
0,0,25,0.4606284
90,2,5,0.4478764
0,2,15,0.517392
0,0,20,0.6488742
0,2,25,0.3334374
90,2,30,0.4916601
90,2,25,0.474364
90,0,40,0.5357609
0,2,30,0.512677
90,2,10,0.5303785
90,0,20,0.4812518
90,0,20,0.4623417
0,2,10,0.5608818
0,2,15,0.3663267
90,2,0,0.5076734
0,0,30,0.6235543
90,0,0,0.4730338
0,0,40,0.5450983
90,2,40,0.6263684
90,2,15,0.544576
90,0,0,0.5028858
90,2,5,0.6298185
0,2,0,0.5212331
0,0,20,0.4430357
90,0,25,0.5092557
0,0,0,0.6320267
90,2,0,0.4800237
0,0,35,0.439105
90,2,20,0.4809098
0,0,30,0.5521551
0,0,35,0.5901604
0,0,20,0.5598205
0,0,10,0.4867588
90,0,10,0.5156007
0,2,40,0.55878
90,2,5,0.5152537
90,2,15,0.5352457
90,0,25,0.6738792
90,2,30,0.4945247
0,0,5,0.4602901
90,0,0,0.5294994
0,0,10,0.6499177
0,0,5,0.4989621
0,0,15,0.4686643
0,0,15,0.4639935
0,0,0,0.3858597
0,2,25,0.417244
0,2,15,0.39236
0,2,35,0.4128145
90,0,25,0.54915
90,2,15,0.4842109
90,0,0,0.4021194
90,0,25,0.531943
0,2,30,0.5389242
0,0,40,0.5866143
90,2,15,0.3793079
0,2,0,0.4961981
0,0,20,0.5171638
0,0,15,0.554499
0,2,5,0.4715169
0,0,10,0.5985077
90,2,10,0.5979006
0,0,20,0.6411844
90,2,25,0.5638218
90,2,20,0.4992959
0,0,0,0.4706068
0,2,40,0.8298039
90,0,35,0.5148231
90,0,40,0.5770669
0,2,5,0.5299961
90,0,10,0.4328227
0,2,10,0.5888231
90,0,30,0.5520383
0,0,5,0.4321151
0,0,30,0.5076392
0,0,5,0.7000768
0,2,20,0.5104878
90,0,30,0.6676653
90,2,40,0.6153739
0,2,15,0.5059495
0,2,35,0.4989744
90,2,35,0.563231
0,2,40,0.6158331
0,2,0,0.5679048
0,2,40,0.6586832
90,2,0,0.4810317
90,0,25,0.5921706
90,2,20,0.4799629
90,2,25,0.4676877
0,0,25,0.6336375
90,0,35,0.571024
0,0,40,0.5764251
0,0,40,0.5213081
0,2,35,0.4902079
90,2,5,0.6677775
0,2,30,0.4930533
90,0,30,0.6788405
0,2,35,0.5929017
90,2,10,0.6607683
0,0,15,0.5437425
90,0,40,0.6021562
0,2,35,0.4898886
90,2,0,0.4864546
0,0,5,0.5748718
0,2,20,0.4727403
0,0,10,0.4101709
90,0,5,0.6046421
0,0,10,0.5625958
90,2,40,0.5413266
0,2,35,0.5341322
90,0,10,0.5863992
0,2,20,0.3984621
0,0,15,0.7184583
0,2,30,0.4775635
0,0,15,0.5322662
90,2,40,0.5155908
0,2,5,0.3944548
0,0,20,0.5912671
90,2,35,0.5906656
0,2,35,0.5141922
90,0,30,0.6185646
0,2,40,0.6133452
0,2,10,0.5679641
90,0,25,0.5503562
0,2,30,0.5552049
0,0,35,0.5196131
0,0,5,0.5577411
90,2,25,0.4981929
90,2,10,0.4183159
0,0,35,0.5582372
0,2,0,0.3963712
90,2,25,0.522066
90,2,20,0.5905153
90,2,20,0.5408275
0,2,25,0.541547
0,2,5,0.4246804
0,2,0,0.4673442
0,2,10,0.3939471
90,0,30,0.6242666
0,0,5,0.4816278
90,2,20,0.5041516
90,2,15,0.5082657
0,0,0,0.5175274
0,0,5,0.5024557
0,0,40,0.8254228
0,0,25,0.4669934
0,2,30,0.548143
90,0,15,0.5347804
90,0,40,0.5350905
90,0,35,0.5914105
0,2,5,0.5606847
90,2,10,0.4872046
0,0,5,0.5651123
90,2,0,0.5596045
