Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,40,0.408214199997019
0.0,2,5,0.3989665000117384
90.0,2,10,0.5601211999892257
90.0,0,40,0.5946582999895327
0.0,0,30,0.6285439000057522
0.0,0,25,0.4872707999893464
90.0,0,25,0.540061700012302
0.0,0,5,0.3011762000096496
0.0,0,5,0.48265980000724085
90.0,2,40,0.5829785999958403
0.0,2,25,0.5937558000150602
0.0,2,40,0.5621229999815114
0.0,2,40,0.47025899999425747
90.0,0,40,0.5650207000144292
0.0,0,30,0.5233689000015147
0.0,2,0,0.7967354000138585
0.0,2,25,0.47038959999918006
0.0,0,40,0.4736331000167411
0.0,2,10,0.39526190000469796
0.0,2,5,0.456472300022142
90.0,0,10,0.6710060000186786
90.0,0,30,0.5434722000209149
0.0,2,0,0.6761140000016894
90.0,0,0,0.7009034000220709
0.0,0,10,0.47997050001868047
90.0,0,15,0.6966734000016004
0.0,0,15,0.6591321000014432
0.0,0,0,0.4251994999940507
0.0,2,20,0.4426572000083979
0.0,0,0,0.429870399995707
0.0,0,30,0.4290216999943368
0.0,2,40,0.6353124000015669
0.0,0,10,0.524136299995007
90.0,0,20,0.6050979999999981
90.0,0,10,0.5940835000074003
90.0,0,15,0.4905915000126697
0.0,2,35,0.4652454999741167
0.0,0,20,0.4888458999921568
90.0,2,15,0.5991821000061464
90.0,2,30,0.5373341999948025
90.0,0,25,0.600287399982335
0.0,2,30,0.6216673000017181
0.0,2,25,0.501321799994912
0.0,0,15,0.500982199999271
0.0,0,40,0.47246450002421625
90.0,2,25,0.5419309000135399
0.0,0,0,0.41836959999636747
90.0,0,25,0.6653822000080254
0.0,2,5,0.3903619000047911
90.0,2,40,0.6559810999897309
90.0,2,35,0.5591860999993514
90.0,0,5,0.6165372999967076
0.0,0,0,0.6189509000105318
0.0,2,5,0.42201909999130294
0.0,0,35,0.48797479999484494
90.0,0,25,0.5445938000048045
0.0,0,5,0.4503870999906212
90.0,0,15,0.5323341999901459
90.0,2,20,0.5217270999855828
0.0,0,0,0.454298500000732
0.0,0,35,0.45087359999888577
0.0,0,25,0.3882836999837309
0.0,2,30,0.425631499994779
0.0,2,0,0.41346399998292327
0.0,0,20,0.4415510999970138
90.0,2,15,0.5926227000018116
0.0,0,20,0.542254400003003
0.0,2,10,0.429726699978346
90.0,0,40,0.6065905999857932
0.0,2,35,0.4743777000112459
0.0,2,5,0.370952600002056
90.0,2,15,0.6360633000149392
90.0,0,35,0.6965911000152119
90.0,2,0,0.6273844999959692
0.0,2,30,0.5371371999790426
0.0,0,15,0.696127900009742
0.0,2,20,0.4901479999825824
0.0,2,10,0.5253769000119064
0.0,0,10,0.6203692000126466
90.0,0,10,0.5909421000105795
90.0,2,10,0.6217717999825254
0.0,0,10,0.4915313000092283
0.0,2,25,0.4108661999925971
90.0,0,5,0.7306129999924451
