Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,0,25,0.6665053
0,0,5,0.6532449
90,2,15,0.5580106
90,0,35,0.8496881
0,0,5,0.7173922
0,0,10,0.4931934
0,2,20,0.400249
90,2,25,0.6244868
90,0,10,0.5294151
0,0,40,0.9757266
45,0,15,0.5957758
90,2,0,0.4766825
45,0,40,0.5541298
90,2,5,0.5400811
0,2,25,0.5573495
90,2,20,0.5961303
90,0,0,0.4846196
45,0,15,0.5265529
90,2,30,0.5682086
90,2,40,0.8824259
90,0,35,0.6264924
45,2,40,0.6410041
45,0,10,0.5495447
0,2,10,0.6479763
90,0,40,0.7296233
0,0,0,0.6360963
45,0,25,0.6618684
90,0,0,0.4134214
90,2,20,0.4666115
0,0,30,0.5730687
45,2,0,0.6207191
45,0,20,0.5751134
45,2,25,0.5372847
0,2,25,0.6793827
0,0,30,0.5511149
0,2,30,0.4897734
0,0,5,0.5077746
90,0,10,0.6472239
0,2,40,0.5890539
0,2,35,0.4770431
45,2,25,0.6678964
90,0,35,0.8604194
90,2,20,0.6486726
90,0,20,0.6181474
45,2,20,0.6696047
90,2,30,0.7435605
0,0,5,0.6676612
45,2,30,0.6378736
45,2,30,0.6364851
45,2,0,0.6091881
45,2,35,0.5432095
45,0,5,0.4456654
0,2,0,0.583244
0,2,15,0.4782688
90,0,15,0.6058591
0,0,30,0.6645998
45,0,20,0.5892729
90,0,35,0.7299532
0,2,5,0.5644047
45,0,20,0.6488587
90,2,25,0.6422672
90,2,0,0.5872365
90,2,10,0.5817516
45,2,10,0.5274624
90,2,0,0.56932
45,0,20,0.6375031
45,2,5,0.5303764
45,2,0,0.445754
90,0,15,0.5776539
45,0,20,0.8551669
45,0,40,0.5550421
0,0,0,0.837999
90,0,5,0.5784476
45,0,35,0.5911315
0,2,15,0.6398388
45,0,20,0.5593662
45,0,25,0.5294545
45,0,25,0.5560685
0,2,5,0.6273139
45,0,0,0.6069192
0,0,25,0.6270199
45,2,15,0.5725845
90,0,5,0.6376951
0,2,30,0.5349232
90,0,40,0.8934449
90,0,25,0.8265721
0,2,10,0.5826084
45,2,35,0.6797918
0,2,35,0.7811695
90,0,20,0.6160715
90,2,40,0.8054285
0,2,35,0.6635912
0,2,10,0.5773792
90,2,5,0.6336877
90,0,40,0.7365786
0,0,25,0.677026
0,0,25,0.6337356
0,2,5,0.5574883
0,0,20,0.6172015
90,2,15,0.6521805
90,2,10,0.4336705
0,2,20,0.5492594
90,0,30,0.7455136
45,2,30,0.5813109
45,2,25,0.5188764
45,2,15,0.4675218
90,2,35,0.865102
90,0,35,0.8301126
90,2,15,0.5348537
0,2,10,0.6609105
90,0,15,0.5686279
0,0,40,0.6883746
45,2,25,0.5897542
0,0,30,0.9825561
90,0,35,0.8720977
90,2,20,0.4762378
0,0,0,0.592422
0,0,10,0.5235799
45,0,0,0.7376925
0,2,5,0.5654281
0,0,40,0.6185671
45,0,30,0.6252538
0,2,40,0.6799103
45,2,10,0.5725471
45,0,30,0.6529868
90,2,40,0.8076422
0,2,20,0.5164164
0,0,15,0.5564914
90,0,15,0.7417348
90,0,15,0.4820142
0,2,30,0.5751858
0,2,35,0.6785996
0,2,15,0.5113427
45,0,15,0.5907276
90,2,5,0.6703216
0,0,35,0.5446869
90,0,20,0.5996908
90,2,35,0.6266514
90,0,40,0.7197607
45,2,25,0.6050008
45,2,0,0.5951393
0,2,40,0.3067944
90,0,10,0.8271142
90,0,10,0.4437412
45,2,35,0.6186392
45,2,30,0.5597819
90,0,10,0.5294304
90,2,20,0.488505
0,0,25,0.7652552
45,2,35,0.5554069
90,2,10,0.4624048
90,0,5,0.5054073
0,0,0,0.544687
0,0,5,0.4731071
45,2,0,0.6741775
0,0,15,0.6751213
45,0,35,1.2383867
45,2,15,0.4857329
45,2,5,0.4963963
45,0,40,0.455453
90,0,0,0.5766353
90,2,25,0.6338882
45,0,30,0.5230989
90,2,0,0.5049561
0,0,10,0.6251435
0,2,15,0.521865
45,2,10,0.5012337
0,0,0,0.6069619
0,2,20,0.568509
0,0,30,0.5846142
90,0,5,0.512382
90,0,35,0.4775461
0,0,10,0.6316877
0,0,30,0.5796515
90,2,40,0.6630401
90,0,25,0.6091805
90,2,40,0.5783689
45,2,30,0.6135224
90,2,5,0.5800229
90,2,40,0.5755385
