Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,0,35,0.6452491
45,2,35,0.7359564
45,0,0,0.7243339
45,2,20,0.5529775
45,2,15,0.5690708
90,0,10,0.6823306
90,0,20,0.51447
90,0,15,0.4015786
0,0,0,0.607779
45,0,5,0.5653302
0,2,20,0.4894086
0,0,40,0.6417551
90,2,10,0.8616452
45,0,10,0.6786311
90,2,10,0.6678904
45,0,40,0.638432
45,0,5,0.492028
90,2,5,0.6728698
90,0,25,0.4997705
90,2,15,0.6155197
90,0,35,0.7043036
0,2,20,0.5595781
45,0,40,0.6897542
90,2,40,0.6507178
90,2,5,0.5294007
45,0,0,0.5262659
45,0,25,0.6936652
90,0,30,0.7800602
0,2,5,0.5630545
90,2,5,0.6052201
0,2,10,0.4979291
0,0,25,0.4918774
0,0,5,0.3841681
90,0,15,0.757907
0,0,30,0.6642948
0,2,10,0.5036889
45,2,15,0.7210533
90,0,30,0.7776451
90,0,0,0.3718657
90,2,15,0.4714449
45,2,20,0.8351298
45,2,40,0.4730629
90,0,30,0.7754771
90,2,30,0.4651536
45,2,35,0.7270143
0,0,30,0.5976795
45,0,10,0.4784314
0,2,15,0.4858666
0,0,5,0.4747059
0,2,30,0.3927379
45,0,10,0.5042528
45,2,30,0.6404395
0,2,10,0.8487981
45,0,35,0.6955442
90,2,30,0.5447978
0,0,15,0.5213362
45,0,30,0.8737232
0,2,0,0.6373591
90,2,30,0.8269205
45,2,15,0.5625627
45,0,5,0.5390462
90,0,15,0.6382736
90,0,0,0.4638836
45,2,20,0.6334468
0,2,30,0.5971317
0,0,5,0.6547807
45,2,25,0.6267012
0,2,30,0.6360462
45,2,5,0.6237815
0,2,20,0.5007903
90,0,20,0.7140479
0,2,0,0.650753
45,0,15,0.6981415
90,2,25,0.6931884
90,2,5,0.4378785
45,2,30,0.6345941
0,2,5,0.6157811
0,2,40,0.559056
45,2,35,0.6299841
45,2,0,0.5469824
90,2,25,0.6210806
0,0,20,0.5978078
45,2,10,0.6498702
45,0,35,0.5730484
45,0,40,0.515815
0,2,10,0.4899266
0,0,10,0.6050625
0,2,35,0.5278063
0,0,35,0.491797
90,0,0,0.5679227
90,2,10,0.4966934
90,0,10,0.5569866
45,2,35,0.6074395
0,0,5,0.7492368
90,2,15,0.5926964
45,2,20,0.6438565
45,0,10,0.5514942
0,2,35,0.5486993
45,0,30,0.5918443
90,2,0,0.4783798
90,0,40,0.5913686
45,0,25,0.5439664
0,0,25,0.5752542
90,2,35,0.6226311
45,2,25,0.6042872
0,2,0,0.5537328
45,0,30,0.6035537
45,0,5,0.5001634
0,2,0,0.6669176
45,0,20,0.5467015
45,0,15,0.8143001
0,2,10,0.5237475
45,0,20,0.5756356
0,0,15,0.7448996
45,0,5,0.9358807
0,0,0,0.6559153
0,2,0,0.7193163
0,0,35,0.6509743
45,2,20,0.59124
45,0,0,0.6353089
0,0,15,0.6843383
45,2,25,0.9605459
0,0,10,0.6082666
45,2,40,0.6357171
90,2,25,0.6478848
45,0,25,0.6107951
45,2,10,0.5969004
0,0,20,0.6218384
0,2,20,0.8406001
45,0,30,0.7396612
90,0,10,0.6869941
90,0,5,0.6451662
90,2,0,0.5083538
45,0,25,0.7002533
45,2,40,0.5711752
45,2,15,0.5320305
45,0,40,0.5339836
90,2,35,0.6327184
90,2,25,0.5299973
45,2,5,0.575662
45,0,35,0.5110867
0,0,0,0.6695332
0,2,30,0.5436411
45,0,40,0.5296961
90,2,40,0.5091291
90,2,40,0.5080137
90,0,20,0.7785023
0,2,25,0.7625162
90,0,10,0.7312843
0,0,25,0.6894903
90,0,0,0.8793756
45,0,40,0.7178452
45,2,5,0.5682271
45,0,40,0.4990624
90,2,40,0.7018367
45,2,5,0.7124347
90,2,20,0.5374039
90,2,35,0.6297748
90,0,15,0.5500063
0,2,35,0.7669074
0,0,40,0.5013809
45,2,25,0.6148853
45,0,20,0.7684538
90,2,0,0.645317
45,2,40,0.7050518
0,0,25,0.7628419
45,2,0,0.6343137
90,2,30,0.5950778
0,0,30,0.6257915
90,0,20,0.7468617
45,2,15,0.5893496
0,0,15,0.6112588
45,0,35,0.8536816
0,0,35,0.6339039
90,0,35,0.9066699
90,2,15,0.5746902
90,0,25,0.5342067
90,0,20,0.5140565
90,2,25,0.5671926
0,2,40,0.6308219
