Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,20,0.3725721000228077
0.0,0,25,0.28064270003233105
0.0,2,35,0.27467579999938607
0.0,0,35,0.28880829992704093
0.0,0,0,0.2468813998857513
0.0,2,25,0.2527289999416098
0.0,0,30,0.30171569995582104
0.0,2,5,0.24840490007773042
0.0,2,10,0.261444800067693
0.0,0,30,0.26944609999191016
0.0,0,35,0.42380640003830194
0.0,0,10,0.32822590006981045
0.0,0,25,0.6284715000074357
0.0,0,5,0.36991270002909005
0.0,0,5,0.3372154999524355
0.0,0,15,0.25685920007526875
0.0,2,25,0.22056599997449666
0.0,2,30,0.3006465999642387
0.0,2,40,0.24836229998618364
0.0,0,20,0.07171239994931966
0.0,2,15,0.27512190002016723
0.0,2,0,0.3030140999471769
0.0,0,25,0.2814906999701634
0.0,2,30,0.32591850007884204
0.0,2,35,0.14537059993017465
0.0,2,40,0.27595250005833805
0.0,0,30,0.2941133000422269
0.0,2,20,0.02584550005849451
0.0,2,20,0.2667836000910029
0.0,0,0,0.2728101999964565
0.0,2,10,0.2671832999913022
0.0,0,15,0.3035111000062898
0.0,0,10,0.18188069993630052
0.0,2,25,0.2939437999157235
0.0,0,15,0.20441430003847927
0.0,2,10,0.2805872999597341
0.0,0,40,0.21304419997613877
0.0,0,30,0.24222150002606213
0.0,0,35,0.2510950999567285
0.0,0,40,0.35329490003641695
0.0,0,5,0.263095400063321
0.0,2,15,0.2268871000269428
0.0,2,25,0.23202019999735057
0.0,2,25,0.2439301999984309
0.0,2,15,0.24924129992723465
0.0,2,35,0.20453890005592257
0.0,2,30,0.27396029990632087
0.0,0,15,0.21385029994416982
0.0,0,40,0.033031599945388734
0.0,0,5,0.2726694999728352
0.0,0,30,0.22889579995535314
0.0,2,0,0.31945069995708764
0.0,2,10,0.29449919995386153
0.0,2,0,0.4083811000455171
0.0,0,15,0.2338062000926584
0.0,0,30,0.23344389989506453
0.0,0,10,0.1764467000029981
0.0,2,0,0.22359259997028857
0.0,2,15,0.2476172000169754
0.0,0,40,0.23436020000372082
