Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,15,0.40078922099928604
0.0,0,15,0.44225207599811256
0.0,0,5,0.358496123997611
0.0,2,0,0.2519158669965691
0.0,2,35,0.30374008099897765
0.0,2,20,0.2894619389990112
0.0,2,15,0.344906133999757
0.0,0,25,0.28954936399532016
0.0,0,0,0.2688275649998104
0.0,2,25,0.3247674329977599
0.0,0,15,0.27816065899969544
0.0,2,5,0.31812257400451927
0.0,2,35,0.3197318250022363
0.0,0,5,0.39760336600011215
0.0,0,40,0.3806695140010561
0.0,2,40,0.33271125300234416
0.0,0,30,0.3398615659971256
0.0,2,35,0.3089741410003626
0.0,2,30,0.295295793999685
0.0,2,5,0.26137461900361814
0.0,0,20,0.2939326539999456
0.0,2,35,0.3122069300006842
0.0,2,20,0.2836156650009798
0.0,2,0,0.2962658700052998
0.0,0,0,0.2675261499971384
0.0,2,20,0.3546232329972554
0.0,0,25,0.3572989210006199
0.0,0,15,0.2999480419966858
0.0,2,35,0.28354271999705816
0.0,2,5,0.15638070899876766
0.0,0,30,0.23893813000177033
0.0,2,10,0.32821083800081396
0.0,2,20,0.38522641899908194
0.0,2,25,0.48751649299811106
0.0,0,35,0.31569186999695376
0.0,0,10,0.4894734170011361
0.0,2,10,0.43905775899474975
0.0,0,30,0.2896526890035602
0.0,2,35,0.501597987000423
0.0,0,5,0.26491482200071914
0.0,2,5,0.2816085029990063
0.0,2,25,0.2764170670052408
0.0,0,40,0.5327373540058034
0.0,0,15,0.2801540109940106
0.0,0,40,0.3183044039978995
0.0,2,5,0.2507801840038155
0.0,0,25,0.30647667400626233
0.0,2,0,0.3205311799974879
0.0,0,20,0.16944110600161366
0.0,2,10,0.2738569030043436
0.0,0,25,0.2933224540029187
0.0,2,40,0.37011123500269605
0.0,0,40,0.6580353760000435
0.0,2,40,0.3425277579954127
0.0,2,15,0.5701726929983124
0.0,0,25,0.5202260189980734
0.0,0,40,0.47781434200442163
0.0,0,40,0.3723343519959599
0.0,2,10,0.04331199599982938
0.0,0,20,0.3317491900015739
0.0,0,35,0.2862929949988029
0.0,2,25,0.2908874900022056
0.0,0,10,0.27029146200220566
0.0,2,35,0.11303993799810996
0.0,2,0,0.21136342899990268
0.0,0,10,0.3085362769998028
0.0,0,10,0.322472715000913
0.0,0,20,0.32814522700209636
0.0,0,5,0.2970939079968957
0.0,2,40,0.38367094800196355
0.0,2,15,0.30185094800253864
0.0,0,5,0.27000583300105063
0.0,0,35,0.3088305479977862
0.0,2,15,0.3104713540014927
0.0,0,10,0.23903606799285626
0.0,2,30,0.2721399479996762
0.0,2,30,0.25219622099393746
0.0,2,25,0.33118150899827015
0.0,2,5,0.2631088740017731
0.0,0,25,0.2900283990020398
0.0,2,30,0.2636953470064327
0.0,0,40,0.3085160690025077
0.0,0,0,0.3085437810004805
0.0,2,25,0.3421321200003149
0.0,0,20,0.015154321001318749
0.0,2,15,0.31185151299723657
0.0,0,20,0.3050856310001109
0.0,0,25,0.30355534100090154
0.0,0,20,0.25772975900326855
0.0,0,15,0.3362321590029751
0.0,2,0,0.34416606999729993
0.0,2,40,0.36572906500077806
0.0,0,30,0.31989122799859615
0.0,2,20,0.1288229659985518
0.0,0,10,0.34822360499674687
0.0,0,40,0.297385778001626
0.0,0,5,0.27284262000466697
0.0,2,30,0.3409629000016139
0.0,2,15,0.25323203400330385
0.0,0,35,0.23897941599716432
0.0,0,15,0.2971395630011102
0.0,0,0,0.3187726480027777
0.0,2,35,0.39106017599988263
0.0,0,30,0.260852409999643
0.0,2,20,0.45695281399821397
0.0,0,35,0.2076487559970701
0.0,2,10,0.2790173190005589
0.0,0,35,0.3017939299970749
0.0,2,20,0.32411069399677217
