Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.6801644810038852
45.0,2,10,0.5602011759983725
0.0,0,15,0.5492774589947658
45.0,0,35,0.5839554830017732
90.0,0,40,0.5971261429949664
0.0,0,40,0.5311123260034947
90.0,0,15,0.6203228269951069
45.0,2,40,0.5611897920025513
45.0,0,10,0.5997884349999367
90.0,2,5,0.611616825000965
90.0,2,30,0.7273215869936394
90.0,0,25,0.6266096839972306
0.0,2,30,0.6501451829972211
0.0,2,35,0.7170991800012416
90.0,0,20,0.6254196880036034
45.0,0,35,0.5335125749988947
90.0,2,30,0.7116350929936743
45.0,0,15,0.500306225992972
90.0,0,15,0.5338190250040498
0.0,2,40,0.7386230240008445
90.0,2,40,0.6258457900039502
45.0,0,40,0.4182728309970116
90.0,2,30,0.6179399839966209
90.0,2,25,0.5711698690065532
45.0,2,0,0.54460531299992
45.0,2,5,0.5621563590029837
45.0,0,40,0.5625482510004076
90.0,2,35,0.5615059679985279
90.0,2,5,0.5927722189953784
0.0,2,20,0.5631700339945382
90.0,2,10,0.5652740500008804
0.0,2,35,0.5621240500040585
90.0,2,25,0.5793172379999305
45.0,0,10,0.6063070950040128
90.0,2,10,0.5052800720004598
90.0,2,30,0.6144941750026192
45.0,0,35,0.48341192299994873
0.0,2,20,0.5143251830013469
90.0,0,35,0.7102484940041904
0.0,0,5,0.5821626380056841
90.0,2,40,0.7326660699982313
0.0,2,20,0.5314266429995769
45.0,0,15,0.5697783709983923
0.0,0,10,0.5929531559959287
90.0,0,25,0.6587494669947773
90.0,2,35,0.7326269569966826
0.0,0,10,0.6636604660016019
45.0,2,0,0.5492567410037736
90.0,2,15,0.7076908460003324
0.0,2,15,0.5635601519970805
45.0,2,25,0.5297988669990445
45.0,0,20,0.45186179500160506
45.0,0,35,0.4760169209985179
0.0,2,0,0.4869352860041545
0.0,2,10,0.4984804100022302
0.0,0,35,0.6042062540000188
0.0,2,35,0.5828090010036249
0.0,0,30,0.507039789998089
0.0,2,0,0.42524921400035964
90.0,2,5,0.6106817480031168
45.0,2,0,0.49191129899554653
45.0,0,15,0.5882388109966996
45.0,2,0,0.5394563390000258
90.0,2,15,0.6779440149985021
0.0,2,5,0.4953006430005189
0.0,0,5,0.5177978409992647
45.0,0,25,0.5132689009988098
90.0,0,5,0.6222412860006443
90.0,2,25,0.5756232220010133
90.0,2,30,0.5719894690046203
45.0,2,20,0.6144817050007987
45.0,2,15,0.6007661569965421
45.0,2,10,0.5563316410043626
45.0,2,35,0.6257258019977598
45.0,2,20,0.5281430299946805
45.0,0,40,0.5537563070029137
0.0,2,35,0.5192084469963447
0.0,0,15,0.7615170279968879
45.0,0,20,0.5625326739973389
0.0,2,30,0.6197182450050605
90.0,2,20,0.6458490860022721
0.0,2,30,0.5813377039958141
0.0,2,15,0.5313118539997959
45.0,2,10,0.5418770729957032
0.0,0,10,0.5489669020025758
0.0,0,15,0.5081485119953868
90.0,0,5,0.48645896499510854
45.0,0,5,0.5315462630023831
0.0,2,5,0.5243956839985913
90.0,0,30,0.5286380649995408
0.0,2,10,0.6866536749948864
90.0,0,5,0.5555710159969749
45.0,2,15,0.5516988379968097
0.0,0,40,0.659820740998839
90.0,2,5,0.6015763830000651
45.0,0,40,0.5344481899956008
45.0,0,25,0.5838968999960343
90.0,2,20,0.5624533660011366
45.0,0,40,0.5006886810006108
45.0,0,20,0.5863463389978278
45.0,2,0,0.6204684840049595
90.0,2,25,0.5985669329966186
90.0,2,5,0.5344180159954703
90.0,2,25,0.603496661002282
0.0,2,40,0.8828345959991566
0.0,0,25,0.5527913819969399
45.0,0,5,0.53340768799535
45.0,0,30,0.5117372239983524
45.0,2,25,0.6748179520000122
90.0,0,0,0.47771889500290854
45.0,2,20,0.5959094139980152
90.0,0,30,0.6388490909957909
0.0,2,15,0.6957865320000565
90.0,2,35,0.670507754002756
45.0,2,25,0.5752923890031525
90.0,0,25,0.6717681150039425
90.0,0,35,0.5493495340051595
0.0,0,0,0.5513251219963422
90.0,2,25,0.5422467210009927
45.0,0,5,0.5086100170010468
0.0,0,0,0.7887971050004126
0.0,0,20,0.6595313670040923
0.0,2,35,0.5847656819969416
0.0,0,10,0.5484031309970305
90.0,0,0,0.4986207890033256
0.0,2,40,0.6279215439935797
0.0,0,30,0.6286953169983462
90.0,0,0,0.6382213839970063
90.0,2,5,0.5260194329966907
0.0,2,40,0.6406158929967205
45.0,0,10,0.5697109309985535
45.0,0,0,0.49737701899721287
0.0,0,10,0.6885941310029011
90.0,0,30,0.822607934998814
45.0,0,10,0.4908523129997775
90.0,2,5,0.5882065420009894
45.0,2,10,0.567220206001366
90.0,2,35,0.5877475230008713
45.0,2,30,0.5890403340017656
45.0,2,20,0.45351688400114654
45.0,0,15,0.5806718449966866
45.0,0,15,0.5027642319982988
0.0,0,20,0.6853811730034067
0.0,2,25,0.8093676740027149
90.0,2,40,0.6139700310013723
90.0,0,30,0.6695738329945016
90.0,0,25,0.5997836259994074
90.0,0,30,0.5787764449996757
0.0,0,10,0.5909033879943308
90.0,0,20,0.559324445996026
0.0,0,35,0.6854844259942183
90.0,2,20,0.6470557979992009
90.0,2,0,0.5737908889932442
90.0,0,20,0.5548981889951392
90.0,0,40,0.5931141799956094
45.0,2,15,0.5629065739994985
0.0,0,0,0.7295466870054952
0.0,2,0,0.5066200540022692
0.0,2,30,0.6425741209968692
45.0,0,5,0.5692056900006719
90.0,0,25,0.5848522180021973
0.0,0,35,0.6444070659999852
45.0,0,25,0.6133308759963256
0.0,0,30,0.6664815809999709
90.0,0,0,0.5468753239983926
45.0,0,0,0.5451349080030923
90.0,2,40,0.7398740140051814
0.0,2,15,1.0425655319995712
0.0,2,10,0.5086013199979789
90.0,2,15,0.6108456610018038
0.0,0,40,0.8361196300029405
45.0,0,20,0.6315118739948957
90.0,2,40,0.6427961950030294
0.0,0,25,0.565606267999101
45.0,0,5,0.5634995389991673
0.0,0,20,1.0073206890010624
0.0,2,0,0.5607449300005101
0.0,0,35,0.594057080001221
90.0,0,30,0.6021801390015753
45.0,2,10,0.5105807020008797
