Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,10,1.0733997799979988
90.0,0,10,0.43678318100137403
90.0,2,5,0.3875612300034845
0.0,2,20,0.48081910600012634
90.0,0,30,0.42974457400123356
0.0,2,10,0.45452331499836873
0.0,2,30,0.47926751400518697
0.0,0,30,0.6257945369943627
0.0,2,20,0.5107374509971123
0.0,2,30,0.46355180499813287
90.0,2,0,0.5510349629985285
0.0,2,10,0.5063748180036782
90.0,0,40,0.5647144219983602
0.0,2,20,0.4430196059984155
0.0,0,40,0.615235543999006
90.0,2,40,0.4936712739945506
0.0,0,35,0.5000409959975514
0.0,0,40,0.579688404002809
0.0,2,15,0.4181959950001328
0.0,0,15,0.42973555399657926
90.0,2,20,0.4604050060006557
90.0,2,30,0.6045201910019387
90.0,2,35,0.46934899700136157
0.0,0,35,0.40445627699955367
0.0,0,10,0.510456437994435
90.0,0,35,0.4589358989978791
90.0,2,15,0.49490441600210033
0.0,0,5,0.5083167869961471
0.0,2,15,0.551415410998743
90.0,0,15,0.47253855600138195
90.0,2,40,0.5989269190031337
0.0,2,15,0.41041792100440944
0.0,2,5,0.4267297799960943
90.0,0,10,0.4077399620000506
90.0,2,40,0.5308239650039468
0.0,0,0,0.4325364809992607
90.0,2,0,0.42084783199970843
0.0,2,20,0.49791525500040734
0.0,2,25,0.506323699002678
90.0,2,10,0.44510875300329644
0.0,0,15,0.5209321500005899
0.0,0,35,0.5328640789957717
0.0,2,0,0.4714296469974215
90.0,0,40,0.6083127180027077
90.0,0,0,0.5024301399971591
90.0,2,0,0.46920287900138646
90.0,0,5,0.6158795720039052
90.0,0,30,0.46127122300094925
0.0,2,5,0.5723191640063305
0.0,2,25,0.6682852859958075
90.0,2,25,0.6144183139986126
90.0,2,25,0.5170178179978393
90.0,0,20,0.4447139620024245
90.0,0,10,0.4584510240019881
0.0,2,0,0.5092870700027561
90.0,2,25,0.6116403569976683
0.0,2,40,0.47959864499716787
0.0,2,30,0.6379792189982254
0.0,0,25,0.5078274120023707
0.0,0,15,0.46064674100489356
0.0,2,10,0.4258633839999675
0.0,0,40,0.4797670379994088
90.0,0,0,0.4992884489984135
0.0,2,15,0.3853817950002849
0.0,0,5,0.4486098929992295
0.0,0,10,0.4447863339955802
0.0,0,30,0.44739410799957113
0.0,0,15,0.4286792329949094
90.0,0,0,0.5060279989993433
90.0,0,35,0.5804217129989411
0.0,0,35,0.4941997589994571
0.0,2,0,0.42273235600441694
90.0,0,25,0.438561391994881
0.0,2,30,0.5776107589990715
0.0,2,15,0.5896295519996784
90.0,0,35,0.44977205200120807
90.0,2,20,0.4828174050053349
0.0,2,5,0.43681270799424965
0.0,2,35,0.5777368690032745
0.0,2,20,0.4083436979999533
0.0,0,20,0.4977339229953941
90.0,0,5,0.43597362100263126
0.0,2,30,0.465256463001424
0.0,0,5,0.4765113300018129
90.0,0,35,0.5198424999980489
90.0,0,10,0.4162316549991374
90.0,2,35,0.5850480410008458
0.0,0,30,0.5839391250046901
90.0,0,0,0.5318055239986279
0.0,0,15,0.5077865920029581
90.0,2,40,0.5599955780053278
90.0,0,20,0.47995979499683017
90.0,0,10,0.5150544159987476
90.0,0,5,0.44781935900391545
0.0,2,25,0.5475741319969529
0.0,2,10,0.41769359599857125
0.0,2,15,0.45554721300140955
0.0,2,0,0.443678497998917
90.0,0,20,0.520505909997155
90.0,0,25,0.5051744849988609
0.0,0,40,0.6199573240010068
0.0,2,35,0.4663650479997159
0.0,2,35,0.5510104470013175
0.0,2,0,0.4039486030014814
0.0,2,25,0.45141654400504194
0.0,0,25,0.49141194600088056
0.0,2,15,0.43709026500437176
0.0,2,30,0.4579789899944444
90.0,0,10,0.4552863630015054
90.0,0,30,0.45595040199987125
90.0,0,5,0.4157452729996294
0.0,2,0,0.4651345730017056
0.0,2,35,0.47309446500003105
90.0,0,15,0.4336784980041557
90.0,0,30,0.44016236400057096
90.0,0,25,0.4594839970013709
90.0,0,20,0.4096040670046932
90.0,2,35,0.5095789799961494
0.0,2,40,0.3942905940057244
0.0,0,25,0.4348557460034499
90.0,0,10,0.5117736109968973
0.0,2,5,0.4621693699955358
0.0,0,30,0.48311560900037875
0.0,0,40,0.5134949900020729
0.0,0,40,0.5498916469950927
0.0,2,5,0.4293989049983793
0.0,2,40,0.48420565699780127
0.0,2,5,0.41545647899329197
90.0,0,15,0.5068120529977023
0.0,0,20,0.4973515120000229
90.0,2,40,0.5881614559984882
0.0,2,30,0.4077683689974947
0.0,0,25,0.5405226429938921
90.0,0,5,0.386371931002941
0.0,0,35,0.5523624490015209
90.0,0,30,0.5696114059974207
90.0,2,40,0.4974910839955555
90.0,0,25,0.4722168629959924
90.0,2,0,0.4171780399992713
0.0,2,25,0.5482012270003906
90.0,2,5,0.44975291700393427
0.0,0,20,0.47278111000196077
0.0,0,0,0.44163282999943476
0.0,0,5,0.48600639699725434
0.0,2,25,0.4941445320000639
0.0,0,40,0.43209793500136584
90.0,0,20,0.4629137360025197
0.0,0,0,0.42937523600267014
0.0,0,40,0.5605488030050765
90.0,0,0,0.4655824000001303
0.0,2,35,0.44695832500292454
90.0,0,15,0.46988131899706786
0.0,0,30,0.5545288619978237
90.0,0,0,0.4833100870018825
90.0,0,20,0.544222707998415
0.0,2,10,0.4287250339984894
90.0,2,25,0.5276134099985939
0.0,0,10,0.42290533000050345
90.0,2,20,0.5232881140036625
90.0,2,10,0.5258814180051559
90.0,0,35,0.4352204150054604
0.0,0,25,0.5247920529945986
90.0,0,0,0.49355266399652464
90.0,2,30,0.5683756470025401
90.0,2,35,0.5097015589999501
90.0,2,35,0.4392727279991959
0.0,0,15,0.47852104600315215
90.0,0,5,0.44629646700195735
90.0,2,20,0.4975456589963869
90.0,2,30,0.4719028760009678
90.0,2,10,0.4249619559996063
90.0,2,5,0.4757626459977473
90.0,2,15,0.4775968499961891
90.0,2,20,0.46924181599752046
90.0,2,40,0.5270482119958615
90.0,2,15,0.6062283750070492
0.0,0,20,0.45301804700284265
90.0,2,10,0.43799364999722457
90.0,2,5,0.45583998799702385
0.0,0,25,0.5084090259988443
