Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,35,0.2210165000287816
0.0,2,5,0.2523617999977432
0.0,2,5,0.2143802999635227
0.0,2,15,0.1932960000121966
0.0,2,5,0.18420839996542782
0.0,2,20,0.18606290000025183
0.0,2,10,0.18490480002947152
0.0,2,25,0.3379200999625027
0.0,2,20,0.21434020000742748
0.0,2,40,0.2569480999954976
0.0,2,15,0.21385830000508577
0.0,2,10,0.20491289999336004
0.0,2,35,0.44569680001586676
0.0,2,15,0.20528860000194982
0.0,2,0,0.1978358999476768
0.0,2,40,0.23604059999343008
0.0,2,10,0.20446049998281524
0.0,2,30,0.17143629997735843
0.0,2,20,0.16889999998966232
0.0,2,15,0.18384390004212037
0.0,2,40,0.060323999961838126
0.0,2,25,0.19193149998318404
0.0,2,30,0.03823439998086542
0.0,2,15,0.20432369998889044
0.0,2,30,0.2053361000143923
0.0,2,5,0.19551560003310442
0.0,2,10,0.2507162000401877
0.0,2,0,0.238691899983678
0.0,2,20,0.20190469996305183
0.0,2,20,0.19663620000937954
0.0,2,25,0.20653620001394302
0.0,2,0,0.45343110000249
0.0,2,35,0.2649059999966994
0.0,2,15,0.20232270000269637
0.0,2,35,0.1983542999951169
0.0,2,0,0.21202900004573166
0.0,2,35,0.20374340005218983
0.0,2,30,0.21220720000565052
0.0,2,40,0.17039400001522154
0.0,2,40,0.23051169997779652
0.0,2,0,0.23138589999871328
0.0,2,40,0.24731659999815747
0.0,2,25,0.18986649997532368
0.0,2,30,0.19197310000890866
0.0,2,0,0.12913119996665046
0.0,2,35,0.19545980001566932
0.0,2,40,0.21419750002678484
0.0,2,15,0.19378480000887066
0.0,2,40,0.23841480002738535
0.0,2,15,0.18684949999442324
0.0,2,10,0.227877700002864
0.0,2,10,0.19185840000864118
0.0,2,10,0.2091690999804996
0.0,2,10,0.2196329000289552
0.0,2,0,0.21563310001511127
0.0,2,40,0.24175710004055873
0.0,2,5,0.21251380001194775
0.0,2,0,0.21986930002458394
0.0,2,25,0.23839389998465776
0.0,2,20,0.22905200003879145
0.0,2,25,0.20849099999759346
0.0,2,35,0.243911899975501
0.0,2,30,0.17714370001340285
0.0,2,0,0.19894460000796244
0.0,2,5,0.19584780000150204
0.0,2,0,0.2008371000410989
0.0,2,20,0.21183430001838133
0.0,2,10,0.2051799999899231
0.0,2,30,0.21599759999662638
0.0,2,30,0.20973489998141304
0.0,2,10,0.19431679998524487
0.0,2,20,0.19404829997802153
0.0,2,30,0.22916210000403225
0.0,2,35,0.22145670000463724
0.0,2,25,0.20342050003819168
0.0,2,15,0.19394510000711307
0.0,2,25,0.2160823000012897
0.0,2,25,0.2724636000348255
0.0,2,5,0.22119750001002103
0.0,2,20,0.2129113000119105
0.0,2,25,0.2284541000262834
0.0,2,5,0.17883940000319853
0.0,2,15,0.2015549999778159
0.0,2,40,0.2266384999966249
0.0,2,35,0.21232679998502135
0.0,2,30,0.21023440000135452
0.0,2,5,0.23450189997674897
0.0,2,35,0.1877902999985963
0.0,2,20,0.21144980000099167
0.0,2,5,0.2175835000234656
0.0,0,0,0.21166879998054355
0.0,0,25,0.2270215000025928
0.0,0,10,0.19187699997564778
0.0,0,35,0.2048443999956362
0.0,0,35,0.2067436000215821
0.0,0,30,0.19392700004391372
0.0,0,20,0.15434469998581335
0.0,0,15,0.10060569999041036
0.0,0,40,0.22041000000899658
0.0,0,15,0.170725499978289
0.0,0,15,0.1895160999847576
0.0,0,40,0.2258861000300385
0.0,0,30,0.2043712000013329
0.0,0,25,0.2174246000358835
0.0,0,25,0.19527859997469932
0.0,0,20,0.2116944000008516
0.0,0,30,0.20121689996449277
0.0,0,10,0.17774330003885552
0.0,0,10,0.18347570003243163
0.0,0,20,0.1992280000122264
0.0,0,30,0.21519169997191057
0.0,0,5,0.21709579997695982
