Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.19490599998971447
0.0,2,20,0.19866860000183806
0.0,2,40,0.22624639997957274
0.0,2,0,0.15815940004540607
0.0,2,40,0.20258430001558736
0.0,2,25,0.2241541999974288
0.0,2,5,0.4184928000322543
0.0,2,10,0.20376639999449253
0.0,2,25,0.21304390003206208
0.0,2,35,0.2043794000055641
0.0,2,10,0.13360380002995953
0.0,2,30,0.20129369996720925
0.0,2,20,0.19211749994428828
0.0,2,35,0.20234900002833456
0.0,2,35,0.18188759998884052
0.0,2,15,0.1921149999834597
0.0,2,15,0.18862520001130179
0.0,2,15,0.22123050002846867
0.0,2,15,0.24320089997490868
0.0,2,0,0.20812399999704212
0.0,2,20,0.21236540004611015
0.0,2,25,0.19926219998160377
0.0,2,0,0.2075689000193961
0.0,2,10,0.16132569999899715
0.0,2,20,0.18148799997288734
0.0,2,40,0.22865760000422597
0.0,2,40,0.251585999969393
0.0,2,20,0.19566109997686
0.0,2,0,0.20665979996556416
0.0,2,10,0.21452430001227185
0.0,2,5,0.183305999962613
0.0,2,30,0.21012940001673996
0.0,2,10,0.1935434999759309
0.0,2,15,0.22625970002263784
0.0,2,5,0.23951650003436953
0.0,2,0,0.2008229999919422
0.0,2,25,0.20352829998591915
0.0,2,30,0.2074138000025414
0.0,2,15,0.20744680002098903
0.0,2,20,0.23311820003436878
0.0,2,30,0.21740699996007606
0.0,2,25,0.20700630004284903
0.0,2,35,0.198271700006444
0.0,2,40,0.23378879996016622
0.0,2,20,0.1709990000235848
0.0,2,30,0.18718780000926927
0.0,2,35,0.23688640003092587
0.0,2,10,0.22851700003957376
0.0,2,30,0.19748149998486042
0.0,2,30,0.21143740002298728
0.0,2,35,0.25565239996649325
0.0,2,15,0.23936750000575557
0.0,2,40,0.27108490001410246
0.0,2,40,0.25340590003179386
0.0,2,25,0.2021011000033468
0.0,2,40,0.19468409998808056
0.0,2,15,0.239648999995552
0.0,2,30,0.2140225999755785
0.0,2,25,0.19225590000860393
0.0,2,35,0.21538489998783916
0.0,2,0,0.22242990002268925
0.0,2,25,0.2153672999702394
0.0,2,5,0.21978030004538596
0.0,2,40,0.24266789999091998
0.0,2,35,0.2366461000056006
0.0,2,35,0.21697039995342493
0.0,2,35,0.22489579999819398
0.0,2,0,0.2883839999558404
0.0,2,30,0.21862869994947687
0.0,2,10,0.22382030001608655
0.0,2,0,0.193930100009311
0.0,2,5,0.18228930002078414
0.0,2,15,0.20989019999979064
0.0,2,10,0.19891979999374598
0.0,2,5,0.22625230002449825
0.0,2,5,0.20379100000718608
0.0,2,20,0.1608657999895513
0.0,2,20,0.18614320002961904
0.0,2,10,0.2018949000048451
0.0,2,5,0.20513890002621338
0.0,2,40,0.23245529999257997
0.0,2,30,0.2040065000182949
0.0,2,25,0.19493629998760298
0.0,2,5,0.13469550001900643
0.0,2,15,0.223066899983678
0.0,2,25,0.2082030000165105
0.0,2,20,0.18728569999802858
0.0,2,0,0.2245824999990873
0.0,2,5,0.1986693000071682
0.0,2,10,0.19083360000513494
0.0,0,25,0.1890803999849595
0.0,0,10,0.1882367999642156
0.0,0,40,0.17157489998498932
0.0,0,25,0.20737219997681677
0.0,0,40,0.1950827999971807
0.0,0,35,0.18338920001406223
0.0,0,35,0.14615950000006706
0.0,0,0,0.08303790003992617
0.0,0,5,0.19115970004349947
0.0,0,10,0.19125589996110648
0.0,0,35,0.20641790004447103
0.0,0,25,0.19794179999735206
0.0,0,40,0.2531957000028342
0.0,0,25,0.19135979999555275
0.0,0,5,0.20330110000213608
0.0,0,40,0.20355540001764894
0.0,0,20,0.21553149999817833
0.0,0,20,0.21303189999889582
0.0,0,0,0.20619179995264858
0.0,0,20,0.1972173000103794
0.0,0,5,0.2004134000162594
0.0,0,15,0.21112479997100309
0.0,0,5,0.17898979998426512
0.0,0,25,0.2181982999900356
0.0,0,40,0.21356260002357885
0.0,0,15,0.21711089997552335
0.0,0,20,0.22203750000335276
0.0,0,40,0.21335009997710586
0.0,0,15,0.1928662999998778
0.0,0,20,0.1774853999959305
0.0,0,5,0.20742549997521564
0.0,0,30,0.18323540000710636
0.0,0,35,0.21089390001725405
0.0,0,30,0.20121469994774088
0.0,0,15,0.20903850003378466
0.0,0,10,0.18985580001026392
0.0,0,0,0.21517759998096153
0.0,0,25,0.19969639996998012
0.0,0,30,0.2005444000242278
0.0,0,35,0.20931270002620295
0.0,0,40,0.2115446000243537
0.0,0,35,0.1997370999888517
0.0,0,15,0.023216200002934784
0.0,0,30,0.21225799998501316
0.0,0,40,0.1894717999966815
0.0,0,20,0.22353379998821765
0.0,0,35,0.20690059999469668
0.0,0,25,0.1769454999594018
0.0,0,30,0.2034601999912411
0.0,0,0,0.21451319998595864
0.0,0,5,0.19335899996804073
0.0,0,0,0.23172430001432076
0.0,0,0,0.170069899992086
0.0,0,5,0.08934780000708997
0.0,0,20,0.2068042000173591
0.0,0,10,0.22481680003693327
0.0,0,20,0.1929731999989599
0.0,0,15,0.2338086999952793
0.0,0,0,0.1913979999953881
0.0,0,40,0.2056923999916762
0.0,0,20,0.21709869999904186
0.0,0,35,0.26147769996896386
0.0,0,5,0.21388100000331178
0.0,0,10,0.21852539997780696
0.0,0,25,0.24494349997257814
0.0,0,0,0.28935650002676994
0.0,0,10,0.1940325999748893
0.0,0,30,0.23037549998844042
0.0,0,25,0.24665210000239313
0.0,0,20,0.21150450001005083
0.0,0,35,0.21403200004715472
0.0,0,25,0.21617159998277202
0.0,0,15,0.20262599998386577
0.0,0,30,0.21658449998358265
0.0,0,5,0.21111580001888797
0.0,0,40,0.2113404999836348
0.0,0,30,0.21416420000605285
0.0,0,30,0.05389169999398291
