Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,30,0.4247830000240356
0.0,2,40,0.39124999998603016
0.0,2,0,0.3371519999927841
0.0,2,20,0.3199064999935217
90.0,2,5,0.35004160000244156
0.0,2,15,0.3701864999602549
90.0,2,30,0.26490460004424676
0.0,2,30,0.34749070001998916
90.0,2,0,0.35884519998217
90.0,2,20,0.2923210999579169
90.0,2,35,0.3691147000063211
0.0,2,30,0.37395949999336153
90.0,2,20,0.3849875000305474
0.0,2,25,0.4760254999855533
0.0,2,35,0.4120968000497669
0.0,2,25,0.4012349999975413
0.0,2,35,0.43038089998299256
0.0,2,5,0.4160947999916971
90.0,2,15,0.3831775999860838
90.0,2,40,0.434140799974557
90.0,2,40,0.38917149999178946
90.0,2,30,0.41923449997557327
90.0,2,20,0.3600311999907717
0.0,2,15,0.4208830000134185
90.0,2,30,0.31497020000824705
90.0,2,25,0.35993259999668226
0.0,2,25,0.39368199999444187
0.0,2,10,0.3549592000199482
0.0,2,5,0.4110151000204496
90.0,2,15,0.28101219999371096
90.0,2,15,0.35555800003930926
0.0,2,25,0.381240600021556
90.0,2,15,0.3839719999814406
90.0,2,20,0.3358134999871254
0.0,2,0,0.39358690002700314
90.0,2,40,0.29226389998802915
0.0,2,15,0.3930621999897994
90.0,2,10,0.33311870001489297
0.0,2,35,0.512352500052657
90.0,2,20,0.4176875000121072
90.0,2,40,0.4012930999742821
0.0,2,0,0.37009219999890774
0.0,2,5,0.4014059999608435
0.0,2,30,0.5596740999608301
90.0,2,10,0.38129879999905825
90.0,2,15,0.333224700007122
0.0,2,35,0.5588101000175811
90.0,2,5,0.37830270000267774
0.0,2,25,0.3907783000031486
90.0,2,5,0.31329369999002665
0.0,2,10,0.35482409998076037
90.0,2,5,0.37865740002598614
0.0,2,25,0.4360442999750376
90.0,2,20,0.2846907000057399
90.0,2,20,0.3133335000020452
90.0,2,30,0.3911380000063218
90.0,2,0,0.38866380002582446
90.0,2,0,0.3479850000003353
90.0,2,0,0.32024380000075325
90.0,2,35,0.37873180001042783
0.0,2,35,0.48552759998710826
0.0,2,25,0.42885479994583875
0.0,2,10,0.35158110002521425
90.0,2,35,0.36158460000297055
90.0,2,40,0.34562640002695844
90.0,2,20,0.3933981999871321
0.0,2,0,0.3772084000520408
0.0,2,10,0.37412930000573397
0.0,2,30,0.5313153000315651
90.0,2,35,0.40466330002527684
0.0,2,40,0.5402530999854207
0.0,2,25,0.4482498000143096
90.0,2,40,0.482831500004977
90.0,2,15,0.4006874000187963
0.0,2,20,0.4712079000310041
0.0,2,0,0.38741419999860227
90.0,2,5,0.38446979998843744
0.0,2,10,0.41867280000587925
0.0,2,25,0.5221847000066191
90.0,2,35,0.38049949996639043
90.0,2,10,0.30980190000263974
90.0,2,5,0.37526130001060665
0.0,2,0,0.3709944000001997
90.0,2,40,0.4506415000068955
90.0,2,30,0.3651843999978155
90.0,2,10,0.3345094000105746
90.0,2,10,0.3534951999899931
90.0,2,5,0.30261409998638555
90.0,2,40,0.47514950000913814
0.0,2,15,0.43025080004008487
90.0,0,35,0.3431906000478193
0.0,0,25,0.35080449999077246
90.0,0,20,0.29957539995666593
0.0,0,35,0.3683996999752708
90.0,0,35,0.3041224000044167
90.0,0,35,0.3367529999813996
90.0,0,40,0.34988190000876784
90.0,0,40,0.31269720004638657
90.0,0,5,0.37111809995258227
90.0,0,40,0.366587900032755
0.0,0,15,0.3311684000073001
0.0,0,30,0.4816506000352092
0.0,0,40,0.5059555000043474
0.0,0,20,0.41908650001278147
0.0,0,10,0.33653259999118745
90.0,0,25,0.43198920000577345
0.0,0,35,0.3993080999935046
90.0,0,20,0.26367539999773726
90.0,0,5,0.23676210001576692
0.0,0,40,0.3964249999844469
90.0,0,0,0.29805510002188385
90.0,0,10,0.26680829998804256
90.0,0,15,0.2940470000030473
0.0,0,40,0.4125309999799356
0.0,0,5,0.36434080003527924
0.0,0,5,0.3278594000148587
0.0,0,20,0.31765849998919293
90.0,0,15,0.31703219999326393
90.0,0,25,0.274696699983906
90.0,0,20,0.24115409998921677
0.0,0,10,0.6032774000195786
90.0,0,15,0.24215429998002946
90.0,0,25,0.290131299989298
0.0,0,25,0.42929140001069754
0.0,0,30,0.349088600021787
90.0,0,40,0.40317349997349083
0.0,0,0,0.3790853999671526
90.0,0,35,0.33890620002057403
90.0,0,0,0.3129478000337258
0.0,0,5,0.358209700032603
0.0,0,25,0.3621918999706395
90.0,0,30,0.45427180000115186
90.0,0,15,0.31237889995099977
0.0,0,0,0.3091029000352137
90.0,0,5,0.38094309996813536
90.0,0,35,0.3756347000016831
0.0,0,5,0.3353694000397809
90.0,0,30,0.32054109999444336
0.0,0,30,0.3578279000357725
90.0,0,20,0.348793699988164
90.0,0,10,0.37796270003309473
0.0,0,35,0.4872891000122763
90.0,0,0,0.337639199977275
0.0,0,25,0.45918529998743907
0.0,0,25,0.47218390001216903
90.0,0,20,0.3219377999776043
0.0,0,15,0.38022920000366867
0.0,0,15,0.34695099998498335
0.0,0,40,0.48007270001107827
0.0,0,40,0.3681489999871701
90.0,0,10,0.28631729999324307
90.0,0,0,0.3195395999937318
90.0,0,35,0.41212689998792484
0.0,0,5,0.32720810000319034
90.0,0,30,0.41032699996139854
0.0,0,20,0.3871029000147246
0.0,0,25,0.3273763000033796
0.0,0,40,0.42150329996366054
90.0,0,10,0.32240349997300655
90.0,0,30,0.3775626999558881
90.0,0,10,0.3564479999477044
90.0,0,15,0.3483773000189103
0.0,0,15,0.35396089998539537
0.0,0,5,0.34765700000571087
0.0,0,20,0.34059290000004694
0.0,0,0,0.31423080002423376
0.0,0,35,0.3404609000426717
90.0,0,30,0.367772999976296
90.0,0,10,0.3384620000142604
90.0,0,10,0.28371409996179864
0.0,0,15,0.32756379997590557
0.0,0,30,0.41181820002384484
90.0,0,0,0.3391918999841437
90.0,0,0,0.38746150000952184
0.0,0,10,0.398460199998226
90.0,0,0,0.39862120000179857
90.0,0,20,0.44092510000336915
90.0,0,5,0.32133540004724637
0.0,0,25,0.4143356999848038
0.0,0,30,0.44863439997425303
