Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,15,0.4164022000040859
90.0,2,10,0.36156360001768917
90.0,2,5,0.32210220000706613
0.0,2,35,0.37071709998417646
45.0,2,20,0.46609639993403107
45.0,2,0,0.3465285999700427
90.0,2,20,0.3470904999412596
90.0,2,15,0.3534296000143513
90.0,2,35,0.41705359995830804
0.0,2,30,0.33776340004988015
45.0,2,35,0.569891499937512
0.0,2,25,0.4619476000079885
45.0,2,40,0.5352772000478581
0.0,2,30,0.41109069995582104
90.0,2,5,0.3491104000713676
90.0,2,15,0.4249171999981627
90.0,2,25,0.442131599993445
0.0,2,20,0.4030010000569746
45.0,2,5,0.4393861999269575
0.0,2,30,0.3826720000943169
45.0,2,5,0.42494940001051873
0.0,2,10,0.4052327999379486
45.0,2,30,0.42893789999652654
0.0,2,0,0.44769159995485097
90.0,2,35,0.6137060000328347
0.0,2,30,0.44203619996551424
0.0,2,10,0.4165389999980107
45.0,2,0,0.4105559999588877
45.0,2,20,0.419772099936381
0.0,2,30,0.5070352000184357
45.0,2,30,0.5133153999922797
90.0,2,25,0.4307907000184059
90.0,2,25,0.43514680000953376
90.0,2,5,0.38128660002257675
0.0,2,25,0.4185142999049276
0.0,2,40,0.35959140001796186
90.0,2,20,0.4369462999748066
45.0,2,40,0.5394274001009762
45.0,2,40,0.4258986000204459
45.0,2,35,0.40115910000167787
0.0,2,40,0.45920269994530827
0.0,2,10,0.515806799987331
0.0,2,10,0.45346700004301965
90.0,2,30,0.48269259999506176
0.0,2,25,0.4829800999723375
45.0,2,0,0.40176620008423924
0.0,2,20,0.40713880001567304
0.0,2,40,0.4787306000944227
90.0,2,15,0.43638049997389317
0.0,2,5,0.4903575999196619
45.0,2,5,0.40992530004587024
90.0,2,10,0.40251489996444434
45.0,2,40,0.45962320000398904
90.0,2,35,0.450698500033468
90.0,2,5,0.3652208000421524
90.0,2,20,0.4577090999810025
45.0,2,0,0.40233119996264577
45.0,2,15,0.41854520002380013
90.0,2,20,0.4212323999963701
0.0,2,0,0.4309998999815434
0.0,2,25,0.42944590002298355
90.0,2,0,0.43051530001685023
0.0,2,0,0.42809530009981245
45.0,2,35,0.44969499995931983
0.0,2,40,0.5068486999953166
90.0,2,30,0.37710540008265525
0.0,2,30,0.39803719997871667
0.0,2,15,0.4759872000431642
0.0,2,25,0.40972549992147833
45.0,2,35,0.45422559999860823
0.0,2,10,0.5745341000147164
0.0,2,35,0.5317091000033543
0.0,2,15,0.47673760005272925
90.0,2,0,0.3882533999858424
90.0,2,5,0.41891680005937815
0.0,2,25,0.44986379996407777
90.0,2,10,0.35141870006918907
0.0,2,40,0.43268959992565215
0.0,2,35,0.3799872000236064
45.0,2,20,0.4556626999983564
45.0,2,40,0.44138410000596195
0.0,2,0,0.36373839993029833
90.0,2,20,0.4361752999247983
45.0,2,10,0.4563428999390453
90.0,2,15,0.41543920000549406
45.0,2,15,0.4371210999088362
90.0,2,10,0.4143456999445334
0.0,2,25,0.4020449999952689
0.0,2,15,0.5267332999501377
0.0,2,5,0.4914979999884963
90.0,0,30,0.39049340004567057
0.0,0,15,0.41813160001765937
0.0,0,15,0.3646809000056237
0.0,0,20,0.4450145000591874
0.0,0,25,0.46676730003673583
90.0,0,35,0.5807582999113947
45.0,0,15,0.4509637000737712
90.0,0,5,0.30930769990663975
45.0,0,15,0.37792870006524026
90.0,0,20,0.4963103999616578
45.0,0,20,0.44155160000082105
45.0,0,20,0.4017009000526741
0.0,0,30,0.4299010999966413
0.0,0,10,0.3656523000681773
90.0,0,0,0.47595480002928525
90.0,0,0,0.32680749997962266
90.0,0,40,0.7594256000593305
90.0,0,40,0.38236660009715706
45.0,0,25,0.39063200005330145
0.0,0,25,0.4518815000774339
0.0,0,10,0.33498420007526875
0.0,0,5,0.3961423001019284
90.0,0,0,0.34149900008924305
90.0,0,0,0.30763140006456524
0.0,0,35,0.4852127000922337
90.0,0,5,0.4102316000498831
45.0,0,15,0.4527651999378577
90.0,0,25,0.43767049990128726
90.0,0,0,0.3845186000689864
0.0,0,40,0.6042368999915197
0.0,0,35,0.5038222000002861
45.0,0,20,0.4835265000583604
45.0,0,25,0.5385596000123769
0.0,0,40,0.4697448000079021
45.0,0,15,0.41724350000731647
0.0,0,10,0.4490942999254912
45.0,0,30,0.5607919000321999
0.0,0,30,0.41160559991840273
90.0,0,30,0.4367710000369698
0.0,0,25,0.5333109999774024
45.0,0,25,0.4719564999686554
0.0,0,10,0.48327880003489554
45.0,0,25,0.414333299966529
90.0,0,10,0.4442708999849856
45.0,0,0,0.4349210999207571
0.0,0,35,0.511684300028719
0.0,0,25,0.47142119996715337
0.0,0,40,0.5734029000159353
0.0,0,35,0.4796487999847159
45.0,0,20,0.4616306000389159
45.0,0,30,0.45615430001635104
90.0,0,10,0.39469079999253154
90.0,0,30,0.4043886000290513
45.0,0,30,0.4215003999415785
45.0,0,5,0.4469413999468088
0.0,0,35,0.5242695999331772
45.0,0,5,0.42269999999552965
0.0,0,30,0.41816690005362034
0.0,0,20,0.4940269999206066
0.0,0,10,0.3839683000696823
45.0,0,35,0.5350699999835342
45.0,0,25,0.5027080000145361
45.0,0,40,0.47424160002265126
0.0,0,20,0.47013419994618744
45.0,0,40,0.4858989000786096
90.0,0,0,0.3187811999814585
0.0,0,35,0.40702459996100515
0.0,0,30,0.42989699996542186
0.0,0,20,0.366143099963665
45.0,0,35,0.35307170008309186
90.0,0,15,0.3871258000144735
0.0,0,40,0.4677043000701815
0.0,0,20,0.3607262000441551
0.0,0,5,0.3564724000170827
90.0,0,10,0.37439739995170385
90.0,0,5,0.3224906000541523
90.0,0,5,0.31945599999744445
45.0,0,35,0.3383471000706777
45.0,0,0,0.45758679998107255
0.0,0,0,0.321944999974221
90.0,0,40,0.7552179000340402
45.0,0,0,0.4070013000164181
0.0,0,5,0.3879389999201521
0.0,0,10,0.4242606000043452
45.0,0,15,0.35204739996697754
0.0,0,10,0.5264621999813244
45.0,0,15,0.41674219991546124
0.0,0,15,0.38844390003941953
90.0,0,40,0.6039619999937713
0.0,0,5,0.44356789998710155
