Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,40,0.44994339789263904
0.0,2,5,0.2501843450590968
0.0,2,40,0.21192377200350165
0.0,2,30,0.21008679294027388
0.0,2,40,0.0917266181204468
0.0,2,10,0.21006439882330596
0.0,2,10,0.2932112431153655
0.0,2,10,0.2659034498501569
0.0,2,10,0.247434918070212
0.0,2,0,0.23657854413613677
0.0,2,5,0.21482422202825546
0.0,2,20,0.36731482297182083
0.0,2,5,0.23615580098703504
0.0,2,35,0.26554729091003537
0.0,2,20,0.268156809033826
0.0,2,15,0.24841182678937912
0.0,2,5,0.2420050399377942
0.0,2,0,0.20603155391290784
0.0,2,10,0.24106633104383945
0.0,2,0,0.21839225804433227
0.0,2,5,0.2300854770001024
0.0,2,20,0.21945977117866278
0.0,2,15,0.2507294090464711
0.0,2,20,0.21018662094138563
0.0,2,40,0.2649803520180285
0.0,2,25,0.2202208680100739
0.0,2,5,0.16743512102402747
0.0,2,40,0.06226191692985594
0.0,2,40,0.3379395860247314
0.0,2,25,0.28490609489381313
0.0,2,35,0.2501321460586041
0.0,2,30,0.22958989790640771
0.0,2,10,0.22632172284647822
0.0,2,30,0.2889917891006917
0.0,2,35,0.380355185829103
0.0,2,0,0.2862339620478451
0.0,2,30,0.39101070002652705
0.0,2,20,0.22440607799217105
0.0,2,20,0.2632772969081998
0.0,2,15,0.2919401538092643
0.0,2,30,0.27957250084728
0.0,2,5,0.26493566599674523
0.0,2,30,0.27255100291222334
0.0,2,15,0.24990329495631158
0.0,2,15,0.24137194897048175
0.0,2,15,0.25671570282429457
0.0,2,35,0.2746709680650383
0.0,2,25,0.2558598869945854
0.0,2,35,0.35206646006554365
0.0,2,10,0.23615892883390188
0.0,2,0,0.2213056532200426
0.0,2,25,0.28413358610123396
0.0,2,5,0.29127640509977937
0.0,2,30,0.35062360018491745
0.0,2,0,0.2929805989842862
0.0,2,40,0.25427588797174394
0.0,2,30,0.2876956220716238
0.0,2,10,0.3471803900320083
0.0,2,25,0.40331084793433547
0.0,2,40,0.4084865159820765
0.0,2,0,0.38601420586928725
0.0,2,15,0.27522240905091166
0.0,2,20,0.30325906490907073
0.0,2,20,0.21181145682930946
0.0,2,25,0.22159665706567466
0.0,2,25,0.34684983594343066
0.0,2,35,0.3054354640189558
0.0,2,15,0.248920425074175
0.0,2,20,0.26526039210148156
0.0,2,20,0.2420795790385455
0.0,2,0,0.2683462011627853
0.0,2,35,0.2868559390772134
0.0,2,25,0.3144636698998511
0.0,2,5,0.22412227699533105
0.0,2,5,0.27255143015645444
0.0,2,0,0.36328713805414736
0.0,2,15,0.21328661497682333
0.0,2,25,0.2632453690748662
0.0,2,35,0.23987737693823874
0.0,2,10,0.21839920803904533
0.0,2,35,0.23096572421491146
0.0,2,35,0.5180294520687312
0.0,2,15,0.36484731803648174
0.0,2,10,0.33258737716823816
0.0,2,0,0.2731952709145844
0.0,2,40,0.28885061806067824
0.0,2,30,0.5522608859464526
0.0,2,30,0.35404496314004064
0.0,2,40,0.3148429540451616
0.0,2,25,0.4625281351618469
0.0,0,25,0.3194300979375839
0.0,0,0,0.3026517990510911
0.0,0,20,0.23243850795552135
0.0,0,35,0.22512136702425778
0.0,0,20,0.21950690215453506
0.0,0,35,0.28078384092077613
0.0,0,15,0.27300262288190424
0.0,0,35,0.25771257700398564
0.0,0,35,0.23626490007154644
0.0,0,30,0.2086637879256159
0.0,0,0,0.32989959907718003
0.0,0,0,0.20519276312552392
0.0,0,15,0.2185429569799453
0.0,0,35,0.21287204883992672
0.0,0,40,0.248196265893057
0.0,0,10,0.20574119593948126
0.0,0,35,0.22176090790890157
0.0,0,20,0.2813105001114309
