Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,35,0.6784958099015057
90.0,2,20,0.43699574493803084
0.0,2,0,0.4651196701452136
90.0,2,25,0.6062843380495906
45.0,2,40,0.6413720820564777
45.0,2,35,0.6481693969108164
0.0,2,15,0.762800769880414
45.0,2,20,0.5770626768935472
90.0,2,15,0.45879182196222246
45.0,2,5,0.45690585393458605
0.0,2,5,0.5182014741003513
0.0,2,30,0.867106709163636
45.0,2,30,1.594472214113921
0.0,2,35,0.7447720009367913
45.0,2,10,1.1006772718392313
0.0,2,15,0.5704428339377046
90.0,2,0,0.47484187595546246
45.0,2,25,0.7955753330606967
90.0,2,20,0.5713687927927822
90.0,2,30,0.604806010844186
90.0,2,20,0.9029908571392298
45.0,2,15,0.4858441350515932
0.0,2,25,0.5691045192070305
45.0,2,30,0.6088749039918184
45.0,2,20,0.5944002522155643
45.0,2,40,1.0388131600338966
0.0,2,30,0.6268172380514443
0.0,2,0,0.4909117079805583
45.0,2,25,0.8959024399518967
45.0,2,5,0.5407105449121445
0.0,2,30,0.5877722769510001
45.0,2,25,1.0335777888540179
90.0,2,20,0.558872448047623
0.0,2,30,1.003027668921277
0.0,2,15,0.5278128490317613
45.0,2,40,0.6724224959034473
45.0,2,0,0.4676364890765399
90.0,2,20,0.6331851340364665
0.0,2,20,0.6284305059816688
90.0,2,15,0.5557046150788665
45.0,2,40,1.0803448869846761
0.0,2,35,0.9136124269571155
45.0,2,40,1.2282875329256058
90.0,2,40,0.6942299669608474
45.0,2,15,0.5569446110166609
45.0,2,10,0.531870970968157
45.0,2,5,0.5741702518425882
45.0,2,40,1.0368098900653422
45.0,2,10,0.4427902898751199
90.0,2,40,0.7072970638982952
90.0,2,35,1.2590278619900346
0.0,2,0,0.4973728971090168
0.0,2,5,0.6409712370950729
0.0,2,5,0.44628121284767985
0.0,2,10,0.5373100221622735
90.0,2,30,0.6175035471096635
90.0,2,25,0.4106605991255492
0.0,2,15,0.4786630989983678
0.0,2,25,0.5883617070503533
90.0,2,10,0.4036543539259583
45.0,2,10,0.6770769250579178
0.0,2,25,0.5742195220664144
90.0,2,35,0.5969814280979335
0.0,2,35,1.0263754059560597
0.0,2,0,0.4831718059722334
45.0,2,15,0.5481341960839927
0.0,2,35,0.7036367820110172
0.0,2,5,0.47800214611925185
0.0,2,35,0.6848622758407146
90.0,2,5,0.4615921089425683
0.0,2,35,0.6095070589799434
45.0,2,25,0.5633103640284389
90.0,2,10,0.6488315598107874
0.0,2,10,0.5348558728583157
90.0,2,5,0.43716015690006316
90.0,2,20,0.56148796598427
45.0,2,0,0.4835976678878069
0.0,2,10,0.7692202900070697
90.0,2,0,0.4104526028968394
0.0,2,30,0.4969712730962783
45.0,2,40,0.8130570249632001
0.0,2,40,1.0512139750644565
0.0,2,0,0.5621916749514639
45.0,2,30,0.6240031651686877
90.0,2,20,0.5928141279146075
0.0,2,0,0.5350562899839133
0.0,2,25,0.6381213150452822
45.0,2,15,0.574943037936464
45.0,2,5,0.6020302360411733
0.0,2,10,0.5306260359939188
45.0,0,25,0.5681674180086702
45.0,0,25,0.4363753730431199
90.0,0,25,0.6146436319686472
0.0,0,20,0.5526068480685353
45.0,0,30,0.5023637700360268
0.0,0,15,0.5212170970626175
45.0,0,0,0.4975121619645506
90.0,0,5,0.40128976199775934
90.0,0,0,0.5980109851807356
0.0,0,10,0.5376670779660344
90.0,0,0,0.44441488990560174
0.0,0,40,1.023242878029123
45.0,0,35,0.6687284510117024
45.0,0,5,0.453880047891289
90.0,0,40,0.5120059009641409
90.0,0,5,0.42709664604626596
90.0,0,15,0.5551918470300734
0.0,0,15,0.5718090690206736
0.0,0,20,0.7596693669911474
90.0,0,20,0.5745512340217829
90.0,0,20,0.646517887013033
45.0,0,25,0.44327969616279006
0.0,0,40,0.6356614609248936
45.0,0,30,0.5499145658686757
0.0,0,35,0.5878869879525155
45.0,0,35,0.6151771468576044
90.0,0,0,0.4387210321146995
45.0,0,20,0.5339333461597562
45.0,0,10,0.49442890495993197
0.0,0,25,0.6006051779258996
45.0,0,35,0.9175407369621098
45.0,0,20,0.4694211829919368
45.0,0,40,0.6075401399284601
0.0,0,35,0.6631986040156335
0.0,0,25,0.41637250292114913
90.0,0,30,0.5154869030229747
90.0,0,20,0.4529049820266664
90.0,0,5,0.4813397480174899
45.0,0,0,0.5253568908665329
90.0,0,5,0.48222277499735355
0.0,0,30,0.6299092590343207
90.0,0,25,0.5972194720525295
0.0,0,15,0.5167703661136329
0.0,0,25,0.6899811290204525
0.0,0,15,0.5415958489757031
45.0,0,15,0.5290544440504164
45.0,0,0,0.5722860430832952
45.0,0,15,0.39706874708645046
0.0,0,10,0.6004994050599635
90.0,0,10,0.45004062494263053
0.0,0,35,0.6875966989900917
45.0,0,15,0.5314741269685328
0.0,0,35,0.7653878990095109
90.0,0,30,0.4736996958963573
90.0,0,15,0.4486794949043542
90.0,0,35,0.44485282991081476
45.0,0,0,0.4468481498770416
0.0,0,40,0.5696474509313703
0.0,0,35,0.6503409808501601
90.0,0,20,0.38890925981104374
0.0,0,0,0.4771070459391922
90.0,0,10,0.6151947199832648
45.0,0,10,0.5294654460158199
0.0,0,0,0.4623542190529406
45.0,0,10,0.513931754976511
0.0,0,30,0.5565094170160592
45.0,0,25,0.4843337261117995
