Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6259255269542336
45.0,2,40,0.5542390570044518
90.0,2,40,0.6686593238264322
45.0,2,25,0.49725021701306105
90.0,2,5,0.44865309284068644
45.0,2,0,0.5099102470558137
0.0,2,5,0.5274254221003503
90.0,2,30,0.554673318983987
0.0,2,40,0.7652861650567502
90.0,2,15,0.7202639149036258
45.0,2,30,0.6112991729751229
90.0,2,30,0.526001546997577
90.0,2,35,0.4980233549140394
90.0,2,30,0.5773628139868379
45.0,2,10,0.5479478728957474
45.0,2,35,0.5302095669321716
0.0,2,35,0.6196212018840015
90.0,2,10,0.4479052189271897
45.0,2,15,0.411544841947034
45.0,2,5,0.45924543705768883
45.0,2,25,0.6798285758122802
0.0,2,5,0.7070692928973585
0.0,2,15,0.4972500251606107
0.0,2,5,0.4287905350793153
45.0,2,40,0.5384387590456754
45.0,2,20,0.46838026493787766
45.0,2,40,0.5045005739666522
0.0,2,20,0.8094621750060469
0.0,2,10,0.5091424309648573
0.0,2,0,0.3987931271549314
90.0,2,40,0.7451526999939233
90.0,2,35,0.582531328080222
0.0,2,15,0.6681519979611039
0.0,2,15,0.44433658500202
90.0,2,10,0.4140472859144211
0.0,2,10,0.6130602578632534
45.0,2,35,0.6064800920430571
0.0,2,15,0.562908855965361
0.0,2,35,0.6892839248757809
90.0,2,0,0.38499751407653093
0.0,2,40,0.8292217119596899
90.0,2,35,0.5701460829004645
0.0,2,5,0.5179191578645259
90.0,2,0,0.48393843485973775
0.0,2,0,0.5384536110796034
0.0,2,30,0.580087403068319
0.0,2,20,0.5274566740263253
45.0,2,15,0.5302856569178402
45.0,2,40,0.619359326781705
45.0,2,10,0.47520325402729213
90.0,2,10,0.5363027770072222
0.0,2,15,0.45032239286229014
45.0,2,15,0.42899324116297066
0.0,2,20,0.49945422005839646
0.0,2,40,0.7613174361176789
45.0,2,20,0.5269763860851526
90.0,2,35,0.5854212811682373
45.0,2,5,0.5354820569045842
0.0,2,20,0.5396905341185629
0.0,2,5,0.5119322971440852
0.0,2,30,0.5661019801627845
45.0,2,20,0.5005428628064692
90.0,2,10,0.5001088809221983
0.0,2,25,0.5411544721573591
90.0,2,0,0.48835866595618427
0.0,2,30,0.5305124770384282
90.0,2,20,0.4629744729027152
90.0,2,25,0.4112389269284904
45.0,2,35,0.6093611510004848
90.0,2,35,0.5436179630924016
90.0,2,25,0.5429407660849392
45.0,2,30,0.5428807269781828
0.0,2,40,0.8306656919885427
0.0,2,0,0.4715381551068276
90.0,2,5,0.4809176749549806
90.0,2,25,0.5926328198984265
45.0,2,25,0.4850456321146339
45.0,2,0,0.3942161889281124
45.0,2,0,0.3734540781006217
0.0,2,30,0.6538456289563328
90.0,2,10,0.46919512283056974
90.0,2,20,0.46561917709186673
90.0,2,15,0.4478633420076221
0.0,2,25,0.5871831609401852
45.0,2,30,0.5282617930788547
45.0,2,20,0.559677513781935
90.0,2,10,0.5040904430206865
45.0,2,25,0.7893943660892546
45.0,2,5,0.4621168151497841
0.0,2,25,0.5764742081519216
45.0,0,0,0.7653689559083432
0.0,0,0,0.45903889718465507
45.0,0,35,0.5555181510280818
45.0,0,15,0.6237272089347243
0.0,0,40,0.829535675002262
0.0,0,20,0.50494988495484
90.0,0,25,0.43241658597253263
0.0,0,10,0.471372984116897
90.0,0,30,0.4557852679863572
0.0,0,40,0.5500829338561743
0.0,0,10,0.34759604395367205
90.0,0,25,0.4240649570710957
90.0,0,5,0.4426408919971436
45.0,0,10,0.4987613020930439
0.0,0,0,0.516331440070644
45.0,0,20,0.48762968298979104
45.0,0,15,0.36799241113476455
90.0,0,10,0.49335459899157286
0.0,0,0,0.5493434187956154
90.0,0,25,0.5225348339881748
90.0,0,10,0.4663609410636127
90.0,0,5,0.42332733096554875
45.0,0,20,0.4500436899252236
45.0,0,35,0.4181418849620968
0.0,0,35,0.5313521840143949
90.0,0,30,0.4982995158061385
0.0,0,30,0.886209144955501
45.0,0,30,0.4808742539025843
45.0,0,35,0.48080044984817505
0.0,0,15,0.47264226083643734
90.0,0,30,0.710613775998354
45.0,0,15,0.5556610429193825
0.0,0,20,0.592511311871931
90.0,0,25,0.4067216138355434
0.0,0,30,0.523628715891391
90.0,0,15,0.44443693198263645
0.0,0,5,0.4339674280490726
90.0,0,5,0.35123556409962475
90.0,0,5,0.44858844694681466
45.0,0,30,0.6256999229080975
90.0,0,15,0.3779995790682733
0.0,0,40,0.5272645549848676
90.0,0,40,0.4712186870165169
0.0,0,35,0.4866859829053283
45.0,0,5,0.38208441296592355
45.0,0,5,0.351364403963089
0.0,0,25,0.4239445780403912
0.0,0,0,0.4332067819777876
0.0,0,10,0.37917607417330146
0.0,0,10,0.37911393004469573
0.0,0,30,0.5007394030690193
90.0,0,10,0.4744542930275202
45.0,0,10,0.41914183483459055
90.0,0,30,0.4867070219479501
