Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,5,0.8251714180223644
0.0,2,5,0.38020591088570654
0.0,2,5,0.4364515140186995
0.0,2,15,0.35355238802731037
0.0,2,40,0.9321665761526674
90.0,2,20,0.4998319640289992
0.0,2,30,0.43023964506573975
90.0,2,20,0.5590610378421843
90.0,2,20,0.9600557389203459
90.0,2,30,0.710627991007641
90.0,2,35,0.6363694770261645
0.0,2,10,0.5558446671348065
90.0,2,25,0.5625989108812064
0.0,2,10,0.4496791041456163
0.0,2,20,0.45823440607637167
0.0,2,35,0.4902329030446708
0.0,2,35,0.6127355548087507
0.0,2,15,0.46443050797097385
0.0,2,35,0.36280654184520245
0.0,2,35,0.584727861918509
0.0,2,35,0.48654371383599937
0.0,2,5,0.46098395995795727
0.0,2,25,0.4438878439832479
90.0,2,15,0.4157716559711844
90.0,2,40,0.47671025805175304
90.0,2,0,0.4402387619484216
90.0,2,15,0.5241231839172542
0.0,2,5,0.43406608584336936
90.0,2,40,0.4011800619773567
0.0,2,15,0.5238512859214097
0.0,2,25,0.42906733811832964
0.0,2,5,0.48693665605969727
0.0,2,20,0.505867252824828
90.0,2,10,0.5236530329566449
0.0,2,20,0.5479110009036958
0.0,2,10,0.38653699099086225
0.0,2,0,0.45026378287002444
0.0,2,20,0.4138767849653959
90.0,2,30,0.5178261820692569
0.0,2,10,0.4796242390293628
0.0,2,0,0.5185960689559579
90.0,2,25,0.4685109229758382
0.0,2,25,0.4070879970677197
90.0,2,5,0.4465760509483516
90.0,2,30,0.4602850191295147
90.0,2,5,0.5520118791610003
90.0,2,35,0.4330544648692012
0.0,2,15,0.4255111899692565
0.0,2,40,0.4459630090277642
0.0,2,20,0.45554522098973393
0.0,2,0,0.4214583779685199
0.0,2,25,0.5723397149704397
0.0,2,25,0.30168463196605444
0.0,2,0,0.4856387749314308
0.0,2,30,0.4173779799602926
90.0,2,40,0.5117156829219311
90.0,2,0,0.4907661259640008
0.0,2,30,0.5323302540928125
0.0,2,30,0.3800383990164846
90.0,2,0,0.510233290027827
0.0,2,35,0.5409796610474586
90.0,2,40,0.4165638161357492
90.0,2,10,0.46116947499103844
0.0,2,35,0.4450844759121537
90.0,2,15,0.6633025230839849
90.0,2,25,0.4317166591063142
90.0,2,10,0.4389586471952498
90.0,2,35,0.5847283059265465
90.0,2,30,0.5182606279850006
0.0,2,10,0.7732286041136831
0.0,2,15,0.4732580529525876
0.0,2,40,0.45660506491549313
90.0,2,0,0.4082955380436033
90.0,2,0,0.433136970968917
0.0,2,40,0.35906562278978527
0.0,2,30,0.5134178248699754
0.0,2,15,0.41218036017380655
0.0,2,15,0.3007278998848051
90.0,2,10,0.3597186589613557
0.0,2,40,0.3854668349958956
0.0,2,10,0.4250259839463979
0.0,2,0,0.3934782580472529
90.0,2,40,0.6219859949778765
90.0,2,5,0.3151009560097009
90.0,2,5,0.33992486493662
0.0,2,25,0.45238503511063755
90.0,2,30,0.5768970081117004
90.0,2,20,0.48421023809351027
90.0,2,25,0.4676581530366093
0.0,2,20,0.4684725778643042
0.0,0,5,0.48501734994351864
90.0,0,0,0.45155515312217176
90.0,0,10,0.4269156390801072
90.0,0,40,0.6098546341527253
0.0,0,30,0.5610980740748346
0.0,0,25,0.43718008091673255
0.0,0,30,0.6013808120042086
90.0,0,0,0.4046578339766711
90.0,0,35,0.5364829930476844
90.0,0,25,0.6112710300367326
90.0,0,0,0.46194752608425915
0.0,0,35,0.5316162249073386
90.0,0,30,0.5339832790195942
0.0,0,25,0.4058008249849081
0.0,0,10,0.3673760178498924
0.0,0,20,0.43842678307555616
90.0,0,25,0.3855229029431939
90.0,0,30,0.30032756202854216
90.0,0,20,0.4981753889005631
90.0,0,40,0.48109802487306297
0.0,0,20,0.4030127089936286
90.0,0,30,0.44200486596673727
90.0,0,20,0.4015178519766778
90.0,0,15,0.32486812910065055
90.0,0,0,0.37800572300329804
90.0,0,20,0.47014825604856014
0.0,0,35,0.5402710561174899
0.0,0,0,0.3632248279172927
90.0,0,10,0.4033766540233046
90.0,0,5,0.4583096920978278
90.0,0,40,0.4554392700083554
90.0,0,10,0.3939461780246347
0.0,0,35,0.5759446350857615
90.0,0,35,0.6173367609735578
90.0,0,10,0.5263272658921778
0.0,0,0,0.3919357580598444
90.0,0,15,0.5223696539178491
90.0,0,40,0.5861629177816212
90.0,0,10,0.43164006690494716
90.0,0,10,0.2871443419717252
90.0,0,5,0.3531597170513123
90.0,0,35,0.3989988120738417
90.0,0,35,0.3907506838440895
90.0,0,0,0.31118631991557777
90.0,0,15,0.39422939880751073
90.0,0,15,0.3164430488832295
90.0,0,35,0.5793891868088394
90.0,0,30,0.4960151039995253
90.0,0,15,0.3256911360658705
90.0,0,35,0.42929621902294457
90.0,0,10,0.2977911038324237
90.0,0,5,0.3580974789801985
90.0,0,15,0.2953021579887718
90.0,0,10,0.2753574950620532
0.0,0,15,0.542700215941295
90.0,0,5,0.4073600801639259
0.0,0,25,0.4487301621120423
0.0,0,0,0.5168011968489736
0.0,0,0,0.4689863969106227
90.0,0,20,0.49988962593488395
90.0,0,30,0.8747736129444093
90.0,0,5,0.3053032180760056
90.0,0,25,0.6107288917992264
0.0,0,30,0.49126057093963027
90.0,0,40,0.5833142129704356
90.0,0,10,0.3300688760355115
90.0,0,40,0.5574016140308231
0.0,0,40,0.5422939450945705
90.0,0,20,0.4365717410109937
90.0,0,20,0.45148496702313423
0.0,0,30,0.7348211391363293
0.0,0,20,0.4992985569406301
90.0,0,20,0.4113739528693259
0.0,0,40,0.622370005119592
90.0,0,30,0.5379389449954033
90.0,0,40,0.6589009021408856
90.0,0,0,0.3269347548484802
0.0,0,40,0.5898275340441614
90.0,0,25,0.4727624000515789
0.0,0,5,0.4722132671158761
0.0,0,25,0.8960274800192565
0.0,0,5,0.5313229940366
0.0,0,15,0.49911236809566617
90.0,0,15,0.5025958400219679
0.0,0,25,0.5839880181010813
0.0,0,25,0.612646970199421
0.0,0,35,0.5632769390940666
90.0,0,5,0.5367978957947344
90.0,0,5,0.5108552679885179
0.0,0,15,0.4325393291655928
