Character,Direction,Eccentricity,Reaction Time (s)
da,2,10,0.352920771
da,2,0,0.327723935
da,2,10,0.26997501
da,2,30,0.266886444
da,2,0,0.332725184
da,2,10,0.270036277
da,2,0,0.318173149
da,2,40,0.271398834
da,2,0,0.286667482
da,2,0,0.329348963
da,2,20,0.288611501
da,2,20,0.306517499
da,2,40,0.2926915
da,2,30,0.291426329
da,2,0,0.292137135
da,2,20,0.28957464
da,2,30,0.264875669
da,2,40,0.277400383
da,2,40,0.316622027
da,2,10,0.294035935
da,2,30,0.29282404
da,2,40,0.342079112
da,2,40,0.407523119
da,2,10,0.290353642
da,2,20,0.294054023
da,2,40,0.288607696
da,2,20,0.25908966
da,2,0,0.428849911
da,2,20,0.337035323
da,2,30,0.264064617
da,2,10,0.23604936
da,2,20,0.224726837
da,2,20,0.23739106
da,2,30,0.222431635
da,2,20,0.25969112
da,2,40,0.259154715
da,2,30,0.267771269
da,2,0,0.3425389
da,2,20,0.276816354
da,2,40,0.356218721
da,2,10,0.309042291
da,2,10,0.281445056
da,2,10,0.294989415
da,2,0,0.326394685
da,2,0,0.326771933
da,2,40,0.417951276
da,2,30,0.309644119
da,2,30,0.274032294
da,2,10,0.272491036
da,2,30,0.285133313
da,0,10,0.355977041
da,0,30,0.433725381
da,0,0,0.344169371
da,0,20,0.310949821
da,0,0,0.349287177
da,0,10,0.295518347
da,0,20,0.314160829
da,0,10,0.276349267
da,0,40,0.312088536
da,0,10,0.28988533
da,0,10,0.264072228
da,0,0,0.332464152
da,0,40,0.260571746
da,0,10,0.224940033
da,0,10,0.282335101
da,0,20,0.295374642
da,0,30,0.325154986
da,0,0,0.317159547
da,0,0,0.295555895
da,0,40,0.315372386
da,0,30,0.279828094
da,0,0,0.293956901
da,0,10,0.297739133
da,0,20,0.31564791
da,0,20,0.312853827
da,0,10,0.336199647
da,0,20,0.351531912
da,0,40,0.40289529
da,0,30,0.281487311
da,0,30,0.327063845
da,0,40,0.350964239
da,0,0,0.31693264
da,0,30,0.329118561
da,0,30,0.297326245
da,0,0,0.307041671
da,0,20,0.298545692
da,0,40,0.352735665
da,0,20,0.302659594
da,0,30,0.297976817
da,0,0,0.35429998
da,0,30,0.3190075
da,0,30,0.304958362
da,0,40,0.348625219
da,0,40,0.323342497
da,0,0,0.3601408
da,0,20,0.306019042
da,0,10,0.321500349
da,0,20,0.307880242
da,0,40,0.351190767
da,0,40,0.369227437
