Character,Direction,Eccentricity,Reaction Time (s)
zhong,2,20,0.5707740109992301
da,2,30,0.7533062550000977
zhong,2,30,0.5671233659995778
xiao,2,30,0.6182720739998331
xiao,2,0,0.446098966000136
da,2,0,0.5548653490004654
da,2,40,0.5991370949996053
zhong,2,20,0.5393255790004332
xiao,2,10,0.4815799350008092
zhong,2,40,0.7895713480002087
zhong,2,40,0.6554743350006902
xiao,2,20,0.6428065919999426
da,2,10,0.7227787499996339
da,2,10,0.5736978949998957
da,2,40,0.5819744069995068
da,2,0,0.571648981999715
xiao,2,0,0.5439390790006655
xiao,2,20,0.4565022560000216
zhong,2,20,0.639015671999914
xiao,2,30,0.5145676320007624
zhong,2,0,0.5051753630004896
xiao,2,20,0.8692703139995501
zhong,2,30,0.6630998440004987
da,2,10,0.6166016939996553
zhong,2,0,0.6010787129998789
da,2,40,0.7217518610004845
da,2,10,0.6454205330001059
zhong,2,30,0.4912961659993016
da,2,30,0.5552296790001492
xiao,2,10,0.5156881740003882
zhong,2,10,0.6073439940000753
xiao,2,10,0.58969288300068
da,2,20,0.5216287970006306
da,2,30,0.5245861670000522
da,2,20,0.521396592000201
da,2,40,0.5482993789992179
da,2,0,0.5081534739993003
xiao,2,10,0.5045268889998624
zhong,2,20,0.596377594999467
da,2,40,0.8437568819999797
da,2,40,0.5649601110008007
xiao,2,0,0.5068222919999243
zhong,2,0,0.49028494599951955
xiao,2,0,0.5124446259997057
da,2,20,0.6272827000002508
zhong,2,30,0.6462230839997574
xiao,2,30,0.45034983400000783
xiao,2,40,0.4415760550000414
da,2,10,0.5534774360003212
xiao,2,40,0.5148328859995672
da,0,0,0.5880225999999311
zhong,0,10,0.5492059510006584
xiao,0,40,0.8388256140005979
zhong,0,30,0.5530581390003135
zhong,0,20,0.4282800640003188
da,0,0,0.5991291759992237
da,0,30,0.6303243259999363
da,0,30,0.4314319289997002
da,0,30,0.4885683880002034
zhong,0,20,0.6246156460001657
zhong,0,40,0.6398313310000958
da,0,10,0.5860328010003286
xiao,0,0,0.5218622359998335
da,0,10,0.6249643249993824
zhong,0,30,0.5027824660000988
zhong,0,40,0.4989788060001956
zhong,0,10,0.4434325460006221
da,0,0,0.45994205999977567
zhong,0,40,0.687519923999389
zhong,0,10,0.4513104719999319
zhong,0,0,0.547987490000196
da,0,20,0.5662693579997722
xiao,0,20,0.4126702240000668
da,0,20,0.6503477120004391
zhong,0,40,0.542186767000203
zhong,0,0,0.49121894299969426
zhong,0,20,0.584495170000082
xiao,0,40,0.781360637999569
zhong,0,10,0.5244099020001158
da,0,30,0.5968364199998177
xiao,0,30,0.5787525380001171
zhong,0,40,0.493447009999727
da,0,0,0.5387929930002429
xiao,0,10,0.5188630499997089
da,0,10,0.64274339900021
zhong,0,40,0.5636686859998008
da,0,40,0.6005741119997765
zhong,0,20,0.5716252559996065
zhong,0,0,0.5089954839995698
da,0,30,0.5456025009998484
xiao,0,0,0.44634668700018665
zhong,0,10,0.6353011359997254
zhong,0,30,0.5247534889995222
zhong,0,20,0.45294819999980973
da,0,20,0.5351964299998144
zhong,0,40,0.6521786269995573
zhong,0,0,0.5252629000005982
da,0,10,0.5214197190007326
xiao,0,30,0.5052591189996747
da,0,20,0.5875063600005888
