Character,Direction,Eccentricity,Reaction Time (s)
xiao,2,0,0.564576331
da,2,20,0.674840173
xiao,2,10,0.521645776
zhong,2,20,0.510773314
zhong,2,40,0.577064407
zhong,2,30,0.596781156
da,2,0,0.576888351
da,2,40,0.846161255
xiao,2,30,0.639244495
zhong,2,0,0.589819097
da,2,20,0.65702187
da,2,30,0.569235264
zhong,2,30,0.588654553
zhong,2,20,0.516770994
xiao,2,30,0.606703797
zhong,2,20,0.591038906
da,2,10,0.611824162
xiao,2,20,0.522830578
zhong,2,0,0.603253207
xiao,2,10,0.438126259
zhong,2,20,0.586055685
zhong,2,40,0.511704471
xiao,2,0,0.524666231
xiao,2,30,0.491354743
xiao,2,40,0.615934481
da,2,0,0.592301421
xiao,2,20,0.567565501
zhong,2,30,0.542786242
xiao,2,0,0.435709176
zhong,2,10,0.498351247
zhong,2,0,0.440867857
xiao,2,10,0.490014766
xiao,2,40,0.55288356
xiao,2,10,0.460183196
xiao,2,40,0.47833485
da,2,0,0.652090626
xiao,2,20,0.54242053
xiao,2,0,0.44559938
zhong,2,10,0.554059855
da,2,30,0.507436305
xiao,2,10,0.40874098
zhong,2,10,0.623117562
da,2,40,0.639754284
xiao,2,30,0.423321178
xiao,2,40,0.49847268
zhong,2,30,0.54470445
da,2,20,0.575249731
zhong,2,10,0.59203946
xiao,2,40,0.494815736
xiao,2,40,0.544126769
zhong,0,10,0.577313304
da,0,40,0.637361214
da,0,10,0.592446003
xiao,0,30,0.60306808
zhong,0,30,0.578440863
da,0,40,0.650568366
xiao,0,30,0.588019653
da,0,0,0.675550181
zhong,0,20,0.579443599
xiao,0,10,0.449853744
da,0,0,0.581459557
da,0,0,0.558195306
da,0,0,0.602344117
zhong,0,30,0.579466984
xiao,0,40,0.762038342
da,0,30,0.63164912
da,0,20,0.491678465
zhong,0,0,0.623226396
zhong,0,10,0.462001746
zhong,0,20,0.420742412
zhong,0,10,0.444625286
zhong,0,30,0.488504359
xiao,0,20,0.527656997
zhong,0,30,0.631806392
zhong,0,30,0.50480491
xiao,0,10,0.50080785
da,0,40,0.778046599
da,0,40,0.682091779
xiao,0,0,0.521351928
da,0,10,0.675324737
xiao,0,30,0.547278741
zhong,0,40,0.620199891
zhong,0,10,0.529591601
da,0,40,0.625397689
xiao,0,20,0.478893982
xiao,0,40,0.575959685
da,0,0,0.424689418
zhong,0,10,0.506880712
zhong,0,40,0.539960118
zhong,0,20,0.509359958
zhong,0,0,0.453513685
da,0,30,0.559407663
zhong,0,20,0.443083076
da,0,20,0.521144527
da,0,10,0.505657973
da,0,40,0.591524143
da,0,0,0.422860346
xiao,0,20,0.460176855
zhong,0,20,0.546327143
xiao,0,0,0.596535101
