Character,Direction,Eccentricity,Reaction Time (s)
xiao,2,30,0.9226754810001694
da,2,20,0.5496757329997308
da,2,0,0.5080776139998306
xiao,2,10,0.5067802829998982
da,2,40,0.5670118480002202
xiao,2,30,0.4746369340000456
xiao,2,0,0.34409231800009366
da,2,30,0.53275585900019
xiao,2,30,0.48083685300025536
xiao,2,0,0.4107850129998951
xiao,2,0,0.4154459090000273
xiao,2,0,0.4214697059996979
xiao,2,10,0.5538842989999466
xiao,2,30,0.5417026810000607
xiao,2,10,0.4910168420001355
xiao,2,40,0.48997192200022255
xiao,2,0,0.42283429500002967
xiao,2,40,0.536530626000058
da,2,30,0.516452414000014
da,2,20,0.457001542999933
xiao,2,30,0.49439863799989325
da,2,10,0.6476078280002184
xiao,2,40,0.5618189390002044
da,2,40,0.5808995279999181
xiao,2,20,0.4589055929995993
xiao,2,30,0.5128549629998815
xiao,2,20,0.5009699669999463
xiao,2,10,0.45650824500035014
da,2,10,0.5300208469998324
xiao,2,10,0.5040099180000652
da,2,30,0.547591827999895
da,2,0,0.43979648200001975
da,2,20,0.44981683700007125
da,2,40,0.6896029220001765
da,2,40,0.6409815570000319
xiao,2,10,0.4211162470001
da,2,20,0.5249584279999908
xiao,2,40,0.5478675379999913
xiao,2,20,0.45157144199993127
xiao,2,40,0.5147936830003346
xiao,2,0,0.4603479679999509
xiao,2,0,0.4163141109997923
da,2,10,0.45947274099989954
xiao,2,40,0.5610459859999537
xiao,2,20,0.48678205500027616
da,2,30,0.5482945930002643
da,2,20,0.3919352389998494
da,2,20,0.546107136000046
da,2,10,0.5842098349999105
da,2,0,0.53618283600008
xiao,0,0,0.3623647300000812
da,0,40,0.8877957859999697
xiao,0,30,0.47453103299994837
xiao,0,10,0.5338959979999345
da,0,20,0.46117503499999657
xiao,0,40,0.6046799910000118
da,0,0,0.39503238999986934
xiao,0,40,0.619048439999915
xiao,0,30,0.40869327700011127
xiao,0,40,0.446968016000028
xiao,0,10,0.4460359710001285
da,0,30,0.5229337559999294
da,0,10,0.36177717099963047
da,0,20,0.46954989300002126
da,0,20,0.4741809879997163
da,0,40,0.665723737999997
da,0,20,0.5332205599997906
xiao,0,10,0.529942753999876
da,0,30,0.5944746440000017
xiao,0,40,0.5507190249995801
da,0,40,0.532811398999911
da,0,0,0.4385041979999187
da,0,30,0.5108745419997831
xiao,0,40,0.4691295060001721
xiao,0,40,0.5912211549998574
da,0,0,0.5614752840001529
xiao,0,20,0.49051644299970576
da,0,20,0.5554390170000261
da,0,10,0.49292504799996095
da,0,30,0.4406987399997888
xiao,0,20,0.49168460999999297
da,0,30,0.6178261459999703
xiao,0,0,0.3987914700001056
da,0,20,0.4643249110004035
da,0,30,0.5403077430000849
da,0,20,0.4987855760000457
da,0,30,0.4848661060000268
da,0,10,0.4799650009999823
da,0,10,0.41376495800022894
xiao,0,10,0.47092200199995204
da,0,0,0.42892384400010997
da,0,30,0.5222217700002147
da,0,0,0.3725731080003243
xiao,0,0,0.4140415209999446
da,0,0,0.5926403250000476
da,0,40,0.5596967209999093
xiao,0,0,0.43405817199982266
da,0,20,0.6121490520004045
da,0,10,0.4643071929999678
xiao,0,10,0.5209750720000557
