Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,25,0.318057587
0,2,0,0.250316675
0,2,25,0.254901268
0,2,35,0.252500042
0,2,5,0.259455559
0,2,15,0.242550447
0,2,20,0.23064451
0,2,15,0.211614907
0,2,40,0.081622023
0,2,20,0.227419532
0,2,30,0.202838028
0,2,20,0.281667272
0,2,40,0.259285628
0,2,10,0.207916041
0,2,15,0.237367604
0,2,25,0.255004693
0,2,25,0.219311643
0,2,35,0.273034088
0,2,0,0.18914707
0,2,0,0.241051678
0,2,20,0.280853195
0,2,10,0.25879987
0,2,0,0.273999993
0,2,5,0.265054714
0,2,10,0.259367237
0,2,10,0.216189732
0,2,30,0.21565565
0,2,5,0.366734968
0,2,30,0.284770812
0,2,10,0.306171562
0,2,5,0.262984246
0,2,35,0.11532466
0,2,30,0.332218318
0,2,25,0.286129517
0,2,35,0.312669476
0,2,15,0.263966815
0,2,30,0.300054303
0,2,15,0.224264007
0,2,5,0.284886168
0,2,25,0.287933286
0,2,40,0.29079333
0,2,20,0.245664525
0,2,5,0.274435139
0,2,35,0.258895944
0,2,40,0.30775158
0,2,30,0.293832513
0,2,0,0.267726609
0,2,10,0.347442383
0,2,30,0.323575995
0,2,20,0.261576503
0,2,0,0.334582913
0,2,5,0.330846366
0,2,10,0.270743337
0,2,40,0.24647311
0,2,40,0.542629856
0,2,25,0.30417073
0,2,10,0.247001836
0,2,30,0.268317961
0,2,0,0.337006486
0,2,0,0.230119186
0,2,30,0.315532532
0,2,25,0.252092015
0,2,35,0.236696909
0,2,25,0.291073726
0,2,5,0.270177215
0,2,30,0.273590854
0,2,40,0.315985589
0,2,35,0.313778812
0,2,20,0.275621169
0,2,15,0.264865884
0,2,35,0.291208415
0,2,15,0.289240688
0,2,20,0.281867434
0,2,40,0.311739272
0,2,15,0.249038007
0,2,15,0.243230295
0,2,35,0.287511335
0,2,40,0.273614476
0,2,5,0.282181478
0,2,0,0.311789844
0,2,10,0.32621684
0,2,15,0.291035228
0,2,20,0.2790517
0,2,10,0.340586702
0,2,20,0.318869586
0,2,5,0.265948513
0,2,0,0.217169491
0,2,35,0.32581922
0,2,25,0.27477015
0,2,40,0.286006258
0,0,30,0.257465171
0,0,10,0.235584506
0,0,35,0.262636342
0,0,25,0.253675113
0,0,25,0.243168019
0,0,10,0.297360209
0,0,10,0.222993471
0,0,0,0.286503051
0,0,20,0.297146848
0,0,35,0.281410041
0,0,30,0.318293717
0,0,35,0.260613002
0,0,5,0.243007234
0,0,10,0.201096189
0,0,40,0.253174865
0,0,10,0.250052967
0,0,25,0.262368605
0,0,40,0.274896559
0,0,0,0.220144936
0,0,30,0.235806702
0,0,40,0.046672495
0,0,15,0.2660781
0,0,30,0.285309596
0,0,30,0.26950146
0,0,0,0.356016799
0,0,10,0.277897498
0,0,35,0.242837125
0,0,25,0.236821074
0,0,5,0.247983115
0,0,40,0.231851996
0,0,0,0.027808262
0,0,0,0.292813946
0,0,0,0.337060948
0,0,25,0.290129568
0,0,5,0.253668072
0,0,0,0.286094086
0,0,35,0.292412668
0,0,15,0.268206128
0,0,15,0.255221421
0,0,10,0.279111511
0,0,5,0.421501399
0,0,20,0.318576469
0,0,5,0.384840474
0,0,5,0.262718611
0,0,0,0.23055016
0,0,35,0.353566148
0,0,0,0.247634309
0,0,20,0.275555915
0,0,15,0.25360131
0,0,20,0.248081486
0,0,5,0.260392885
0,0,25,0.186356499
0,0,20,0.077196811
0,0,35,0.25257606
0,0,20,0.292138803
0,0,20,0.252187987
0,0,30,0.24089759
0,0,15,0.245895954
0,0,5,0.250066509
0,0,40,0.308713017
0,0,25,0.242675192
0,0,25,0.283054137
0,0,15,0.218382546
0,0,40,0.277455675
0,0,40,0.282931664
0,0,20,0.37813521
0,0,40,0.26975656
0,0,15,0.254795117
0,0,0,0.3480906
0,0,25,0.282470956
0,0,15,0.28085417
0,0,20,0.242837554
0,0,5,0.289063486
0,0,10,0.388181994
0,0,15,0.512091317
0,0,30,0.244591831
0,0,10,0.293593334
0,0,30,0.318535318
0,0,35,0.235243767
0,0,35,0.280670827
0,0,40,0.261453658
0,0,25,0.284770173
0,0,30,0.295459431
0,0,15,0.346410778
0,0,30,0.256749988
0,0,10,0.204639113
0,0,35,0.248598596
0,0,40,0.226938539
0,0,20,0.265276965
0,0,5,0.402506459
