Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,15,0.448916261
0,2,25,0.360789787
0,2,30,0.367893948
0,2,5,0.48002737
0,2,0,0.369270297
0,2,40,0.414930971
0,2,0,0.341081421
0,2,15,0.323999235
0,2,15,0.309642062
0,2,40,0.280589889
0,2,35,0.45959096
0,2,5,0.343871776
0,2,25,0.417680533
0,2,5,0.279081143
0,2,40,0.251439283
0,2,40,0.404332082
0,2,15,0.356103621
0,2,30,0.315049313
0,2,15,0.479920317
0,2,35,0.381619969
0,2,25,0.399404233
0,2,30,0.337733205
0,2,35,0.281127536
0,2,40,0.56627129
0,2,15,0.265173004
0,2,20,0.29399317
0,2,35,0.257063081
0,2,20,0.282228731
0,2,40,0.3647046
0,2,30,0.369314521
0,2,10,0.269128592
0,2,25,0.246271797
0,2,40,0.287424945
0,2,5,0.29706523
0,2,15,0.349963629
0,2,35,0.506767139
0,2,10,0.534129032
0,2,10,0.264057208
0,2,20,0.264781626
0,2,40,0.291144861
0,2,0,0.35644014
0,2,25,0.31594379
0,2,5,0.319303148
0,2,10,0.241355062
0,2,35,0.279938192
0,2,5,0.247941292
0,2,20,0.319831671
0,2,20,0.271279299
0,2,35,0.311791344
0,2,20,0.319520203
0,2,20,0.30037517
0,2,10,0.27322333
0,2,0,0.34826514
0,2,5,0.286230216
0,2,0,0.343648085
0,2,15,0.292027889
0,2,25,0.291404739
0,2,30,0.306067907
0,2,35,0.393415828
0,2,5,0.304481434
0,2,40,0.347737729
0,2,5,0.298623832
0,2,15,0.301452259
0,2,20,0.3519647
0,2,30,0.311168603
0,2,30,0.252178613
0,2,25,0.377386496
0,2,25,0.309428253
0,2,5,0.288217614
0,2,0,0.364665047
0,2,10,0.237668535
0,2,10,0.253355283
0,2,30,0.276136816
0,2,35,0.319523819
0,2,0,0.339050387
0,2,30,0.252771745
0,2,10,0.295734747
0,2,20,0.261145749
0,2,15,0.300714739
0,2,35,0.301657098
0,2,25,0.352365453
0,2,0,0.336731989
0,2,10,0.29859417
0,2,10,0.312623768
0,2,20,0.285933771
0,2,0,0.335207024
0,2,25,0.32437575
0,2,40,0.404083877
0,2,30,0.489038423
0,2,0,0.337199162
0,0,10,0.339495686
0,0,20,0.327555394
0,0,10,0.301685414
0,0,0,0.352037297
0,0,0,0.311414497
0,0,5,0.290597598
0,0,10,0.2562885
0,0,20,0.373034603
0,0,35,0.269142889
0,0,30,0.286244264
0,0,15,0.252550908
0,0,30,0.245773635
0,0,35,0.308163652
0,0,15,0.365656353
0,0,25,0.312859797
0,0,40,0.25284693
0,0,40,0.245879902
0,0,40,0.272473187
0,0,0,0.581729842
0,0,35,0.590239186
0,0,5,0.310458982
0,0,25,0.273350664
0,0,25,0.240803328
0,0,25,0.268003992
0,0,35,0.319976742
0,0,40,0.290226446
0,0,20,0.265298351
0,0,40,0.297284013
0,0,30,0.485095986
0,0,30,0.311141115
0,0,30,0.309862088
0,0,15,0.269026153
0,0,25,0.221101066
0,0,0,0.336683872
0,0,5,0.269382769
0,0,35,0.283711327
0,0,10,0.298333465
0,0,20,0.271377095
0,0,15,0.297743907
0,0,5,0.35515379
0,0,25,0.321276643
0,0,10,0.266831668
0,0,15,0.251850991
0,0,40,0.260983726
0,0,0,0.302526859
0,0,5,0.272574269
0,0,15,0.284827837
0,0,5,0.252896786
0,0,25,0.32026357
0,0,0,0.295335261
0,0,20,0.24323699
0,0,5,0.263618525
0,0,35,0.273838625
0,0,10,0.366554301
0,0,40,0.548387473
0,0,30,0.320100096
0,0,15,0.270713126
0,0,20,0.414421506
0,0,20,0.317378421
0,0,5,0.354237354
0,0,35,0.402691709
0,0,0,0.332617935
0,0,25,0.346372945
0,0,15,0.312726111
0,0,15,0.294523846
0,0,25,0.328113531
0,0,5,0.289520541
0,0,40,0.292162991
0,0,0,0.368548895
0,0,20,0.345159091
0,0,0,0.31186718
0,0,35,0.413653531
0,0,40,0.557019651
0,0,20,0.299110412
0,0,40,0.342461361
0,0,10,0.323323892
0,0,30,0.268989718
0,0,30,0.295091361
0,0,30,0.280380531
0,0,25,0.272295474
0,0,10,0.277517376
0,0,15,0.248055312
0,0,10,0.272508729
0,0,30,0.297384368
0,0,35,0.252854278
0,0,20,0.324321262
0,0,0,0.407091341
0,0,10,0.296673945
0,0,35,0.327784257
0,0,5,0.281236303
