Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,35,0.629988903
90,2,0,0.412885956
90,2,5,0.427130305
90,2,10,0.386335994
0,2,10,0.456866971
90,2,25,0.382337873
0,2,15,0.488758182
90,2,10,0.407903034
90,2,20,0.374147141
0,2,25,0.540311541
90,2,35,0.521887764
0,2,15,0.683793292
0,2,20,0.448650739
90,2,25,0.420014998
0,2,40,0.456983713
90,2,35,0.548175191
0,2,40,0.587178323
90,2,40,0.612312078
0,2,35,0.53119634
90,2,15,0.64155357
0,2,0,0.454600917
90,2,25,0.44963111
90,2,30,0.514087045
0,2,35,0.490669092
90,2,20,0.466989444
0,2,40,0.522037489
90,2,0,0.383103262
90,2,0,0.327547784
0,2,30,0.45440755
90,2,25,0.512343153
90,2,30,0.459932609
0,2,35,0.493033814
90,2,5,0.331180979
0,2,20,0.366134687
90,2,40,0.551043651
0,2,10,0.611917259
0,2,20,0.400395747
90,2,5,0.424145137
90,2,35,0.453205262
90,2,25,0.388943387
0,2,20,0.453964516
90,2,15,0.391238855
90,2,5,0.518119139
90,2,10,0.446482576
90,2,15,0.400777315
0,2,30,0.402567864
90,2,5,0.357158659
90,2,10,0.32851924
0,2,30,0.458999432
90,2,0,0.379505241
0,2,25,0.5093242
0,2,40,0.63812795
0,2,40,0.641884615
0,2,40,0.491328019
90,2,5,0.439273908
90,2,25,0.461550879
0,2,20,0.450995862
0,2,0,0.400596844
90,2,15,0.434238825
90,2,5,0.442786934
90,2,40,0.58222319
0,2,35,0.488496122
90,2,15,0.389746668
0,2,0,0.479185158
90,2,40,0.419280024
90,2,5,0.506668878
0,2,10,0.486417236
0,2,30,0.549924879
0,2,20,0.400926876
90,2,10,0.438142738
0,2,10,0.425846354
90,2,30,0.528656591
0,2,20,0.433295705
90,2,35,0.532258197
0,2,10,0.436010478
90,2,5,0.387694763
90,2,35,0.504018326
0,2,15,0.57617595
90,2,0,0.615582564
0,2,30,0.489559613
90,2,25,0.480385642
0,2,30,0.580062316
90,2,30,0.578460773
90,2,15,0.471472093
90,2,20,0.473574347
0,2,5,0.445323989
0,2,0,0.426426954
90,2,25,0.437392575
0,2,15,0.550357767
0,2,0,0.304866314
0,0,35,0.516616179
0,0,40,0.469348363
90,0,30,0.658535617
0,0,10,0.46096737
90,0,15,0.3873591
0,0,20,0.385484247
90,0,15,0.44602498
90,0,40,0.504990436
0,0,35,0.622290039
90,0,15,0.51525956
90,0,15,0.370271119
90,0,20,0.489861981
90,0,5,0.465541954
0,0,10,0.410194605
0,0,10,0.34425656
0,0,0,0.350314062
0,0,20,0.597022655
0,0,0,0.388477972
0,0,35,0.442843732
90,0,15,0.437694905
90,0,20,0.387812532
0,0,0,0.35876414
0,0,35,0.49058257
0,0,40,0.579994025
0,0,25,0.407126036
90,0,30,0.483230931
90,0,5,0.397610973
0,0,30,0.489496458
0,0,25,0.65037697
90,0,25,0.452071272
0,0,0,0.443477332
0,0,5,0.432682446
90,0,35,0.642457207
90,0,35,0.371674917
0,0,10,0.416921623
0,0,40,0.470052022
0,0,10,0.346515119
0,0,0,0.399316088
0,0,40,0.481589645
0,0,5,0.415754822
0,0,0,0.510154125
90,0,30,0.523380138
90,0,30,0.371679564
0,0,35,0.567945255
0,0,20,0.447958223
0,0,25,0.390718223
90,0,40,0.576150413
0,0,20,0.465973875
0,0,15,0.477716706
90,0,35,0.90429965
90,0,30,0.358768684
0,0,5,0.391638467
90,0,30,0.412590552
90,0,10,0.392307185
0,0,25,0.422864742
0,0,40,0.489831338
0,0,30,0.410600274
0,0,20,0.348475423
0,0,35,0.445720633
90,0,5,0.393044478
0,0,20,0.404212421
0,0,30,0.473407326
90,0,40,0.662477572
0,0,5,0.391767236
90,0,25,0.447133642
90,0,10,0.41034711
90,0,15,0.327241771
90,0,15,0.368034815
90,0,5,0.357283815
90,0,15,0.353893702
90,0,35,0.404243933
0,0,25,0.48554216
0,0,40,0.640646883
0,0,0,0.427315227
90,0,20,0.441176756
90,0,30,0.411252826
90,0,10,0.358231938
90,0,5,0.367627035
90,0,0,0.334697994
90,0,10,0.370452811
90,0,0,0.304991102
90,0,25,0.358109066
90,0,20,0.322161246
0,0,10,0.540878017
0,0,40,0.672642059
90,0,25,0.451472499
90,0,0,0.370672433
90,0,15,0.454927585
90,0,25,0.481957175
0,0,5,0.504805792
