Face,Direction,Eccentricity,Reaction Time (s)
7,2,35,0.3837126049984363
7,2,35,0.26817372599907685
7,2,25,0.34688536199973896
7,2,5,0.25709548700251617
7,2,5,0.23295307900116313
7,2,35,0.27349066299939295
7,2,35,0.27365352200286
7,2,15,0.2445807740004966
7,2,30,0.27280177600187017
7,2,20,0.24520519399811747
7,2,20,0.21194670999830123
7,2,20,0.3206722440008889
7,2,0,0.22136404800403398
7,2,30,0.19095035999635002
7,2,20,0.258471120003378
7,2,40,0.24118942600034643
7,2,40,0.2766695839964086
7,2,5,0.2807035570003791
7,2,30,0.2664189669958432
7,2,0,0.31573614700027974
7,2,20,0.3418711720005376
7,2,30,0.2564194000005955
7,2,20,0.229600083999685
7,2,10,0.3554757849997259
7,2,35,0.23547965499892598
7,2,30,0.2532471309968969
7,2,40,0.2816638409931329
7,2,15,0.24885584500589175
7,2,0,0.2595279599991045
7,2,0,0.23732389500219142
7,2,5,0.22239078800339485
7,2,35,0.2866082659966196
7,2,0,0.2538192110005184
7,2,25,0.2292702350023319
7,2,15,0.23724902000685688
7,2,5,0.21171932500146795
7,2,10,0.20668598100019153
7,2,40,0.2362987339947722
7,2,15,0.2238718219959992
7,2,40,0.23296707800182048
7,2,10,0.2587403129946324
7,2,35,0.2739499480012455
7,2,15,0.22510756400151877
7,2,35,0.2853250799962552
7,2,30,0.28296315600164235
7,2,30,0.24015465500269784
7,2,5,0.2568578330028686
7,2,25,0.24911343100393424
7,2,25,0.2471642470045481
7,2,35,0.2661301450061728
7,2,20,0.24131841399503173
7,2,20,0.23960880300001008
7,2,15,0.33717593499750365
7,2,10,0.2668738559950725
7,2,0,0.3343351680014166
7,2,20,0.2993031050064019
7,2,30,0.250889166003617
7,2,35,0.2405998499962152
7,2,5,0.2666304209997179
7,2,30,0.23911087900341954
7,2,40,0.21675509900524048
7,2,15,0.25972289499623
7,2,40,0.26293967999663437
7,2,25,0.3430208930003573
7,2,20,0.26457523200224387
7,2,15,0.2368306990028941
7,2,10,0.23048093100078404
7,2,10,0.27952816399920266
7,2,5,0.2456446770011098
7,2,10,0.23505187899718294
7,2,25,0.22811159700358985
7,2,10,0.13588669599994319
7,2,0,0.24425436899764463
7,2,0,0.2666718420005054
7,2,15,0.2540657729987288
7,2,15,0.24261486800241983
7,2,30,0.2516386329953093
7,2,25,0.24055637499986915
7,2,0,0.2672963829973014
7,2,40,0.2563820580035099
7,2,5,0.2395983409951441
7,2,25,0.2618886910058791
7,2,25,0.22829655399982585
7,2,10,0.26395974199840566
7,2,40,0.27692015500360867
7,2,0,0.26202352000109386
7,2,5,0.27569236799899954
7,2,25,0.26716685500286985
7,2,40,0.29670463500224287
7,2,10,0.3294049769974663
7,0,25,0.400871587000438
7,0,10,0.2917527440004051
7,0,20,0.28425910900114104
7,0,35,0.27870968700153753
7,0,35,0.3241806939986418
7,0,15,0.30307231299957493
7,0,5,0.25824353100324515
7,0,30,0.26960914300434524
7,0,10,0.285716026002774
7,0,0,0.3216662080012611
7,0,35,0.28671652599587105
7,0,15,0.280532160999428
7,0,15,0.25964538500556955
7,0,0,0.32140031999733765
7,0,35,0.2578636510006618
7,0,0,0.2921269260041299
7,0,30,0.42840252699534176
7,0,10,0.30531417099700775
7,0,40,0.2715898320020642
7,0,5,0.23906197600445012
7,0,35,0.2743021089991089
7,0,35,0.2520928659942001
7,0,20,0.292075058001501
7,0,10,0.26275084799999604
7,0,40,0.28603786599705927
7,0,0,0.3176078399992548
7,0,5,0.27291135500126984
7,0,20,0.280141482995532
7,0,40,0.31544501800090075
7,0,15,0.2368022469963762
7,0,30,0.259205815003952
7,0,0,0.3216893680000794
7,0,25,0.26755752899771323
7,0,15,0.24993933199584717
7,0,20,0.26627544700022554
7,0,25,0.25745560199720785
7,0,5,0.2692381849992671
7,0,5,0.26467627999954857
7,0,0,0.2912261560049956
7,0,25,0.2715427260045544
7,0,35,0.28294933500001207
7,0,20,0.23399835899908794
7,0,35,0.2453467779996572
7,0,15,0.2693485430063447
7,0,10,0.26098266200278886
7,0,10,0.281369871001516
7,0,20,0.2406745510015753
7,0,30,0.3138672330023837
7,0,25,0.2247610310005257
7,0,15,0.2623112000001129
7,0,0,0.3001509870009613
7,0,0,0.2513010149996262
7,0,40,0.3733955120042083
7,0,0,0.3286559469997883
7,0,10,0.29453751300025033
7,0,15,0.28062569799658377
7,0,20,0.23355058100423776
7,0,25,0.25354632800008403
7,0,30,0.24643594599911012
7,0,40,0.25157197599764913
7,0,20,0.25682633900578367
7,0,20,0.2506735019996995
7,0,5,0.26788565799506614
7,0,30,0.2574238419983885
7,0,30,0.2537419479995151
7,0,25,0.2729514660022687
7,0,15,0.23736886400001822
7,0,10,0.2095803869960946
7,0,25,0.25342874899797607
7,0,30,0.29075334300432587
7,0,40,0.26234803800616646
7,0,5,0.2878966110001784
7,0,5,0.2455127889988944
7,0,0,0.3212976830036496
7,0,25,0.2988822299957974
7,0,25,0.2700294649985153
7,0,40,0.255050381005276
7,0,35,0.24254492799809668
7,0,10,0.27051318399753654
7,0,20,0.2563319379987661
7,0,5,0.25739533200248843
7,0,10,0.2393278960007592
7,0,30,0.3997238860029029
7,0,5,0.23121818099753
7,0,35,0.27786265699978685
7,0,40,0.24023462700279197
7,0,15,0.21491822100506397
7,0,40,0.25182319799932884
7,0,40,0.2561064070032444
7,0,30,0.29977999000402633
