Face,Direction,Eccentricity,Reaction Time (s)
17,2,35,0.984352831
17,2,20,0.691433961
15,2,25,0.712313439
13,2,0,0.570583732
13,2,0,0.439901465
17,2,10,0.607300615
15,2,20,0.65990243
13,2,35,0.791059764
15,2,25,0.523181419
13,2,5,0.53949399
15,2,25,0.589651761
13,2,15,0.551843153
13,2,5,0.452070542
15,2,30,0.657944984
13,2,30,0.799795227
13,2,0,0.730213352
15,2,15,0.729937911
15,2,5,0.607620638
13,2,15,0.690537065
15,2,5,0.786011307
17,2,15,0.840534
13,2,10,0.630218278
13,2,30,1.072884092
17,2,20,0.760889783
17,2,5,0.959940461
17,2,40,0.805722318
15,2,25,0.655215563
13,2,25,0.68773582
13,2,5,0.533664122
15,2,20,0.649384544
13,2,15,0.698533156
13,2,30,0.877149952
13,2,35,0.862886546
15,2,0,0.497766588
13,2,10,0.609028413
15,2,15,0.541267958
17,2,30,0.592620545
15,2,10,0.584031976
17,2,10,0.670875789
15,2,0,0.533029497
17,2,35,0.789304121
15,2,0,0.530828215
17,2,10,0.841076272
15,2,0,0.400969905
13,2,5,0.534320501
17,2,20,0.685702375
13,2,30,0.778010343
15,2,10,0.551171388
17,2,20,0.621595254
17,2,10,0.526046761
15,2,10,0.631819655
13,2,15,0.718539985
17,2,35,1.071758607
13,2,0,0.575687665
17,2,30,0.785537173
15,2,5,0.731803606
17,2,20,0.779884886
13,2,25,0.635975597
15,2,20,0.50021374
13,2,35,0.704651496
13,2,40,0.791498886
13,2,20,0.732798742
15,2,40,0.954990052
13,2,10,0.785960648
13,2,25,0.909332148
17,2,15,0.691466691
13,2,25,0.710542901
15,2,30,0.676301048
13,2,30,0.651360852
13,2,15,0.573708306
13,2,30,0.942876169
13,2,40,0.965939003
13,2,0,0.798336988
13,2,35,0.974027173
13,2,25,0.841753459
17,2,25,0.726474415
13,2,40,0.778446366
15,2,20,0.787398582
17,2,15,0.659924973
17,2,40,0.928686882
17,2,0,0.568795422
15,2,5,0.663916668
17,2,5,0.693689872
15,2,35,0.883745823
15,2,40,0.805468201
13,2,40,0.888809652
17,2,35,0.94798482
15,2,40,1.425609018
13,2,35,0.990660862
13,2,40,0.76479329
13,0,0,0.638425734
15,0,15,0.774423867
17,0,15,1.042544536
17,0,0,0.558689595
17,0,35,1.286889201
17,0,40,0.700418953
13,0,10,0.84594724
13,0,20,0.706677395
15,0,15,0.466420852
15,0,20,0.502917075
17,0,35,0.795759639
13,0,0,0.524533274
13,0,35,0.791212765
13,0,10,0.628940436
13,0,25,0.548368346
17,0,5,0.68849981
13,0,35,0.824906556
13,0,10,0.564490965
13,0,5,0.73764626
15,0,30,0.714530433
13,0,35,0.918099474
13,0,40,0.948153606
15,0,10,0.738981349
15,0,15,1.001734156
17,0,20,0.829411157
17,0,5,0.44264185
15,0,5,0.555300013
15,0,25,0.609217607
15,0,40,0.685716332
17,0,10,0.860484481
13,0,5,0.624058051
13,0,30,0.866814514
17,0,5,0.590960054
15,0,10,0.806551035
13,0,30,0.869493327
17,0,10,0.720752602
13,0,20,0.826594509
17,0,0,0.508423765
17,0,15,0.728751137
17,0,25,0.578577367
15,0,15,0.506191466
13,0,35,0.769375589
13,0,25,0.648160156
13,0,40,0.876544376
13,0,30,0.857831659
15,0,25,0.69787853
15,0,5,0.731826731
17,0,0,0.568381498
15,0,10,0.583067822
17,0,30,0.747583516
13,0,0,0.675019599
15,0,0,0.551755085
13,0,15,0.96917093
13,0,35,0.733855039
13,0,20,0.548796732
13,0,25,0.556320822
15,0,0,0.536407204
15,0,20,0.52913559
13,0,0,0.498622507
15,0,25,0.705007555
17,0,15,0.819089593
17,0,40,0.920524967
17,0,40,0.823801247
17,0,40,0.818533103
17,0,40,1.20088856
15,0,25,1.020044258
17,0,5,0.544338602
15,0,20,0.713745666
17,0,40,1.05511889
17,0,15,0.731418484
15,0,20,0.704469935
13,0,5,0.534185275
17,0,30,0.613313092
15,0,35,0.631524596
13,0,0,0.517346181
13,0,25,0.591430631
15,0,10,0.628282158
17,0,5,0.704043228
17,0,15,0.697464135
17,0,20,0.789346579
15,0,10,0.652183905
17,0,40,0.589075645
17,0,30,0.763805044
17,0,35,0.845511273
17,0,20,0.55445183
17,0,30,1.261809667
13,0,30,1.297816786
13,0,30,0.870922622
13,0,25,0.807371909
15,0,35,0.634148023
