Letter,Direction,Eccentricity,Reaction Time (s)
E,2,40,0.44253979
E,2,40,0.268370392
E,2,0,0.331319414
E,2,30,0.351410011
E,2,40,0.253592806
E,2,30,0.287153661
E,2,20,0.244496658
E,2,30,0.268713304
E,2,30,0.252192211
E,2,0,0.259702902
E,2,10,0.237968532
E,2,30,0.196660523
E,2,10,0.242263864
E,2,40,0.236241661
E,2,30,0.408592741
E,2,20,0.243669855
E,2,40,0.246816017
E,2,20,0.248481577
E,2,20,0.318368592
E,2,20,0.258100456
E,2,20,0.424524671
E,2,0,0.297014003
E,2,30,0.328390871
E,2,10,0.265711566
E,2,40,0.260826944
E,2,0,0.308363337
E,2,10,0.24222712
E,2,40,0.269488677
E,2,30,0.453255
E,2,10,0.275486952
E,2,10,0.251426483
E,2,30,0.264461185
E,2,0,0.318308595
E,2,10,0.218813661
E,2,20,0.445370974
E,2,10,0.227977431
E,2,40,0.242127433
E,2,20,0.256782121
E,2,0,0.346088665
E,2,0,0.294130953
E,2,0,0.322033358
E,2,10,0.283536961
E,2,20,0.244333457
E,2,40,0.269435793
E,2,0,0.277440814
E,2,20,0.263709367
E,2,0,0.267873275
E,2,10,0.279073364
E,2,30,0.282013868
E,2,40,0.289026163
E,0,20,0.258840555
E,0,10,0.311564203
E,0,10,0.276012342
E,0,10,0.304655015
E,0,0,0.378783569
E,0,40,0.328325771
E,0,30,0.328157793
E,0,20,0.246005859
E,0,10,0.250428161
E,0,30,0.238663339
E,0,40,0.247483204
E,0,10,0.269406338
E,0,20,0.278373016
E,0,10,0.269818771
E,0,40,0.294262102
E,0,0,0.247560447
E,0,20,0.296076263
E,0,40,0.270432599
E,0,0,0.271186901
E,0,30,0.275798513
E,0,40,0.292767097
E,0,20,0.252041974
E,0,40,0.291142826
E,0,20,0.257543727
E,0,10,0.24324285
E,0,0,0.220890424
E,0,20,0.273125151
E,0,20,0.254762837
E,0,10,0.233654443
E,0,20,0.430538609
E,0,10,0.260357114
E,0,30,0.243322875
E,0,0,0.289349981
E,0,0,0.310352975
E,0,10,0.253267815
E,0,30,0.26191586
E,0,30,0.264742109
E,0,0,0.286355987
E,0,30,0.294170247
E,0,30,0.279980714
E,0,0,0.255816501
E,0,20,0.291164975
E,0,30,0.274819756
E,0,30,0.269981071
E,0,40,0.284979882
E,0,0,0.340127904
E,0,40,0.265646594
E,0,40,0.278250928
E,0,0,0.31720232
E,0,40,0.471851968
