Letter,Direction,Eccentricity,Reaction Time (s)
P,2,0,0.5674488000222482
P,2,10,0.4469728830154054
B,2,10,0.4775233609834686
B,2,0,0.3632868960266933
B,2,30,0.5910653569735587
P,2,0,0.5251881200238131
B,2,20,0.5277484360267408
P,2,20,0.6367343500023708
B,2,0,0.5169085229863413
E,2,0,0.4384434859966859
B,2,40,1.2245752409799024
E,2,0,0.5352797619998455
P,2,10,0.5032882880186662
B,2,10,0.7114088800153695
P,2,20,0.5164369079866447
B,2,40,0.6263212300254963
P,2,10,0.42356423899764195
B,2,20,0.49127896496793255
P,2,40,0.5398810490150936
B,2,30,0.4781554759829305
E,2,10,0.5379482809803449
B,2,30,0.44196151703363284
B,2,20,0.43943095800932497
E,2,30,0.5226162640028633
P,2,10,0.3649437630083412
B,2,40,0.6555931950570084
B,2,40,0.6147515280172229
E,2,30,0.6790490269777365
E,2,0,0.38520317303482443
P,2,30,0.5701144490158185
B,2,40,0.5292367359506898
B,2,10,0.4175758690107614
E,2,20,0.5545713800238445
E,2,30,0.49624774599215016
P,2,30,0.5241094929515384
E,2,10,0.4938499599811621
E,2,20,0.43732216500211507
E,2,30,0.48398392903618515
E,2,40,0.72848420398077
P,2,20,0.6934117060154676
B,2,10,0.6799434430431575
B,2,40,0.763482645037584
E,2,20,0.557020761014428
E,2,20,0.5482724820030853
B,2,0,0.5102512930170633
P,2,40,0.6956988190067932
B,2,40,0.592583522957284
B,2,30,0.5762207430088893
P,2,0,0.6467014810186811
B,2,0,0.573773126991
P,0,0,0.5577029100386426
P,0,40,0.5423195330076851
P,0,20,0.4188084919587709
B,0,30,0.5284841390093789
P,0,10,0.4544713380164467
E,0,30,0.6432056979974732
B,0,10,0.5754103950457647
E,0,20,0.49188221601070836
P,0,20,0.43078695103758946
B,0,0,0.581679061986506
B,0,20,0.5452041960088536
E,0,20,0.6249826079583727
P,0,10,0.5792750020045787
E,0,10,0.5936415080213919
B,0,30,0.6865846219589002
E,0,20,0.5886073510046117
E,0,20,0.47255970200058073
E,0,40,0.5684966720291413
E,0,30,0.6295337629853748
E,0,40,0.6639280340168625
E,0,40,0.5903342120000161
E,0,10,0.3975204940070398
B,0,0,0.6885956070036627
E,0,10,0.5645754889701493
E,0,0,0.5625332939671353
P,0,40,0.6857797289849259
P,0,40,0.6052489739959128
P,0,0,0.4850262269610539
P,0,0,0.484445619978942
B,0,30,0.6958375989925116
E,0,10,0.565715684031602
E,0,30,0.4849054350052029
E,0,10,0.4906428489484824
B,0,40,0.7406880300259218
B,0,30,0.6516190469847061
E,0,30,0.5761153069906868
P,0,30,0.5520790810114704
P,0,40,0.5885556869907305
E,0,40,0.827990182035137
B,0,20,0.5322755639790557
P,0,20,0.5354505319846794
E,0,10,0.4517614559736103
P,0,40,0.6160780190257356
P,0,30,0.49973293900256976
P,0,0,0.5220205659861676
B,0,10,0.49271608400158584
B,0,0,0.5812149260309525
P,0,20,0.5562662240117788
B,0,0,0.7814228190109134
E,0,0,0.5146212510298938
