Letter,Direction,Eccentricity,Reaction Time (s)
P,2,10,0.5018358200322837
P,2,30,0.43841862998669967
E,2,40,0.6066187950200401
E,2,30,0.4629787169978954
P,2,30,0.5050426049856469
E,2,0,0.4524786440306343
P,2,10,0.4238950490253046
P,2,30,0.4427618350018747
P,2,20,0.3560157840256579
E,2,20,0.45037194300675765
P,2,0,0.359622212999966
P,2,40,0.421178097021766
E,2,10,0.39300487202126533
E,2,10,0.3707883059978485
P,2,40,0.45306908298516646
P,2,40,0.5529443440027535
E,2,0,0.47614072397118434
P,2,10,0.4552355209598318
E,2,10,0.37938180298078805
P,2,0,0.35144858399871737
P,2,0,0.3441165589611046
E,2,10,0.4477803720510565
E,2,0,0.37792935798643157
E,2,20,0.40692658902844414
P,2,20,0.4399465210153721
P,2,40,0.4758761590346694
E,2,0,0.4158815369592048
E,2,10,0.38648994301911443
E,2,40,0.5205703169922344
P,2,40,0.4657716110232286
E,2,20,0.4989714010152966
P,2,30,0.4888668149942532
E,2,30,0.5079477739636786
E,2,30,0.7101577590219676
E,2,30,0.49762854602886364
P,2,40,0.4962790030403994
P,2,40,0.5208303519757465
E,2,30,0.46934940497158095
E,2,0,0.4151686190161854
E,2,40,0.5020763439824805
P,2,0,0.38165248499717563
E,2,20,0.4175360529916361
P,2,20,0.47031181800412014
P,2,30,0.4284317629644647
E,2,20,0.48643378395354375
P,2,10,0.39288386603584513
E,2,0,0.4027408320107497
P,2,10,0.3875728439888917
E,2,20,0.42992744204821065
E,2,20,0.45646404899889603
P,0,0,0.44096178200561553
P,0,20,0.4883829440223053
P,0,10,0.3943994109868072
P,0,0,0.4033544820267707
E,0,30,0.5404984769993462
E,0,10,0.37364678300218657
E,0,40,0.49868682195665315
P,0,40,0.44186926999827847
P,0,10,0.4062743880203925
E,0,20,0.3803489929996431
P,0,20,0.413795341970399
P,0,40,0.5498460789676756
P,0,30,0.4652272660168819
E,0,20,0.5880478119943291
P,0,10,0.43791178497485816
P,0,20,0.5042789950384758
E,0,0,0.3721647189813666
E,0,20,0.4920440699788742
P,0,30,0.48870911600533873
P,0,10,0.5366328459931538
P,0,40,0.4984474999946542
E,0,20,0.5315478320117109
E,0,30,0.41021771798841655
P,0,40,0.5304895139997825
P,0,20,0.4015023619867861
P,0,30,0.4656306819524616
P,0,40,0.4315882529481314
E,0,30,0.5150015889666975
P,0,0,0.4325006559956819
E,0,40,0.5281398390070535
E,0,30,0.4753361020120792
E,0,0,0.38693800201872364
E,0,0,0.3485959420213476
E,0,0,0.3582484789658338
E,0,0,0.43685340497177094
E,0,10,0.4337556029786356
P,0,0,0.41206750296987593
P,0,10,0.602104244986549
E,0,30,0.5633474820060655
E,0,20,0.5303251739824191
P,0,30,0.4575143569963984
P,0,0,0.4107051460305229
E,0,10,0.37696851702639833
E,0,40,0.5495458120130934
P,0,10,0.4843906289897859
E,0,30,0.4699448290048167
E,0,10,0.454635921982117
E,0,40,0.7477177039836533
P,0,20,0.48455329198623076
E,0,40,0.5216066360007972
