Character,Direction,Eccentricity,Reaction Time (s)
da,0,0,0.2775099999998929
da,0,20,0.29489079999984824
da,0,0,0.3637617999993381
da,0,10,0.26811610000004293
da,0,0,0.298959300000206
da,0,30,0.2660572000004322
da,0,40,0.2909343999999692
da,0,30,0.2695492999991984
da,0,0,0.3064970000014
da,0,40,0.2782905000003666
da,0,40,0.3264897999997629
da,0,10,0.31180810000114434
da,0,30,0.2924488000007841
da,0,30,0.2955958999991708
da,0,40,0.2954774999998335
da,0,40,0.2968547000000399
da,0,20,0.2802193999996234
da,0,10,0.291911500000424
da,0,30,0.2895429000000149
da,0,40,0.3077195000005304
da,0,40,0.2520297999999457
da,0,40,0.28896679999888875
da,0,10,0.3677208999997674
da,0,0,0.31317440000020724
da,0,20,0.3182966000003944
da,0,10,0.2680986000013945
da,0,40,0.2732440999989194
da,0,30,0.294605799999772
da,0,30,0.2488889999985986
da,0,10,0.258797800001048
da,0,30,0.26815480000004754
da,0,20,0.33022449999953096
da,0,40,0.2826580000000831
da,0,20,0.2282828999996127
da,0,10,0.23510399999941
da,0,20,0.25407450000056997
da,0,0,0.3753090999998676
da,0,0,0.24045180000030086
da,0,10,0.2524620000003779
da,0,20,0.2655699999995704
da,0,10,0.27320079999844893
da,0,0,0.30056759999934
da,0,0,0.2794872000013129
da,0,10,0.24109250000037719
da,0,30,0.2648209999988467
da,0,30,0.28298929999982647
da,0,20,0.2929429000014352
da,0,20,0.2668408999998064
da,0,0,0.20496380000076897
da,0,20,0.23817140000028303
da,2,0,0.28083949999927427
da,2,20,0.26402020000023185
da,2,30,0.26521150000007765
da,2,20,0.2908056999986002
da,2,30,0.21355539999967732
da,2,40,0.26282829999945534
da,2,40,0.30977530000018305
da,2,20,0.2663890000003448
da,2,0,0.2747015000004467
da,2,0,0.24394530000063241
da,2,30,0.24350589999994554
da,2,10,0.2511751000001823
da,2,40,0.23965169999974023
da,2,10,0.42408099999920523
da,2,0,0.2900745000006282
da,2,40,0.2433949999995093
da,2,0,0.25057830000150716
da,2,30,0.24660140000014508
da,2,30,0.25234140000065963
da,2,20,0.2277911999990465
da,2,10,0.19967729999916628
da,2,0,0.31642640000063693
da,2,40,0.26956220000101894
da,2,30,0.2626545000002807
da,2,0,0.3081461000001582
da,2,30,0.2721720000008645
da,2,10,0.21228270000028715
da,2,30,0.22301730000071984
da,2,20,0.2341188999998849
da,2,0,0.3107053999992786
da,2,20,0.2466363999992609
da,2,10,0.26590109999960987
da,2,40,0.23430499999994936
da,2,20,0.2606933000006393
da,2,40,0.26981770000020333
da,2,30,0.24632019999990007
da,2,20,0.23665249999976368
da,2,30,0.25890439999966475
da,2,20,0.24137169999994512
da,2,10,0.2646852999987459
da,2,10,0.24246230000062496
da,2,40,0.265638000000763
da,2,10,0.25043360000017856
da,2,40,0.2509804000001168
da,2,10,0.2384875000007014
da,2,20,0.2369194000002608
da,2,40,0.27800940000088303
da,2,0,0.39230139999926905
da,2,0,0.2908224999991944
da,2,10,0.2523617999995622
