Character,Direction,Eccentricity,Reaction Time (s)
zhong,0,30,0.622633400002087
da,0,20,0.514240600001358
da,0,30,0.6091702000048826
da,0,10,0.5250157999980729
da,0,0,0.4647437000021455
zhong,0,20,0.6043378000031225
zhong,0,20,0.4039141000030213
da,0,20,0.4911647999979323
zhong,0,20,0.5094893000059528
xiao,0,0,0.44627750000654487
zhong,0,30,0.5114343999957782
zhong,0,0,0.4311459000018658
zhong,0,0,0.3930700999990222
da,0,0,0.43958980000024894
zhong,0,20,0.43366640000022016
da,0,10,0.509253100004571
zhong,0,40,0.5870155000011437
xiao,0,30,0.49270509999769274
zhong,0,40,0.594607700004417
da,0,20,0.4746565000023111
zhong,0,10,0.5243801000033272
zhong,0,40,0.42808099999820115
da,0,0,0.49679330000071786
da,0,30,0.5283430999988923
zhong,0,30,0.5570661999954609
zhong,0,40,0.5442115000041667
da,0,30,0.6463648999997531
zhong,0,0,0.5375749000013457
zhong,0,0,0.5274369999970077
da,0,10,0.5048508999971091
zhong,0,0,0.5071664999995846
xiao,0,30,0.5716259000037098
da,0,20,0.552089500000875
da,0,10,0.5849502999990364
zhong,0,30,0.5774967000033939
da,0,30,0.571368099997926
xiao,0,40,0.4779971000025398
zhong,0,20,0.5413275000028079
xiao,0,40,0.5867417999979807
zhong,0,20,0.5006232000014279
da,0,40,0.5924939999968046
zhong,0,40,0.7038492000065162
xiao,0,0,0.5211178000026848
da,0,10,0.641481600003317
zhong,0,40,0.5913005000038538
zhong,0,10,0.4686481999960961
da,0,40,0.918559700003243
xiao,0,10,0.5378606000012951
da,0,10,0.5045779000065522
xiao,0,10,0.40169020000030287
zhong,2,30,0.5205939000006765
xiao,2,30,0.5760794000016176
da,2,20,0.5106602000014391
xiao,2,0,0.2886415999964811
da,2,40,0.5512396999984048
xiao,2,0,0.37507429999823216
da,2,30,0.513603500003228
zhong,2,0,0.48192050000216113
xiao,2,10,0.4345796999987215
da,2,40,0.5189964000019245
da,2,10,0.4749819999997271
zhong,2,20,0.664785100001609
xiao,2,30,0.5862353999982588
zhong,2,10,0.4630008000021917
zhong,2,30,0.5587336000025971
zhong,2,40,0.6526276000004145
zhong,2,20,0.5025404999978491
zhong,2,10,0.3854171999992104
xiao,2,40,0.5375832999998238
zhong,2,0,0.3701022999957786
da,2,20,0.5016068000040832
da,2,30,0.632147399999667
xiao,2,0,0.5286860999985947
zhong,2,0,0.540504399999918
da,2,10,0.5082944000023417
zhong,2,0,0.5287266000013915
zhong,2,30,0.6502550000004703
zhong,2,20,0.41929800000070827
da,2,40,0.5827592999994522
xiao,2,0,0.4871534999983851
xiao,2,20,0.5313569999998435
xiao,2,40,0.645045699995535
xiao,2,10,0.4308951999992132
xiao,2,0,0.4406295000007958
xiao,2,40,0.5298613999984809
zhong,2,10,0.5977805000002263
zhong,2,20,0.4244786000053864
xiao,2,30,0.44980280000163475
xiao,2,10,0.4970002000045497
xiao,2,40,0.506568699995114
zhong,2,10,0.3999630999969668
da,2,20,0.5519223999945098
xiao,2,40,0.5649364999990212
da,2,20,0.5107150999974692
da,2,40,0.6480217999996967
zhong,2,20,0.4630797999998322
da,2,10,0.5126586999977008
da,2,30,0.4802789999957895
zhong,2,0,0.48306919999595266
da,2,30,0.49191029999929015
