Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,20,0.561098199999833
xiao,0,10,0.47832439999911003
da,0,30,0.5487362999992911
zhong,0,10,0.5154601000031107
zhong,0,40,0.45268140000553103
xiao,0,20,0.39128850000270177
da,0,0,0.4635760000019218
xiao,0,10,0.4715901000017766
xiao,0,30,0.5556275999988429
xiao,0,40,0.42579509999632137
zhong,0,0,0.4901975999964634
xiao,0,10,0.36787689999619033
xiao,0,30,0.3970495999965351
xiao,0,40,0.564607000000251
xiao,0,20,0.517035400000168
xiao,0,10,0.5032159999973373
zhong,0,0,0.5957483000020147
zhong,0,10,0.5438154999937979
zhong,0,0,0.5205958999940776
xiao,0,40,0.6024271999995108
xiao,0,20,0.5915212999971118
da,0,0,0.4532420000032289
da,0,20,0.5917019999978947
da,0,30,0.5960138000009465
zhong,0,40,0.5946256999959587
zhong,0,30,0.5155345000021043
zhong,0,30,0.41757090000464814
zhong,0,10,0.4537129000018467
zhong,0,20,0.3634799999999814
da,0,10,0.37745409999479307
da,0,20,0.5004716999974335
xiao,0,30,0.6872075999999652
zhong,0,20,0.5227642000027117
xiao,0,10,0.41984880000381963
zhong,0,0,0.5231764999989537
xiao,0,10,0.4579797000042163
da,0,30,0.5213130999982241
da,0,40,0.5295482000001357
xiao,0,20,0.45841709999513114
xiao,0,0,0.41267169999628095
zhong,0,30,0.5438548999954946
zhong,0,30,0.41244580000056885
zhong,0,0,0.3997218000004068
da,0,40,0.7766151999967406
xiao,0,0,0.46376080000482034
da,0,40,0.5354565999950864
zhong,0,40,0.9264944000024116
da,0,40,0.5658091000004788
xiao,0,20,0.4626974999991944
zhong,0,0,0.5398155000002589
xiao,2,20,0.5956130000049598
zhong,2,0,0.5164592000000994
xiao,2,10,0.40318890000344254
xiao,2,20,0.4858617999998387
da,2,40,0.5879807000019355
da,2,0,0.44084599999769125
da,2,40,0.5837420000025304
zhong,2,0,0.495000799994159
da,2,30,0.4495771000001696
da,2,10,0.5258274000007077
zhong,2,0,0.42225019999750657
zhong,2,0,0.4336661000052118
xiao,2,20,0.475996799999848
xiao,2,0,0.3931324999939534
xiao,2,30,0.49295810000330675
da,2,20,0.5610826999982237
zhong,2,20,0.4933937999958289
xiao,2,30,0.3903971999970963
da,2,10,0.49888049999572104
da,2,10,0.4492866000000504
da,2,20,0.5148399000026984
xiao,2,0,0.45773650000046473
xiao,2,20,0.5794875999999931
da,2,30,0.6281500999975833
da,2,10,0.5056242999999085
xiao,2,30,0.5093609999967157
da,2,10,0.45829580000281567
da,2,0,0.4687067000049865
xiao,2,40,0.5322748000035062
zhong,2,30,0.6401257999968948
da,2,30,0.5711725000001024
xiao,2,20,0.41282820000196807
zhong,2,30,0.6025864999974146
zhong,2,40,0.6120061999972677
da,2,0,0.46142020000115735
da,2,40,0.5549018000019714
da,2,0,0.5015115999995032
zhong,2,30,0.5241377999991528
da,2,30,0.4497172999981558
zhong,2,40,0.5934225999953924
zhong,2,40,0.4950420999957714
xiao,2,40,0.5048699999970268
zhong,2,10,0.500670599998557
zhong,2,20,0.46236429999407846
zhong,2,10,0.4470237999994424
zhong,2,40,0.44636410000384785
zhong,2,10,0.41370560000359546
zhong,2,40,0.4208148999969126
da,2,10,0.4864610000004177
zhong,2,20,0.5629565999988699
