Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,20,0.4774330000000191
xiao,0,30,0.4543800999999803
xiao,0,30,0.46334139999817125
xiao,0,40,0.4782560999992711
da,0,0,0.4969630999985384
xiao,0,10,0.4295304999977816
xiao,0,20,0.4877419000004011
da,0,10,0.48618830000123126
xiao,0,40,0.4744496999992407
da,0,0,0.44310480000058305
da,0,20,0.4622780999998213
xiao,0,20,0.4803663000020606
da,0,20,0.4158525000020745
xiao,0,0,0.4240599000004295
da,0,10,0.4996644000020751
da,0,0,0.43292160000055446
da,0,0,0.39342759999999544
xiao,0,40,0.5471921999996994
da,0,10,0.5418566000007559
da,0,30,0.4403887999978906
xiao,0,20,0.45719520000056946
xiao,0,0,0.4791067000005569
xiao,0,0,0.3662739999999758
xiao,0,40,0.46059470000182046
xiao,0,10,0.4333382000004349
xiao,0,0,0.3905440999988059
xiao,0,40,0.41275540000060573
xiao,0,10,0.3833085000005667
xiao,0,40,0.4699596000027668
xiao,0,40,0.4084555999979784
xiao,0,20,0.4528916000017489
da,0,20,0.35193639999852167
xiao,0,10,0.4507420000009006
xiao,0,20,0.5135921000000963
da,0,40,0.6811005999988993
da,0,20,0.42747540000345907
da,0,10,0.3513712000021769
da,0,10,0.3580154000010225
da,0,30,0.3527200999997149
xiao,0,10,0.4414405000024999
xiao,0,40,0.4923103999972227
xiao,0,0,0.45923670000047423
da,0,0,0.43585130000064964
da,0,30,0.49591979999968316
xiao,0,30,0.4861958000001323
da,0,40,0.4024088000005577
da,0,30,0.4744326000000001
xiao,0,30,0.48778069999752915
da,0,30,0.5182768000013311
da,0,30,0.5516745000022638
xiao,2,10,0.5107931000020471
da,2,10,0.4199653999967268
xiao,2,40,0.6555958000026294
da,2,10,0.5074469999999565
da,2,20,0.43783629999961704
da,2,20,0.46919960000013816
xiao,2,40,0.5148617999984708
xiao,2,10,0.39115449999735574
da,2,10,0.47033969999756664
da,2,0,0.4219756000020425
da,2,0,0.3942313000006834
da,2,20,0.299393000001146
xiao,2,40,0.4779474000024493
xiao,2,20,0.4127703999984078
da,2,20,0.4785145999994711
xiao,2,0,0.3986325999976543
xiao,2,30,0.39766320000126143
xiao,2,20,0.43589369999972405
da,2,40,0.5340185999993992
da,2,40,0.4194100000022445
da,2,0,0.41490129999874625
xiao,2,10,0.4005838999983098
da,2,30,0.4806725999987975
xiao,2,0,0.39463529999920866
xiao,2,40,0.5025966999965021
xiao,2,10,0.32330630000069505
da,2,30,0.5270918000023812
xiao,2,20,0.4517971999994188
da,2,40,0.5803656000025512
xiao,2,30,0.49791089999780525
xiao,2,30,0.5195267999988573
xiao,2,20,0.359280900000158
xiao,2,40,0.418232199997874
xiao,2,10,0.4695924000006926
xiao,2,30,0.4740165999974124
xiao,2,0,0.4267054999982065
da,2,10,0.4663454000001366
da,2,0,0.3406061000023328
xiao,2,0,0.39121540000269306
da,2,20,0.4536389999993844
da,2,0,0.4803213000013784
da,2,30,0.44885860000067623
da,2,20,0.34927690000040457
da,2,10,0.3681615999994392
xiao,2,40,0.5923480999990716
da,2,0,0.2748250000004191
da,2,40,0.5345616000013251
xiao,2,30,0.5121670000007725
da,2,30,0.5797146000004432
da,2,30,0.5018488999994588
