Character,Direction,Eccentricity,Reaction Time (s)
xiao,2,10,0.3653052999979991
da,2,0,0.4360491000006732
da,2,10,0.484307999999146
xiao,2,10,0.49426239999957033
xiao,2,0,0.4104659000004176
da,2,10,0.43740100000286475
xiao,2,0,0.3553013999990071
da,2,40,0.46944539999822155
da,2,30,0.44170889999804785
xiao,2,20,0.4613095999993675
da,2,0,0.41226580000147806
da,2,10,0.34551229999851785
xiao,2,0,0.3935903999990842
da,2,20,0.36696179999853484
xiao,2,0,0.3692483999984688
da,2,40,0.3904058000007353
xiao,2,10,0.44775579999986803
da,2,20,0.4458031999965897
xiao,2,30,0.48003090000202064
da,2,0,0.44238839999889024
da,2,10,0.39736449999691104
xiao,2,20,0.5739047000024584
xiao,2,40,0.488447300002008
da,2,40,0.6763704999975744
xiao,2,20,0.4282592999988992
da,2,40,0.6249179000005824
da,2,20,0.33920020000005024
xiao,2,30,0.4539297000010265
xiao,2,40,0.5062037999996392
xiao,2,30,0.383528499998647
xiao,2,40,0.3927447999994911
xiao,2,20,0.3547417999980098
da,2,10,0.3763284000015119
xiao,2,10,0.3980453000003763
xiao,2,0,0.44349249999868334
xiao,2,20,0.35198959999979706
xiao,2,30,0.43885519999821554
xiao,2,0,0.4093484000004537
xiao,2,30,0.5268627000004926
da,2,40,0.692031999999017
xiao,2,0,0.4411154000008537
xiao,2,20,0.4102266000008967
xiao,2,30,0.37636140000176965
da,2,30,0.5743359000007331
da,2,10,0.5103291000013996
da,2,30,0.4273517000001448
da,2,20,0.44119940000018687
da,2,40,0.47147059999770136
da,2,30,0.5468127999993158
xiao,2,40,0.5289869000007457
xiao,0,0,0.4542269000012311
da,0,10,0.5515847999995458
da,0,20,0.42144810000172583
da,0,0,0.39291679999951157
xiao,0,20,0.45047519999934593
da,0,0,0.47581069999796455
xiao,0,30,0.46242070000153035
xiao,0,20,0.39058749999821885
xiao,0,40,0.38471750000098837
xiao,0,40,0.4098006999993231
da,0,40,0.48342289999709465
xiao,0,30,0.42497670000011567
da,0,10,0.4188809000006586
xiao,0,0,0.3797286000008171
xiao,0,0,0.3864274999978079
xiao,0,20,0.5277415999989898
xiao,0,40,0.498822099998506
xiao,0,0,0.3963115000005928
xiao,0,0,0.40619879999940167
da,0,10,0.4145472000018344
xiao,0,40,0.415849299999536
xiao,0,20,0.35672929999782355
xiao,0,40,0.3800589000020409
da,0,20,0.4594558999997389
da,0,30,0.4886922000005143
xiao,0,10,0.34249650000128895
xiao,0,20,0.43357380000088597
da,0,20,0.431533800001489
xiao,0,30,0.4384319000018877
da,0,40,0.6176311999988684
da,0,10,0.3554480999991938
xiao,0,40,0.5316911999980221
da,0,0,0.42142339999918477
da,0,30,0.42118520000076387
da,0,30,0.3758607999989181
da,0,10,0.4003658000001451
xiao,0,30,0.5047830999974394
xiao,0,10,0.43632369999977527
da,0,10,0.4644187999983842
xiao,0,10,0.4394251000012446
xiao,0,30,0.48313430000052904
xiao,0,40,0.45929070000056527
xiao,0,0,0.46873989999949117
da,0,20,0.5054462000007334
xiao,0,0,0.44204829999944195
da,0,40,0.6553409000007377
xiao,0,10,0.46203800000148476
da,0,20,0.4045938000017486
da,0,30,0.5025673000018287
da,0,30,0.49166609999883804
