Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,10,0.2450963999144733
0.0,0,30,0.22509919991716743
0.0,0,30,0.24774900008924305
0.0,0,0,0.2802230999805033
0.0,0,40,0.23344789980910718
0.0,0,0,0.26313089998438954
0.0,0,10,0.24567239987663925
0.0,0,10,0.2583329000044614
0.0,0,20,0.29578229994513094
0.0,0,20,0.2605655000079423
0.0,0,0,0.26213589985854924
0.0,0,20,0.28393379994668067
0.0,0,40,0.29373040003702044
0.0,0,20,0.27417510002851486
0.0,0,40,0.10209739999845624
0.0,0,10,0.2733128000982106
0.0,0,20,0.2919715999159962
0.0,0,30,0.2810619999654591
0.0,0,10,0.2857308001257479
0.0,0,0,0.2689115998800844
0.0,0,30,0.2851601999718696
0.0,0,40,0.2719739999156445
0.0,0,0,0.31464120000600815
0.0,0,20,0.27021589991636574
0.0,0,40,0.31620720005594194
0.0,0,20,0.2392458999529481
0.0,0,10,0.2239560999441892
0.0,0,10,0.2662087001372129
0.0,0,30,0.30423000012524426
0.0,0,30,0.2770668000448495
0.0,0,30,0.12118580006062984
0.0,0,0,0.3112817001529038
0.0,0,0,0.30947410012595356
0.0,0,40,0.2805849998258054
0.0,0,20,0.2502579998690635
0.0,0,40,0.27106739999726415
0.0,0,10,0.2894186000339687
0.0,0,40,0.27470219996757805
0.0,0,30,0.2941592999268323
0.0,0,10,0.2585823000408709
0.0,0,10,0.2894698001910001
0.0,0,30,0.2648450001142919
0.0,0,40,0.2820317998994142
0.0,0,20,0.2657965999096632
0.0,0,0,0.3456856000702828
0.0,0,20,0.26404689997434616
0.0,0,0,0.2853486998938024
0.0,0,30,0.2731874999590218
0.0,0,40,0.2809700998477638
0.0,0,0,0.2558100998867303
0.0,2,0,0.24142890004441142
0.0,2,10,0.2002167000900954
0.0,2,40,0.24474869994446635
0.0,2,0,0.08716090000234544
0.0,2,0,0.2641583001241088
0.0,2,0,0.22896900004707277
0.0,2,30,0.23276509996503592
0.0,2,10,0.2851519000250846
0.0,2,30,0.26164839998818934
0.0,2,30,0.22373509989120066
0.0,2,10,0.25392339983955026
0.0,2,20,0.22865120018832386
0.0,2,20,0.04585359990596771
0.0,2,0,0.23651299998164177
0.0,2,20,0.26875169994309545
0.0,2,40,0.24905549990944564
0.0,2,0,0.29514880012720823
0.0,2,30,0.24900429998524487
0.0,2,20,0.23610209999606013
0.0,2,0,0.2696966000366956
0.0,2,0,0.2843084998894483
0.0,2,30,0.18370290007442236
0.0,2,40,0.2689308999106288
0.0,2,40,0.2889950000680983
0.0,2,20,0.24749059998430312
0.0,2,0,0.2727838000282645
0.0,2,10,0.29830579995177686
0.0,2,20,0.2925979997962713
0.0,2,10,0.283302899915725
0.0,2,30,0.24018890014849603
0.0,2,10,0.26956119993701577
0.0,2,20,0.24136410001665354
0.0,2,0,0.23892139992676675
0.0,2,20,0.2597865997813642
0.0,2,10,0.2775584999471903
0.0,2,10,0.24861050001345575
0.0,2,10,0.2407438000664115
0.0,2,40,0.17400379991158843
0.0,2,30,0.24840849987231195
0.0,2,40,0.29223309992812574
0.0,2,10,0.2928340998478234
0.0,2,30,0.27605940005742013
0.0,2,20,0.2582174001727253
0.0,2,40,0.28273099986836314
0.0,2,20,0.24746769992634654
0.0,2,40,0.27714080014266074
0.0,2,30,0.21425090008415282
0.0,2,40,0.2766122000757605
0.0,2,40,0.2820864000823349
0.0,2,30,0.27653759997338057
