Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.2736410000361502
0.0,2,40,0.27318610018119216
0.0,2,30,0.31016560015268624
0.0,2,20,0.2940400999505073
0.0,2,30,0.2857135001104325
0.0,2,40,0.2591876999940723
0.0,2,0,0.2420403000432998
0.0,2,40,0.26333350013010204
0.0,2,0,0.2661307998932898
0.0,2,10,0.22459219978190958
0.0,2,30,0.2402425000909716
0.0,2,30,0.26700820005498827
0.0,2,20,0.18120969994924963
0.0,2,40,0.21242820005863905
0.0,2,20,0.29377919994294643
0.0,2,20,0.3032125001773238
0.0,2,20,0.26697360002435744
0.0,2,10,0.25124699994921684
0.0,2,0,0.2566627999767661
0.0,2,40,0.2407828001305461
0.0,2,10,0.2644738999661058
0.0,2,30,0.2714760999660939
0.0,2,10,0.2493106999900192
0.0,2,40,0.2880335000809282
0.0,2,20,0.24864879995584488
0.0,2,0,0.3032678000163287
0.0,2,40,0.31402600021101534
0.0,2,10,0.27567440015263855
0.0,2,40,0.25267980014905334
0.0,2,10,0.2555937001015991
0.0,2,10,0.24913579993881285
0.0,2,40,0.3035991999786347
0.0,2,30,0.11379630002193153
0.0,2,0,0.25851839990355074
0.0,2,20,0.3140227999538183
0.0,2,40,0.2771796998567879
0.0,2,30,0.2787452999036759
0.0,2,30,0.2622064999304712
0.0,2,0,0.3275417999830097
0.0,2,10,0.26865249988622963
0.0,2,30,0.3274529001209885
0.0,2,20,0.3035860999953002
0.0,2,10,0.3061718000099063
0.0,2,30,0.26600770000368357
0.0,2,0,0.3029314000159502
0.0,2,20,0.24828359996899962
0.0,2,20,0.2649902000557631
0.0,2,10,0.2689869001042098
0.0,2,0,0.3613434999715537
0.0,2,0,0.22917069983668625
0.0,0,20,0.3023368001449853
0.0,0,0,0.2816154998727143
0.0,0,10,0.26473419996909797
0.0,0,10,0.25433230004273355
0.0,0,20,0.23033869988285005
0.0,0,40,0.2770419998560101
0.0,0,40,0.25255180010572076
0.0,0,10,0.22865039994940162
0.0,0,30,0.25071689998731017
0.0,0,20,0.22264240006916225
0.0,0,0,0.29990590014494956
0.0,0,30,0.2726038999389857
0.0,0,40,0.28899429994635284
0.0,0,40,0.27008419996127486
0.0,0,40,0.28759799990803003
0.0,0,30,0.2609041999094188
0.0,0,30,0.3024214000906795
0.0,0,30,0.2739586001262069
0.0,0,20,0.23909659986384213
0.0,0,0,0.3067952999845147
0.0,0,10,0.31441410002298653
0.0,0,30,0.2632230999879539
0.0,0,10,0.2767360999714583
0.0,0,0,0.28267590003088117
0.0,0,40,0.24814130016602576
0.0,0,40,0.31341509986668825
0.0,0,20,0.09254450001753867
0.0,0,0,0.2883524000644684
0.0,0,40,0.1879346000496298
0.0,0,0,0.21925379987806082
0.0,0,0,0.24355929996818304
0.0,0,0,0.32424920005723834
0.0,0,20,0.25031600007787347
0.0,0,0,0.2860894000623375
0.0,0,10,0.26580689987167716
0.0,0,40,0.2590624999720603
0.0,0,0,0.255817900178954
0.0,0,30,0.261182899819687
0.0,0,20,0.2499304001685232
0.0,0,20,0.3125081001780927
0.0,0,30,0.2882487000897527
0.0,0,10,0.23833420011214912
0.0,0,40,0.29850980010814965
0.0,0,20,0.2668109000660479
0.0,0,10,0.19336929987184703
0.0,0,10,0.302285100100562
0.0,0,30,0.30413249996490777
0.0,0,30,0.26129679987207055
0.0,0,20,0.30648129992187023
0.0,0,10,0.19855880015529692
