Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.45753800007514656
90.0,0,10,0.4340496000368148
45.0,0,30,0.31353679997846484
90.0,0,0,0.337064600083977
90.0,0,40,0.39560639997944236
90.0,0,40,0.4711313999723643
90.0,0,30,0.43122659996151924
90.0,0,0,0.35393789992667735
90.0,0,30,0.3554748999886215
0.0,0,0,0.3553412000183016
0.0,0,40,0.4526668998878449
0.0,0,0,0.3769069002009928
0.0,0,10,0.4240667999256402
90.0,0,10,0.40984449977986515
45.0,0,40,0.4060818001162261
90.0,0,20,0.4078496000729501
90.0,0,20,0.3476264998316765
0.0,0,30,0.41463140002451837
90.0,0,30,0.37236339994706213
45.0,0,0,0.39598529995419085
90.0,0,20,0.3538218999747187
0.0,0,40,0.3781308999750763
90.0,0,10,0.35516879986971617
90.0,0,40,0.4243750001769513
45.0,0,30,0.37601320003159344
45.0,0,10,0.44884690013714135
45.0,0,30,0.40251240017823875
45.0,0,10,0.4679415998980403
90.0,0,10,0.37279920000582933
0.0,0,20,0.5324502000585198
45.0,0,20,0.4405589001253247
45.0,0,30,0.42775899986736476
45.0,0,30,0.4593588998541236
90.0,0,10,0.4010186998639256
0.0,0,0,0.4260499000083655
90.0,0,20,0.4737894998397678
45.0,0,20,0.5185227000620216
0.0,0,40,0.672789900097996
90.0,0,40,0.45811009989120066
90.0,0,40,0.44886620016768575
90.0,0,40,0.4169366001151502
45.0,0,10,0.41288449987769127
0.0,0,30,0.49739899998530746
90.0,0,0,0.328654499957338
0.0,0,10,0.49643140006810427
45.0,0,20,0.4455178000498563
0.0,0,20,0.5908472998999059
0.0,0,20,0.43961430015042424
45.0,0,0,0.4704815000295639
90.0,0,0,0.3884940000716597
90.0,2,30,0.41513939993456006
45.0,2,20,0.4430529000237584
0.0,2,0,0.4379396000877023
0.0,2,30,0.41014429996721447
90.0,2,40,0.44008269999176264
90.0,2,10,0.4304824999999255
0.0,2,0,0.3816515998914838
90.0,2,0,0.3655543001368642
0.0,2,40,0.5234103000257164
45.0,2,10,0.454889299813658
0.0,2,0,0.40187439997680485
45.0,2,30,0.47487980010919273
90.0,2,40,0.4315247000195086
0.0,2,0,0.3916086999233812
0.0,2,20,0.4265527001116425
0.0,2,20,0.4323851999361068
45.0,2,40,0.44151600007899106
90.0,2,10,0.3640612999442965
90.0,2,10,0.3728897001128644
90.0,2,40,0.4362461999990046
90.0,2,40,0.6041091999504715
0.0,2,0,0.3686859000008553
0.0,2,30,0.4796704000327736
0.0,2,20,0.42787889996543527
45.0,2,0,0.45892370003275573
90.0,2,10,0.3756811001803726
45.0,2,30,0.4750484998803586
90.0,2,10,0.43843229999765754
90.0,2,20,0.3831652000080794
0.0,2,20,0.43620910006575286
0.0,2,20,0.45153059996664524
0.0,2,20,0.3989786000456661
0.0,2,0,0.376219600206241
90.0,2,10,0.3949769998434931
90.0,2,30,0.38140959991142154
90.0,2,10,0.39774369983933866
90.0,2,20,0.45211019995622337
0.0,2,0,0.45881460001692176
90.0,2,0,0.35300139989703894
0.0,2,20,0.5087562000844628
45.0,2,30,0.5067037001717836
0.0,2,40,0.41979000018909574
0.0,2,10,0.42542690015397966
90.0,2,30,0.40034779999405146
0.0,2,30,0.3985494999215007
90.0,2,40,0.4540555998682976
45.0,2,10,0.5483148000203073
45.0,2,40,0.5917083998210728
45.0,2,40,0.5148401001933962
0.0,2,30,0.5018269000574946
