Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.4381895000115037
90.0,2,20,0.3741043999325484
90.0,2,0,0.3562693998683244
90.0,2,40,0.43169640004634857
0.0,2,10,0.41418089997023344
90.0,2,40,0.41306819999590516
0.0,2,30,0.4082512999884784
90.0,2,40,0.38556319987401366
45.0,2,0,0.3928612999152392
45.0,2,40,0.5809182999655604
45.0,2,30,0.5023491000756621
45.0,2,30,0.530530699994415
90.0,2,10,0.42457070015370846
45.0,2,30,0.4797783000394702
0.0,2,30,0.3760587000288069
90.0,2,10,0.4611938998568803
45.0,2,0,0.34440400009043515
90.0,2,30,0.4301367998123169
45.0,2,20,0.4568374000955373
0.0,2,20,0.5458902998361737
45.0,2,30,0.39035470015369356
90.0,2,10,0.40629460010677576
45.0,2,30,0.4836271998938173
90.0,2,40,0.47240270022302866
90.0,2,0,0.34803760005161166
45.0,2,10,0.48494919994845986
90.0,2,40,0.4587317002005875
90.0,2,30,0.4253628000151366
90.0,2,10,0.4679821999743581
45.0,2,10,0.457186299841851
45.0,2,10,0.4993753999006003
90.0,2,40,0.44659560010768473
0.0,2,20,0.4334120999556035
45.0,2,40,0.5275421000551432
0.0,2,20,0.5076406998559833
90.0,2,10,0.4073157999664545
0.0,2,0,0.4461234000045806
90.0,2,0,0.39359960006549954
0.0,2,10,0.40514550008811057
0.0,2,20,0.3993156000506133
0.0,2,20,0.4424470001831651
90.0,2,40,0.4094008000101894
90.0,2,40,0.491391200106591
90.0,2,20,0.4524330999702215
45.0,2,0,0.4082998000085354
90.0,2,0,0.40437539992854
45.0,2,20,0.48845730000175536
0.0,2,30,0.5160179999656975
0.0,2,0,0.5728813000023365
45.0,2,20,0.47880639997310936
90.0,0,30,0.46203779987990856
90.0,0,40,0.46577470004558563
90.0,0,20,0.4072968000546098
0.0,0,30,0.5288062999024987
90.0,0,0,0.37498260010033846
90.0,0,30,0.43490160000510514
45.0,0,30,0.45440659997984767
45.0,0,30,0.3681754998397082
90.0,0,40,0.4960011001676321
90.0,0,40,0.5528158000670373
45.0,0,10,0.4073967000003904
90.0,0,20,0.3968328998889774
45.0,0,40,0.5752916000783443
0.0,0,10,0.476057399995625
45.0,0,40,0.5058655999600887
0.0,0,0,0.45246509998105466
90.0,0,0,0.3894388999324292
45.0,0,10,0.44142960011959076
90.0,0,20,0.40425370004959404
0.0,0,20,0.4198759999126196
90.0,0,10,0.4594657998532057
0.0,0,10,0.4018465999979526
0.0,0,20,0.47000820003449917
0.0,0,30,0.446132899960503
90.0,0,10,0.33039729995653033
45.0,0,0,0.44724030001088977
45.0,0,30,0.40268749999813735
0.0,0,40,0.5152545000892133
45.0,0,20,0.49961579986847937
45.0,0,40,0.45479459990747273
0.0,0,40,0.5192239000461996
0.0,0,20,0.4110926000867039
45.0,0,0,0.4516255999915302
90.0,0,0,0.39200780005194247
0.0,0,10,0.4417354997713119
0.0,0,0,0.3903633998706937
90.0,0,0,0.41046359995380044
45.0,0,20,0.4972643998917192
0.0,0,30,0.4786597997881472
90.0,0,30,0.45252789999358356
0.0,0,0,0.4599550000857562
0.0,0,0,0.3749571000225842
0.0,0,20,0.4786529999691993
0.0,0,10,0.4250011001713574
45.0,0,30,0.38743350002914667
0.0,0,20,0.47290850011631846
0.0,0,40,0.5406311000697315
45.0,0,10,0.40059940004721284
45.0,0,10,0.4806146000046283
90.0,0,40,0.4852130999788642
