Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,30,0.29407259984873235
0.0,0,30,0.34769589989446104
90.0,0,40,0.3483373001217842
0.0,0,40,0.4438869000878185
0.0,0,10,0.45966289984062314
90.0,0,40,0.3640745000448078
0.0,0,20,0.4002757000271231
90.0,0,20,0.3940414001699537
90.0,0,30,0.3740169999655336
0.0,0,0,0.4613743999507278
0.0,0,20,0.3992707999423146
90.0,0,30,0.31328070000745356
0.0,0,10,0.34319919999688864
90.0,0,40,0.38683979981578887
90.0,0,10,0.3986950002145022
0.0,0,20,0.3182636999990791
0.0,0,30,0.4684115001000464
0.0,0,20,0.4180517999920994
0.0,0,0,0.3753118999302387
0.0,0,40,0.4198821000754833
90.0,0,10,0.3470160998404026
0.0,0,20,0.49276209995150566
90.0,0,20,0.36757560004480183
0.0,0,30,0.41879569995217025
90.0,0,30,0.39686549990437925
90.0,0,30,0.3866582000628114
0.0,0,0,0.34327119984664023
0.0,0,10,0.38475630013272166
0.0,0,10,0.3763953000307083
90.0,0,10,0.3818634001072496
0.0,0,0,0.35380350006744266
90.0,0,20,0.35547830001451075
90.0,0,0,0.4132134998217225
90.0,0,40,0.45959299989044666
90.0,0,20,0.39516449999064207
0.0,0,10,0.3723949999548495
0.0,0,40,0.38621849985793233
90.0,0,30,0.44171139993704855
0.0,0,10,0.3621298000216484
90.0,0,30,0.3635716000571847
0.0,0,0,0.4195402998011559
0.0,0,20,0.4220004000235349
0.0,0,10,0.3772047001402825
0.0,0,0,0.3475949000567198
0.0,0,0,0.3654708999674767
0.0,0,0,0.3666860999073833
0.0,0,0,0.29107139981351793
0.0,0,40,0.502012100070715
90.0,0,40,0.3935842998325825
90.0,0,40,0.41634490014985204
0.0,2,10,0.35010550008155406
90.0,2,20,0.378739400068298
90.0,2,10,0.3401754000224173
0.0,2,10,0.5041678999550641
0.0,2,30,0.41612899978645146
90.0,2,20,0.36079459986649454
0.0,2,20,0.42421930003911257
90.0,2,0,0.31177660007961094
90.0,2,0,0.34733649995177984
0.0,2,20,0.3641842999495566
90.0,2,0,0.38654839992523193
90.0,2,30,0.4189061999786645
0.0,2,0,0.37384160002693534
0.0,2,10,0.35950860008597374
90.0,2,30,0.3374419000465423
0.0,2,40,0.44638630002737045
90.0,2,0,0.3433168998453766
90.0,2,30,0.36733439983800054
0.0,2,30,0.4263498999644071
90.0,2,0,0.34149129991419613
0.0,2,40,0.4002257001120597
90.0,2,40,0.4637086000293493
0.0,2,20,0.3542412999086082
90.0,2,30,0.3866426001768559
0.0,2,0,0.3396948999725282
90.0,2,0,0.37243740004487336
0.0,2,30,0.40070939995348454
90.0,2,30,0.3938140000682324
90.0,2,20,0.41822930006310344
90.0,2,40,0.4256366000045091
90.0,2,40,0.564241599990055
0.0,2,20,0.42180439992807806
0.0,2,10,0.4323349001351744
90.0,2,0,0.37428029999136925
0.0,2,30,0.3595244998577982
0.0,2,10,0.3506666999310255
0.0,2,30,0.4369528000243008
90.0,2,20,0.44743159995414317
90.0,2,0,0.3679207998793572
0.0,2,10,0.38607049989514053
90.0,2,20,0.3816772000864148
0.0,2,20,0.36682250001467764
90.0,2,40,0.4324392999988049
90.0,2,10,0.3685266000684351
0.0,2,10,0.3389504998922348
90.0,2,40,0.4433665999677032
90.0,2,40,0.4507196999620646
0.0,2,40,0.4648235999047756
0.0,2,40,0.48076840001158416
90.0,2,10,0.3775845000054687
