Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,20,0.3314501999411732
0.0,0,0,0.40943080000579357
0.0,0,20,0.3747113000135869
90.0,0,30,0.33261730009689927
0.0,0,20,0.339355600066483
90.0,0,0,0.31359270005486906
0.0,0,30,0.3151918000075966
90.0,0,10,0.3297563998494297
0.0,0,20,0.35097069991752505
0.0,0,0,0.35033920011483133
0.0,0,10,0.4809497999958694
0.0,0,0,0.3942724000662565
90.0,0,40,0.5115292000118643
90.0,0,40,0.4375837000552565
0.0,0,10,0.41359030012972653
90.0,0,40,0.3462340999394655
90.0,0,40,0.4440790999215096
0.0,0,10,0.42390720010735095
90.0,0,20,0.3970609998796135
90.0,0,30,0.3212683000601828
0.0,0,0,0.43293599993921816
0.0,0,20,0.413306400179863
90.0,0,40,0.36279319995082915
0.0,0,20,0.43038240005262196
0.0,0,0,0.38626560010015965
0.0,0,30,0.43552500009536743
0.0,0,20,0.4032534998841584
0.0,0,10,0.36400220007635653
0.0,0,10,0.36360030015930533
0.0,0,10,0.34744649985805154
90.0,0,30,0.3412029000464827
90.0,0,0,0.44363290001638234
90.0,0,30,0.3267087999265641
90.0,0,30,0.3299115998670459
0.0,0,10,0.5375923998653889
0.0,0,30,0.48888069996610284
90.0,0,30,0.4383291001431644
90.0,0,0,0.3864539999049157
0.0,0,40,0.42568370001390576
0.0,0,40,0.41490480001084507
90.0,0,30,0.34066480002366006
0.0,0,10,0.4097125001717359
0.0,0,40,0.44278990011662245
0.0,0,10,0.46553670009598136
90.0,0,0,0.37410610006190836
0.0,0,20,0.4551707000937313
90.0,0,0,0.3866324000991881
90.0,0,40,0.44452750007621944
0.0,0,40,0.47001809999346733
90.0,0,20,0.400484099984169
90.0,2,10,0.3860547000076622
0.0,2,30,0.412696500075981
90.0,2,20,0.3355473999399692
90.0,2,20,0.3932018999475986
0.0,2,0,0.38865470001474023
0.0,2,10,0.4049982000142336
90.0,2,20,0.3259366999845952
0.0,2,0,0.41894810018129647
90.0,2,10,0.353631200036034
90.0,2,20,0.37309689982794225
0.0,2,30,0.43029820010997355
90.0,2,0,0.4750240999273956
90.0,2,0,0.38057840010151267
90.0,2,40,0.4156135998200625
0.0,2,0,0.3905345001257956
0.0,2,0,0.38031630008481443
0.0,2,10,0.4233152000233531
90.0,2,30,0.35739090014249086
90.0,2,10,0.38024950004182756
90.0,2,30,0.4514303000178188
90.0,2,40,0.3777115000411868
0.0,2,10,0.3851254000328481
90.0,2,10,0.3607202998828143
90.0,2,20,0.36939359991811216
0.0,2,30,0.450264599872753
90.0,2,30,0.41815129993483424
0.0,2,0,0.3659528000280261
0.0,2,30,0.44797610002569854
90.0,2,40,0.44876600010320544
90.0,2,0,0.3718785000964999
0.0,2,30,0.4463859999086708
90.0,2,40,0.5051283000502735
0.0,2,20,0.43331429990939796
0.0,2,10,0.41694770008325577
90.0,2,40,0.5378205000888556
90.0,2,20,0.35545210004784167
90.0,2,40,0.385572399944067
0.0,2,0,0.42497970000840724
0.0,2,20,0.40344389993697405
90.0,2,20,0.39722750009968877
90.0,2,30,0.38338720006868243
90.0,2,20,0.34681049990467727
0.0,2,10,0.34036459983326495
0.0,2,40,0.4828935000114143
0.0,2,40,0.477528200019151
0.0,2,10,0.4500640998594463
90.0,2,30,0.4174382002092898
0.0,2,0,0.38890739995986223
0.0,2,40,0.4568443999160081
90.0,2,40,0.551854700082913
