Face,Direction,Eccentricity,Reaction Time (s)
5,0,0,0.22956890001660213
5,0,30,0.2287140999978874
5,0,25,0.26364980000653304
5,0,0,0.2628664999792818
5,0,0,0.3815687999885995
5,0,40,0.2790783999953419
5,0,10,0.23665730000357144
5,0,10,0.25526420000824146
5,0,15,0.25014880002709106
5,0,15,0.2348162999842316
5,0,10,0.22422659999574535
5,0,40,0.2461124999972526
5,0,0,0.23861169998417608
5,0,25,0.2537179000210017
5,0,10,0.18136129999766126
5,0,30,0.21428449999075383
5,0,40,0.18613029998959973
5,0,30,0.06631250001373701
5,0,35,0.16159060000791214
5,0,15,0.2764123999804724
5,0,35,0.2787047000019811
5,0,35,0.2582948000053875
5,0,0,0.24939859998994507
5,0,25,0.25077860002056696
5,0,0,0.26321929998812266
5,0,25,0.22106719997827895
5,0,0,0.24948450000374578
5,0,40,0.20239349998882972
5,0,20,0.248283499997342
5,0,20,0.19447629997739568
5,0,15,0.24656159998266958
5,0,30,0.24128650000784546
5,0,35,0.2197421999881044
5,0,35,0.24832550002611242
5,0,35,0.15789220001897775
5,0,35,0.1487302000168711
5,0,5,0.27521490000071935
5,0,15,0.23775030000251718
5,0,30,0.24550359998829663
5,0,10,0.2151231000025291
5,0,5,0.24091819999739528
5,0,40,0.24074059998383746
5,0,25,0.2518637999892235
5,0,5,0.2052001999982167
5,0,20,0.286805000010645
5,0,10,0.23429439999745227
5,0,5,0.2885833000182174
5,0,20,0.20847860001958907
5,0,30,0.24254189999192022
5,0,30,0.2553537000203505
5,0,40,0.23057999997399747
5,0,0,0.20299920000252314
5,0,25,0.25018780000391416
5,0,5,0.23659320001024753
5,0,15,0.17358010000316426
5,0,0,0.2350270000169985
5,0,40,0.23922630000743084
5,0,5,0.253844199993182
5,0,25,0.2175064999901224
5,0,40,0.2175283000105992
5,0,10,0.24917029999778606
5,0,10,0.19753220002166927
5,0,20,0.19666899999720044
5,0,5,0.25019890000112355
5,0,40,0.24386059999233112
5,0,15,0.24939330000779592
5,0,35,0.2420599999895785
5,0,15,0.22644399999990128
5,0,20,0.2506377999961842
5,0,35,0.2590965999988839
5,0,15,0.22103009998681955
5,0,25,0.2531573999731336
5,0,10,0.25268630002392456
5,0,25,0.21861330000683665
5,0,25,0.24052770002163015
5,0,10,0.18885429998044856
5,0,35,0.23826839998946525
5,0,5,0.18169580001267605
5,0,15,0.2760097999998834
5,0,20,0.24096470000222325
5,0,30,0.23473729999386705
5,0,30,0.1994665999955032
5,0,20,0.2692803000099957
5,0,30,0.2566396000038367
5,0,40,0.23701790001359768
5,0,0,0.22453070001211017
5,0,20,0.22803950001252815
5,0,5,0.24862989998655394
5,0,20,0.1839828999945894
5,0,5,0.1784611000039149
5,2,25,0.21589099999982864
5,2,5,0.21202430000994354
5,2,5,0.17845069998293184
5,2,30,0.23732149999705143
5,2,20,0.0648018000065349
5,2,25,0.23242089999257587
5,2,20,0.226250199979404
5,2,30,0.24639079999178648
5,2,5,0.24375839999993332
5,2,25,0.23615050001535565
5,2,25,0.23269170001731254
5,2,35,0.15013500000350177
5,2,30,0.2634840999962762
5,2,30,0.23363470000913367
5,2,30,0.2373739999893587
5,2,10,0.027829800004838035
5,2,15,0.23722320000524633
5,2,30,0.23417029998381622
5,2,10,0.23593359999358654
5,2,35,0.19994629998109303
5,2,0,0.2973479999927804
5,2,15,0.18253749998984858
5,2,10,0.3090758000034839
5,2,20,0.137952100019902
5,2,20,0.23415639999439009
5,2,0,0.23550890001934022
5,2,10,0.17381429998204112
5,2,15,0.24208620001445524
5,2,15,0.2254110999929253
5,2,30,0.2419874999905005
5,2,5,0.2596884999948088
5,2,15,0.21256529999664053
5,2,15,0.21635349999996834
5,2,15,0.23753459998988546
5,2,20,0.2408768000022974
5,2,25,0.03305120000732131
5,2,0,0.24330600001849234
5,2,10,0.23625069999252446
5,2,10,0.22447380001540296
5,2,35,0.23121580001316033
5,2,0,0.2848818000056781
5,2,20,0.19454369999584742
5,2,35,0.2579515999823343
5,2,40,0.23133410001173615
5,2,20,0.24391910000122152
5,2,0,0.2561193000001367
5,2,40,0.2315247999795247
5,2,25,0.19881520001217723
5,2,10,0.2427216999931261
5,2,40,0.20084880001377314
5,2,30,0.28932400001212955
5,2,5,0.24662930000340566
5,2,40,0.2704862999962643
5,2,0,0.21431830001529306
5,2,40,0.24417570000514388
5,2,40,0.13391470001079142
5,2,5,0.24592990000382997
5,2,40,0.24416719999862835
5,2,0,0.20425569999497384
5,2,25,0.19586269999854267
5,2,40,0.22974129999056458
5,2,30,0.24100730000645854
5,2,30,0.20768890000181273
5,2,5,0.14974780002376065
5,2,0,0.272480399988126
5,2,20,0.22944930000812747
5,2,10,0.11234590000822209
5,2,25,0.2615739000029862
5,2,35,0.18816119999974035
5,2,5,0.14385789999505505
5,2,35,0.44855260002077557
5,2,0,0.2596219999832101
5,2,35,0.2611019999894779
5,2,35,0.20140449999598786
5,2,25,0.24181300000054762
5,2,35,0.22788869999931194
5,2,15,0.2094562999845948
5,2,15,0.23950709999189712
5,2,40,0.33582369997748174
5,2,15,0.2581572000053711
5,2,10,0.2129064000037033
5,2,40,0.21804199999314733
5,2,5,0.27643479997641407
5,2,20,0.23528399999486282
5,2,0,0.23846610001055524
5,2,20,0.1961105999944266
5,2,25,0.23734129997319542
5,2,10,0.25922440001158975
5,2,5,0.2815303999814205
5,2,35,0.2670547000016086
