Face,Direction,Eccentricity,Reaction Time (s)
7,2,10,0.21580219999304973
7,2,30,0.2597780999785755
7,2,40,0.31805919998441823
7,2,20,0.2730005999910645
7,2,20,0.19905429999926127
7,2,35,0.24804380000568926
7,2,15,0.21747059997869655
7,2,10,0.1970034999831114
7,2,25,0.23043039999902248
7,2,5,0.21548909999546595
7,2,30,0.25731630000518635
7,2,25,0.2519408999942243
7,2,40,0.1611927000049036
7,2,20,0.37329139999928884
7,2,30,0.20291039999574423
7,2,35,0.4681824999861419
7,2,25,0.24293489998672158
7,2,25,0.27107219997560605
7,2,20,0.16224060000968166
7,2,35,0.22853970000869595
7,2,40,0.2761960999923758
7,2,25,0.29734889999963343
7,2,15,0.2136840999883134
7,2,0,0.3029435999924317
7,2,15,0.20304970000870526
7,2,10,0.19374149999930523
7,2,5,0.19381389999762177
7,2,5,0.2587521999957971
7,2,25,0.23184049999690615
7,2,0,0.2379713999980595
7,2,5,0.24383719998877496
7,2,10,0.2497972999990452
7,2,35,0.3598531000025105
7,2,35,0.2790765000099782
7,2,35,0.26556149998214096
7,2,20,0.23900909998337738
7,2,25,0.24622569998609833
7,2,25,0.2747951000055764
7,2,15,0.26814339999691583
7,2,5,0.12775450001936406
7,2,10,0.19017689998145215
7,2,40,0.2479825000045821
7,2,10,0.25257030001375824
7,2,15,0.24741000001085922
7,2,5,0.27114730002358556
7,2,40,0.24193069999455474
7,2,20,0.25767130000167526
7,2,20,0.18915540000307374
7,2,30,0.2959749999863561
7,2,30,0.2604175000160467
7,2,20,0.24957389998598956
7,2,30,0.2556149000010919
7,2,15,0.24460810000891797
7,2,40,0.23946320000686683
7,2,35,0.2768466000270564
7,2,35,0.2731701000011526
7,2,40,0.30489810000290163
7,2,5,0.29749379999702796
7,2,30,0.23677309998311102
7,2,20,0.2565646999864839
7,2,40,0.261621700017713
7,2,0,0.2478932999947574
7,2,30,0.23125839998829179
7,2,35,0.2699336000077892
7,2,25,0.26492549999966286
7,2,10,0.22204900000360794
7,2,15,0.2521853999933228
7,2,30,0.22420950001105666
7,2,0,0.21235629997681826
7,2,0,0.2843779000104405
7,2,40,0.25847180001437664
7,2,35,0.272227399982512
7,2,0,0.2947322000109125
7,2,30,0.2510288000048604
7,2,5,0.2767435999994632
7,2,10,0.20402050000848249
7,2,20,0.2840091000252869
7,2,0,0.25568119998206384
7,2,40,0.22868689999449998
7,2,15,0.24414880000404082
7,2,5,0.29196060000685975
7,2,5,0.2559849999961443
7,2,10,0.2810901000048034
7,2,15,0.23797609997563995
7,2,15,0.24189449998084456
7,2,25,0.22635839998838492
7,2,0,0.2697718999988865
7,2,10,0.24701479999930598
7,2,0,0.291216199984774
7,2,0,0.2865936000016518
7,0,0,0.2828171000001021
7,0,30,0.20555250000325032
7,0,5,0.23768679998465814
7,0,40,0.19721299997763708
7,0,10,0.21625629998743534
7,0,40,0.23489200000767596
7,0,40,0.2119581000006292
7,0,10,0.2454110000107903
7,0,0,0.20196750000468455
7,0,10,0.24840670000412501
7,0,10,0.21167270001024008
7,0,35,0.2519578000064939
7,0,25,0.2258752000052482
7,0,25,0.2739024999900721
7,0,40,0.25611009998829104
7,0,30,0.14677490000030957
7,0,20,0.2502616999845486
7,0,0,0.20769779998227023
7,0,15,0.3591524000221398
7,0,0,0.16717650002101436
7,0,15,0.23903729999437928
7,0,0,0.1554889999970328
7,0,15,0.2377824999857694
7,0,5,0.08619929998531006
7,0,0,0.30158500000834465
7,0,10,0.23505009998916648
7,0,5,0.23438149999128655
7,0,40,0.30137450000620447
7,0,20,0.2655445999989752
7,0,35,0.24148389999754727
7,0,25,0.28474020000430755
7,0,0,0.2878625000012107
7,0,5,0.23606740002287552
7,0,10,0.19087849999777973
7,0,15,0.190174899995327
7,0,40,0.21173179999459535
7,0,5,0.24023560000932775
7,0,30,0.2023756999988109
7,0,25,0.23874120000982657
7,0,35,0.20410189998801798
7,0,15,0.17881569999735802
7,0,10,0.11690270001417957
7,0,40,0.268403300025966
7,0,5,0.29151270000147633
7,0,30,0.26513990000239573
7,0,40,0.25002150001819246
7,0,35,0.277608100004727
7,0,25,0.2659593999851495
7,0,30,0.26702969998586923
7,0,0,0.29473150000558235
7,0,20,0.21687370000290684
7,0,15,0.28624119999585673
7,0,40,0.25942099999519996
7,0,20,0.10316020000027493
7,0,35,0.23498410001047887
7,0,30,0.2569972000201233
7,0,10,0.2340748000133317
7,0,0,0.18500020002829842
7,0,20,0.37734989999444224
7,0,10,0.2413224000192713
7,0,30,0.02392789997975342
7,0,5,0.26923559998977
7,0,40,0.2797640000062529
7,0,15,0.27225219999672845
7,0,5,0.41472020000219345
7,0,30,0.19236419998924248
7,0,35,0.250583099987125
7,0,35,0.2645759000151884
7,0,25,0.25215400001616217
7,0,5,0.2755231999908574
7,0,25,0.2397101999958977
7,0,35,0.1826442000165116
7,0,20,0.24816710001323372
7,0,30,0.22766150001552887
7,0,15,0.2334741000086069
7,0,20,0.22050109997508116
7,0,15,0.2777637999970466
7,0,0,0.28038179999566637
7,0,15,0.2653273000032641
7,0,20,0.2052405999857001
7,0,25,0.23950809999951161
7,0,20,0.20549049999681301
7,0,35,0.2633110999886412
7,0,25,0.2697372999973595
7,0,10,0.0935112000152003
7,0,25,0.2703054000157863
7,0,35,0.008285599993541837
7,0,5,0.3915065000182949
7,0,30,0.2973692999803461
7,0,20,0.24803980000433512
