Face,Direction,Eccentricity,Reaction Time (s)
9,0,0,0.5814192999969237
11,0,0,0.5797717999666929
11,0,35,0.48681630002101883
11,0,15,0.5423032999970019
11,0,5,0.4482379999826662
9,0,30,0.5830552999977954
9,0,15,0.63202600000659
9,0,5,0.521904600027483
9,0,15,0.6563150999718346
9,0,35,0.6592061000410467
11,0,10,0.41470340004889295
9,0,5,0.4266007000114769
9,0,15,0.4698759999591857
9,0,5,0.44719009997788817
11,0,40,0.5813057000050321
11,0,30,0.5056086999829859
11,0,15,0.5571596999652684
9,0,25,0.6132163000293076
11,0,30,0.6430614999844693
11,0,15,0.556530500005465
11,0,5,0.46232400002190843
9,0,30,0.6385378999984823
11,0,40,0.7809451000066474
11,0,20,0.585302599996794
11,0,10,0.4827831999864429
11,0,40,0.5044847999815829
9,0,10,0.5472539000329562
9,0,15,0.4059290000004694
9,0,30,0.8619112999876961
9,0,5,0.5748712999629788
9,0,25,0.6260710000060499
11,0,5,0.5876843999722041
9,0,0,0.45345499995164573
9,0,30,0.5347528999554925
9,0,10,0.42434600001433864
9,0,30,0.6255246999789961
11,0,25,0.5602432999876328
9,0,20,0.6341687999665737
11,0,35,0.8392717999522574
9,0,20,0.5707340000080876
9,0,10,0.5076397999655455
11,0,25,0.5522257999982685
9,0,35,0.8147386999917217
11,0,40,0.46323819999815896
9,0,30,0.6675068000331521
9,0,25,0.5971483000321314
9,0,25,0.629165299993474
9,0,0,0.42840689996955916
9,0,20,0.40947059995960444
9,0,0,0.5129411999951117
9,0,40,0.8931430000229739
9,0,20,0.6032964000478387
11,0,35,0.5358423000434414
9,0,15,0.538862599991262
11,0,35,0.5803977000177838
11,0,40,0.7225379000301473
9,0,20,0.6599597000167705
11,0,30,0.5636450999882072
11,0,5,0.7074604000081308
11,0,20,0.45073619997128844
9,0,0,0.4606434000306763
11,0,10,0.5021371000329964
11,0,0,0.5578373000025749
9,0,10,0.5674873000243679
11,0,35,0.743383199966047
11,0,20,0.5975528999697417
9,0,40,0.6743053999962285
9,0,0,0.5862614000216126
11,0,15,0.5211983000044711
11,0,5,0.7789478999911807
11,0,30,0.6286708999541588
9,0,20,0.5601006999495439
11,0,0,0.5831309999921359
9,0,25,0.5697492999606766
11,0,0,0.4875002999906428
9,0,10,0.47734700003638864
11,0,35,0.5517457000096329
11,0,5,0.47953559999587014
11,0,40,0.5141779000405222
11,0,10,0.5207152999937534
11,0,25,0.6962370999972336
9,0,20,0.48368100001243874
9,0,10,0.7644213999737985
9,0,40,0.737887600029353
11,0,35,0.6623493999941275
11,0,25,0.5621257000020705
11,0,25,0.6019549000193365
9,0,35,0.6095416999887675
11,0,15,0.8638860000064597
11,0,40,0.8111648000194691
9,2,10,0.44136799999978393
11,2,10,0.5127577999955975
11,2,10,0.626848499989137
11,2,15,0.6054261999670416
9,2,20,0.5723180000204593
9,2,5,0.5029970000032336
9,2,35,0.6829813999938779
9,2,20,0.5714455000124872
9,2,40,0.7668945000041276
11,2,35,0.7506780000403523
9,2,20,0.4800808999571018
11,2,40,0.6528733999584801
9,2,30,0.587070900015533
9,2,40,0.6872395000536926
11,2,35,0.7529765000217594
11,2,25,0.6666764999972656
9,2,0,0.5033903999719769
9,2,30,0.7292259999667294
11,2,0,0.44909450004342943
9,2,5,0.5028052999987267
11,2,15,0.5244901000405662
11,2,5,0.4400962999789044
11,2,15,0.4742217999882996
9,2,5,0.4282395000336692
9,2,35,0.5817106000031345
9,2,15,0.5309493999811821
9,2,30,0.5082935999962501
11,2,30,0.5963684000307694
11,2,40,0.7580071999691427
9,2,40,0.6194769000285305
11,2,0,0.5005844999686815
11,2,10,0.7019955000141636
11,2,0,0.5181590999709442
9,2,15,0.4998518000356853
11,2,20,0.6972248000092804
11,2,20,0.6097247999859974
11,2,25,0.5852345999446698
9,2,0,0.5546982999658212
11,2,25,0.5648286000359803
11,2,0,0.5258175000199117
9,2,40,0.7745567999663763
11,2,10,0.5534762000315823
11,2,15,0.5652824999997392
11,2,0,0.5275203000055626
11,2,20,0.5714974000002258
11,2,20,0.5599328000098467
9,2,0,0.4729548000032082
9,2,35,0.6381598000298254
9,2,25,0.5684092000010423
9,2,15,0.517814900027588
9,2,15,0.4389511000481434
11,2,0,0.49821210000663996
9,2,35,0.5577002000063658
9,2,25,0.48839289997704327
11,2,40,0.7263503999565728
9,2,25,0.539333600027021
9,2,40,0.8183837999822572
9,2,10,0.6137442999752238
9,2,20,0.47369210002943873
9,2,10,0.4462558999657631
9,2,30,0.5763080000178888
9,2,15,0.5584435000200756
11,2,5,0.6007737999898382
9,2,10,0.4986887999693863
9,2,0,0.4471140999812633
11,2,30,0.5564303999999538
9,2,5,0.6388784000300802
9,2,5,0.43140120001044124
11,2,25,0.6144773000269197
11,2,20,0.5926936999894679
9,2,35,0.7200686999713071
9,2,35,0.6081893999944441
9,2,25,0.5333558000274934
11,2,20,0.5342482000123709
11,2,30,0.6919544999836944
11,2,10,0.48347520001698285
11,2,35,0.6268500000005588
11,2,5,0.48914660001173615
11,2,5,0.5120305000455119
9,2,25,0.5419228000100702
11,2,40,0.6862338000210002
11,2,40,0.752179300005082
11,2,25,0.5613840000005439
11,2,35,0.625333399977535
9,2,5,0.6326095999684185
11,2,30,0.6165787000209093
9,2,30,0.605084499984514
9,2,10,0.5967248000088148
11,2,30,0.5059965999680571
9,2,15,0.6445174999535084
