Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,35,0.39201320000574924
0.0,0,10,0.3989450999943074
45.0,0,35,0.4137771999958204
0.0,0,10,0.32952230000228155
45.0,0,25,0.38951759999326896
45.0,0,20,0.37993410001217853
45.0,0,20,0.35109779999766033
45.0,0,30,0.3821870000101626
90.0,0,10,0.30368169999565
45.0,0,5,0.35988439999346156
45.0,0,25,0.30547049999586307
0.0,0,20,0.30857100000139326
45.0,0,15,0.4038471999956528
90.0,0,25,0.3761257000005571
90.0,0,25,0.3290030999924056
45.0,0,30,0.4181552000081865
90.0,0,25,0.3784729999897536
45.0,0,35,0.47908859999733977
90.0,0,10,0.5171542000025511
45.0,0,35,0.4674132000072859
45.0,0,10,0.38746830000309274
90.0,0,0,0.3405698999995366
45.0,0,10,0.470361600004253
0.0,0,30,0.4556520000041928
90.0,0,10,0.35177290000137873
0.0,0,15,0.4433178000035696
90.0,0,10,0.2726929000054952
90.0,0,0,0.32583149999845773
45.0,0,20,0.41168950000428595
45.0,0,0,0.43743499999982305
0.0,0,30,0.3398046000074828
45.0,0,20,0.49704829999245703
90.0,0,25,0.3957189000066137
90.0,0,35,0.4623384000005899
0.0,0,30,0.418137900007423
45.0,0,40,0.35770700000284705
0.0,0,25,0.3525816000037594
0.0,0,0,0.43996160000097007
90.0,0,20,0.40381190000334755
45.0,0,35,0.31795169999531936
45.0,0,40,0.48059189999185037
90.0,0,40,0.4605636000051163
45.0,0,15,0.34977930001332425
0.0,0,15,0.48550899999099784
90.0,0,0,0.40747859999828506
0.0,0,35,0.4600477000058163
45.0,0,40,0.44354809999640565
90.0,0,15,0.38613230000191834
0.0,0,5,0.4912214999931166
90.0,0,20,0.3905471000034595
0.0,0,35,0.4292983000050299
45.0,0,5,0.4324322999891592
0.0,0,15,0.4282004999986384
0.0,0,5,0.4840346999990288
45.0,0,0,0.40338199998950586
0.0,0,15,0.4281905999960145
45.0,0,35,0.47120109999377746
90.0,0,15,0.3985324999957811
45.0,0,5,0.3380613000044832
0.0,0,30,0.39215949999925215
0.0,0,40,0.4086189000081504
90.0,0,40,0.33553949999623
45.0,0,10,0.3015390000073239
0.0,0,40,0.5394058999954723
90.0,0,0,0.37096859999292064
90.0,0,5,0.3803310999937821
90.0,0,25,0.4435057000082452
45.0,0,15,0.3562969000049634
0.0,0,20,0.48189939999429043
0.0,0,0,0.39111620000039693
90.0,0,25,0.3845238999929279
90.0,0,30,0.43149680001079105
45.0,0,5,0.42701600000145845
90.0,0,0,0.35010549999424256
45.0,0,30,0.5230599000060465
45.0,0,5,0.4396141000033822
0.0,0,20,0.510476600000402
0.0,0,25,0.3903386000019964
0.0,0,35,0.42122039999230765
0.0,0,5,0.3797713000094518
90.0,0,20,0.3338289000093937
45.0,0,5,0.506069099996239
0.0,0,0,0.41717589998734184
0.0,0,30,0.5108089999994263
45.0,0,30,0.4852054000075441
0.0,0,10,0.31567270000232384
0.0,0,40,0.47120870000799187
90.0,0,40,0.4742582000035327
0.0,0,15,0.3867731000063941
0.0,0,40,0.4857477000041399
90.0,2,25,0.3981276999984402
45.0,2,30,0.44621470000129193
90.0,2,25,0.44481300000916235
45.0,2,15,0.4830830999999307
0.0,2,20,0.47375440000905655
90.0,2,5,0.3828399000049103
45.0,2,10,0.4289594000001671
0.0,2,20,0.48808749999443535
45.0,2,30,0.4119782999914605
90.0,2,10,0.35253129999910016
0.0,2,35,0.3977824000030523
90.0,2,25,0.4158437000005506
90.0,2,0,0.3802949999953853
90.0,2,5,0.3410971000121208
90.0,2,30,0.362669799986179
0.0,2,30,0.42182669999601785
0.0,2,0,0.3817708999995375
90.0,2,5,0.2972845000040252
45.0,2,40,0.476603500006604
0.0,2,0,0.3763558000064222
0.0,2,10,0.37913279999338556
45.0,2,15,0.3453111000126228
90.0,2,35,0.46139640000183135
90.0,2,30,0.3659795999992639
45.0,2,20,0.4797346999985166
90.0,2,10,0.4333447000099113
0.0,2,40,0.3616598999942653
0.0,2,0,0.4731644999992568
90.0,2,20,0.4519150999985868
90.0,2,10,0.33998479999718256
0.0,2,10,0.4504326000023866
0.0,2,25,0.3890209999954095
90.0,2,30,0.4855332000006456
45.0,2,35,0.447885600005975
0.0,2,30,0.6953315999999177
45.0,2,10,0.4693013000069186
45.0,2,40,0.6034974999929545
0.0,2,0,0.3378983000002336
0.0,2,15,0.37354539999796543
90.0,2,25,0.4550985999958357
45.0,2,0,0.49062089998915326
0.0,2,10,0.44684740000229795
45.0,2,0,0.5132884000049671
45.0,2,15,0.4100354999973206
90.0,2,15,0.4443046999949729
45.0,2,30,0.4527129999914905
90.0,2,30,0.3954053999914322
45.0,2,5,0.4484311000123853
45.0,2,0,0.41149110000696965
45.0,2,5,0.422993400003179
0.0,2,5,0.3682097999990219
45.0,2,40,0.48291650001192465
0.0,2,5,0.41377109999302775
90.0,2,35,0.3858930999995209
0.0,2,35,0.53863409999758
0.0,2,25,0.43862810000428
45.0,2,40,0.4816056999989087
90.0,2,25,0.3540973000053782
90.0,2,20,0.43581409999751486
0.0,2,40,0.4354356999974698
45.0,2,40,0.5937756000057561
0.0,2,0,0.45027860000845976
0.0,2,35,0.48175809999520425
90.0,2,40,0.47539639999740757
90.0,2,5,0.4159228000062285
45.0,2,15,0.4722514000022784
45.0,2,25,0.3972481999953743
45.0,2,35,0.45901449999655597
45.0,2,35,0.4608350999915274
0.0,2,10,0.45572649998939596
45.0,2,20,0.39998020000348333
90.0,2,15,0.35389529999520164
45.0,2,25,0.354733700005454
0.0,2,20,0.35035990001051687
90.0,2,25,0.4859524999919813
45.0,2,30,0.434467200000654
0.0,2,5,0.31647390000580344
90.0,2,15,0.40393820000463165
45.0,2,10,0.3704771000047913
0.0,2,35,0.34883439999248367
0.0,2,15,0.3512289999925997
45.0,2,20,0.42697420000331476
45.0,2,15,0.4311659000086365
45.0,2,20,0.32057529999292456
0.0,2,5,0.5052146999951219
0.0,2,20,0.4828154999995604
45.0,2,40,0.6691475999978138
45.0,2,0,0.47852839999541175
0.0,2,35,0.48834690000512637
90.0,2,40,0.3906832999928156
