Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.4947099999990314
0.0,2,35,0.46379809999780264
90.0,2,35,0.3998520000022836
45.0,2,5,0.35524699999950826
90.0,2,30,0.3967964000039501
0.0,2,15,0.4194206999964081
90.0,2,35,0.36122059999615885
45.0,2,15,0.4566177999950014
0.0,2,5,0.3972286000062013
45.0,2,5,0.4686553999927128
90.0,2,10,0.40297079998708796
90.0,2,35,0.3865881000092486
0.0,2,0,0.4393897999980254
45.0,2,15,0.45619470000383444
0.0,2,20,0.4699901999993017
45.0,2,20,0.4147389999998268
0.0,2,5,0.38469170000462327
0.0,2,20,0.43050480000965763
90.0,2,40,0.3899037999944994
90.0,2,10,0.3841324999957578
45.0,2,35,0.5025835999986157
45.0,2,30,0.4195684000005713
90.0,2,30,0.46625630000198726
45.0,2,0,0.40291200000501703
45.0,2,25,0.411545599999954
90.0,2,15,0.39761830000497866
90.0,2,20,0.30531989999872167
45.0,2,10,0.44170510000549257
45.0,2,40,0.41068249999079853
45.0,2,40,0.4803378999931738
90.0,2,5,0.3720220999966841
0.0,2,0,0.41163000000233296
0.0,2,40,0.48240520000399556
0.0,2,10,0.4385632000048645
0.0,2,20,0.42712849999952596
0.0,2,10,0.3305016000085743
45.0,2,30,0.5764709999930346
90.0,2,25,0.3650467999977991
45.0,2,15,0.48804240000026766
0.0,2,25,0.5003135000006296
45.0,2,30,0.4691729999904055
90.0,2,0,0.3544597000000067
45.0,2,40,0.5769621999934316
90.0,2,25,0.3404493999987608
45.0,2,15,0.48801209998782724
45.0,2,20,0.4319882999989204
90.0,2,35,0.49366059999738354
45.0,2,10,0.4737461000040639
0.0,2,30,0.38881770000443794
90.0,2,5,0.4082461000070907
90.0,2,0,0.5107465000037337
45.0,2,10,0.3891563000070164
90.0,2,40,0.41049280000152066
90.0,2,5,0.38066570000955835
90.0,2,35,0.43476710001414176
90.0,2,0,0.33671659999527037
90.0,2,10,0.33484609999868553
0.0,2,20,0.40560509999340866
90.0,2,0,0.3139077000087127
90.0,2,10,0.29919589999190066
90.0,2,15,0.3239278999972157
0.0,2,5,0.5468172999972012
90.0,2,5,0.448028599988902
0.0,2,5,0.47549480000452604
90.0,2,30,0.3774077000125544
0.0,2,35,0.47320820001186803
45.0,2,25,0.5101826000027359
90.0,2,30,0.37154710000322666
0.0,2,20,0.4314416999986861
45.0,2,15,0.528160800007754
45.0,2,25,0.4753947999997763
0.0,2,25,0.45443439998780377
90.0,2,30,0.3329474000056507
0.0,2,0,0.4556682999973418
45.0,2,35,0.6032370000029914
0.0,2,30,0.4735493000043789
0.0,2,15,0.44459790000109933
90.0,2,25,0.4236825999978464
0.0,2,10,0.418033000009018
0.0,2,20,0.38882929999090265
90.0,2,25,0.3332394999888493
0.0,2,40,0.5079423999995925
90.0,2,20,0.3581737999920733
90.0,2,40,0.4949699000135297
0.0,2,15,0.2750569999916479
45.0,2,0,0.5056987999996636
0.0,2,40,0.5214964999904623
0.0,2,35,0.5059571999881882
0.0,2,40,0.424390800006222
45.0,2,25,0.6536918000056176
90.0,0,25,0.44011239999963436
45.0,0,10,0.5128132000099868
90.0,0,40,0.5817155999975512
90.0,0,35,0.40091019999817945
0.0,0,0,0.36977869999827817
90.0,0,15,0.3208333000075072
45.0,0,5,0.4851022000075318
45.0,0,15,0.38949340001272503
90.0,0,20,0.4180921000079252
0.0,0,25,0.47596719999273773
90.0,0,25,0.3705262000003131
45.0,0,5,0.3579553000017768
45.0,0,40,0.3594291999907
45.0,0,20,0.4441423000098439
0.0,0,30,0.5848714000021573
0.0,0,0,0.5120451999973739
90.0,0,15,0.3248246000002837
90.0,0,0,0.4246119000017643
90.0,0,10,0.39040980000572745
90.0,0,25,0.31135449999419507
90.0,0,15,0.2644353000068804
90.0,0,10,0.2728136999940034
90.0,0,10,0.37323080000351183
0.0,0,30,0.4828239000053145
90.0,0,10,0.3332109000039054
45.0,0,40,0.3755261000042083
0.0,0,40,0.5620582000119612
90.0,0,35,0.45320589999028016
45.0,0,0,0.46714789999532513
0.0,0,25,0.41846390000137035
90.0,0,15,0.3696042999945348
0.0,0,5,0.41772949999722186
0.0,0,20,0.4996136999980081
45.0,0,15,0.3676205999945523
90.0,0,0,0.4109256999945501
45.0,0,5,0.4930006000067806
0.0,0,20,0.4644442999997409
90.0,0,35,0.40287330000137445
90.0,0,40,0.5024829000030877
90.0,0,35,0.3781318999972427
90.0,0,25,0.33212079999793787
90.0,0,30,0.3652814999950351
90.0,0,30,0.3116915999999037
45.0,0,0,0.434594600010314
90.0,0,20,0.36127889998897444
90.0,0,25,0.3677025000069989
90.0,0,10,0.3162309000035748
45.0,0,5,0.3884516999969492
0.0,0,0,0.463751700008288
90.0,0,10,0.319177999990643
0.0,0,0,0.4415671000024304
0.0,0,20,0.45024170000397135
90.0,0,30,0.34955130000889767
90.0,0,30,0.42361389999859966
90.0,0,15,0.30598609999287874
90.0,0,25,0.3614008000004105
0.0,0,40,0.4218142000027001
90.0,0,20,0.3233656000084011
0.0,0,35,0.447506099997554
0.0,0,5,0.40167240001028404
90.0,0,35,0.4571291000029305
45.0,0,40,0.6158752999908756
0.0,0,5,0.485680500001763
0.0,0,20,0.4340727999951923
0.0,0,35,0.4387152999988757
90.0,0,25,0.44076669999049045
90.0,0,15,0.4306442000088282
45.0,0,40,0.42259119999653194
90.0,0,30,0.46485519999987446
45.0,0,10,0.46052039999631234
45.0,0,35,0.516948999997112
45.0,0,10,0.49466039999970235
90.0,0,25,0.4456817000027513
90.0,0,0,0.48924570000963286
90.0,0,30,0.41716109999106266
90.0,0,40,0.3853346999967471
0.0,0,15,0.5178846000053454
45.0,0,35,0.3525379999919096
45.0,0,15,0.541061299998546
90.0,0,5,0.4036713000095915
0.0,0,20,0.43568610001238994
45.0,0,35,0.4940831999992952
45.0,0,40,0.5566665000078501
0.0,0,0,0.4354055000003427
0.0,0,30,0.4789027999941027
0.0,0,20,0.49403739999979734
45.0,0,10,0.4345160999946529
45.0,0,5,0.4436598000029335
0.0,0,5,0.4195808000076795
0.0,0,30,0.38711359999433625
