Letter,Direction,Eccentricity,Reaction Time (s)
E,0,0,0.5927359000197612
B,0,40,0.5632098000496626
B,0,40,0.4898700999910943
E,0,10,0.5840546999825165
B,0,30,0.5670452999765985
B,0,30,0.5023999999975786
B,0,0,0.38833320001140237
B,0,40,0.4623913000104949
P,0,20,0.5015255999751389
E,0,30,0.5619509000098333
B,0,20,0.5079202000051737
B,0,0,0.5560502000153065
E,0,10,0.46987369999988005
P,0,30,0.48763540002983063
E,0,40,0.5413814000203274
P,0,10,0.5531785000348464
P,0,10,0.4936730000190437
P,0,40,0.5478547000093386
B,0,10,0.3320077999960631
B,0,20,0.4966312000178732
P,0,30,0.5043148000258952
P,0,10,0.5289929999853484
P,0,30,0.5227236999780871
B,0,0,0.6141565999714658
B,0,30,0.4398666000342928
B,0,40,0.46652729995548725
E,0,30,0.5260947999777272
E,0,0,0.4508610999910161
E,0,10,0.4768169000162743
B,0,20,0.6231749999569729
E,0,40,0.6053396000061184
P,0,20,0.44458539999322966
P,0,10,0.4006840999936685
P,0,20,0.39776600000914186
P,0,20,0.5785327000194229
B,0,0,0.5014200999867171
E,0,40,0.6121142000192776
P,0,20,0.5395649000420235
P,0,30,0.5627640999737196
E,0,0,0.3425035999971442
E,0,20,0.45344830001704395
B,0,0,0.4694430999807082
P,0,0,0.4934057999635115
P,0,10,0.5145207999739796
E,0,40,0.5528438000474125
B,0,20,0.5248555999714881
B,0,0,0.4381963000050746
B,0,10,0.3651921999990009
P,0,30,0.5427400000044145
E,0,40,0.5636727000237443
B,2,10,0.6025152999791317
B,2,30,0.4039595000213012
B,2,10,0.3688235000008717
B,2,0,0.402592700032983
B,2,0,0.33077110000886023
B,2,20,0.43063550000078976
P,2,10,0.5153318999800831
E,2,10,0.36716289998730645
E,2,30,0.4014240000396967
E,2,20,0.46070589998271316
E,2,40,0.4801244999980554
B,2,10,0.4632664999808185
P,2,20,0.38410800002748147
B,2,0,0.3874074000050314
P,2,40,0.5693586000124924
P,2,30,0.4346971000195481
B,2,10,0.41941999999107793
E,2,0,0.44289310002932325
B,2,30,0.5386336999945343
E,2,40,0.6168118999921717
E,2,30,0.5740401999792084
E,2,40,0.5248137000016868
B,2,20,0.5517182000330649
E,2,30,0.3815375000122003
E,2,30,0.5062284999876283
B,2,0,0.5171094000106677
P,2,20,0.3646611999720335
B,2,30,0.515503800008446
P,2,0,0.40019840002059937
B,2,0,0.3184925999958068
B,2,40,0.532643000013195
P,2,40,0.5338671000208706
B,2,0,0.32631040003616363
P,2,20,0.45148560003144667
E,2,30,0.4533525000442751
B,2,40,0.48083200003020465
E,2,20,0.4727155999862589
P,2,40,0.594851000001654
P,2,40,0.5969096999615431
E,2,30,0.53502099995967
P,2,20,0.5503199999802746
B,2,10,0.5657999000395648
P,2,0,0.5355457999976352
E,2,10,0.4474703000159934
P,2,20,0.5581792000448331
P,2,10,0.5227178999921307
B,2,20,0.4592524000327103
E,2,10,0.47038150002481416
E,2,0,0.45854209997924045
B,2,40,0.40712729998631403
