Letter,Direction,Eccentricity,Reaction Time (s)
P,0,40,0.5982438999926671
P,0,30,0.38534290000097826
P,0,40,0.36249240004690364
P,0,20,0.3505601999931969
E,0,0,0.33486200001789257
E,0,10,0.4219226000132039
E,0,10,0.33890199998859316
P,0,10,0.33128230000147596
E,0,10,0.3797934000031091
P,0,20,0.42471930000465363
E,0,20,0.30401300004450604
P,0,30,0.3678527000010945
P,0,40,0.4093736999784596
P,0,40,0.4129654999705963
P,0,40,0.3780222000204958
E,0,20,0.41873349994421005
E,0,20,0.42017090000445023
E,0,30,0.33982659998582676
E,0,40,0.35801860003266484
E,0,10,0.34524930000770837
E,0,0,0.37150469998596236
E,0,10,0.3045968000078574
E,0,30,0.330549800011795
P,0,10,0.33009390003280714
E,0,20,0.3815747000044212
P,0,40,0.4042920999927446
P,0,0,0.4082395000150427
E,0,40,0.37135400000261143
E,0,0,0.3287279999931343
P,0,30,0.3420707000186667
E,0,20,0.33271839999360964
E,0,30,0.4039994000340812
E,0,30,0.3881678999750875
E,0,10,0.2931508000474423
E,0,0,0.2965904999873601
P,0,10,0.3715911000035703
E,0,0,0.3209182000136934
E,0,0,0.3113297000527382
P,0,10,0.3033642999944277
P,0,20,0.38527759996941313
P,0,0,0.3651640999596566
E,0,20,0.39723280002363026
P,0,0,0.4243787999730557
E,0,30,0.3865204999456182
P,0,20,0.4038789999904111
E,0,30,0.3475797999999486
P,0,40,0.4037314999732189
E,0,30,0.40830429998459294
E,0,40,0.48975020000943914
P,0,0,0.35487099998863414
P,2,20,0.39475090004270896
P,2,0,0.3794101999956183
E,2,20,0.431319999974221
P,2,20,0.5827349000028335
P,2,10,0.33785139996325597
E,2,40,0.40014509996399283
P,2,30,0.43177199998172
P,2,20,0.28247480001300573
P,2,0,0.3505491000250913
E,2,40,0.4104615999967791
P,2,0,0.2972149000270292
E,2,10,0.3769210000173189
E,2,30,0.39880880003329366
E,2,30,0.3604211999918334
P,2,40,0.3684572000056505
P,2,0,0.384423199982848
E,2,10,0.3189268000423908
P,2,0,0.3418886000290513
P,2,0,0.342021599994041
P,2,0,0.33028870000271127
P,2,40,0.4861881000106223
E,2,10,0.3810924999997951
E,2,40,0.39363310002954677
E,2,40,0.4086690999683924
E,2,40,0.43354350002482533
E,2,10,0.3653143999981694
E,2,30,0.3966849999851547
E,2,20,0.31423069996526465
P,2,0,0.3551972000277601
P,2,30,0.4586412000353448
E,2,10,0.3938868000404909
E,2,40,0.4321232999791391
P,2,20,0.4813166999956593
P,2,40,0.49402580002788454
P,2,30,0.34750849998090416
P,2,10,0.33211660000961274
E,2,30,0.3417538999929093
P,2,20,0.4281629999750294
E,2,10,0.4096785999718122
P,2,20,0.36312159994849935
E,2,10,0.39260749996174127
E,2,0,0.39684020000277087
P,2,30,0.3808596999733709
E,2,10,0.4017681999830529
E,2,30,0.3855246999883093
E,2,20,0.4406528000254184
E,2,0,0.3221441999776289
E,2,30,0.44266600004630163
E,2,20,0.27066079998621717
E,2,40,0.41312760004075244
