Character,Direction,Eccentricity,Reaction Time (s)
da,2,10,0.3858321289299056
da,0,20,0.22187616594601423
da,2,0,0.24393153900746256
da,2,20,0.22001466597430408
da,2,10,0.14554299099836498
da,2,30,0.4339442850323394
da,2,20,0.4274639540584758
da,0,30,0.11553949897643179
da,2,30,0.23070546495728195
da,0,10,0.421541925030760467
da,2,10,0.300950728938914835
da,0,10,0.2523739660391584
da,2,30,0.3740426299860701
da,0,30,0.25196921604219824
da,0,40,0.11158532905392349
da,2,10,0.24126811197493225
da,0,30,0.18224226497113705
da,0,10,0.2399815060198307
da,0,30,0.24188316601794213
da,0,30,0.16237919393461198
da,2,0,0.34042390098329633
da,0,20,0.11770143802277744
da,0,10,0.5109193490352482
da,0,20,0.370976401027292
da,2,20,0.3319761490449309
da,2,30,0.3073603119701147
da,2,10,0.30207602004520595
da,0,30,0.23812119702342898
da,2,0,0.2433456250000745
da,0,0,1.3138281439896673
da,0,20,0.33741233800537884
da,0,40,0.2530540860025212
da,0,40,0.30841416504699737
da,0,40,0.40585824998561293
da,0,30,0.4001961649628356
da,0,0,0.882696975953877
da,0,10,0.10285009094513953
da,0,30,0.47820012795273215
da,0,40,0.06509031308814883
da,0,20,0.231852074037306
da,2,10,0.211336333001963794
da,0,40,1.4150873869657516
da,2,30,0.24255545902997255
da,2,30,0.2570660059573129
da,2,0,0.20236132200807333
da,2,30,0.18848449306096882
da,2,40,0.35043217702768743
da,2,0,0.3380636229878291
da,2,20,0.4571426040492952
da,0,20,0.38056607795879245
da,0,20,0.281604842050001
da,0,30,0.36822864792775363
da,2,20,0.36534852110780776
da,2,40,0.15464578801766038
da,0,0,0.16375715797767043
da,0,10,0.38305316104087979
da,0,0,0.08531783893704414
da,2,20,0.10717795905657113
da,2,30,0.35204767594113946
da,2,10,0.46078792200423777
da,2,30,0.09536580997519195
da,0,30,0.4532849210081622
da,0,40,0.08514458406716585
da,2,40,0.2903153809485957
da,0,40,0.18247537408024073
da,2,0,0.3622942960355431
da,2,40,0.32438740101642907
da,0,20,0.3049179899971932
da,2,20,0.2923975909827277
da,0,0,0.038712062989361584
da,0,0,0.19025644299108535
da,2,0,0.429335871944204
da,2,10,0.23544792796019465
da,2,40,0.340977923083119094
da,2,40,0.34580854792147875
da,2,0,0.4665581650333479
da,2,0,0.3969100569142029
da,0,10,0.3750399719690904
da,0,0,0.0925365419825539
da,2,20,0.21965499809011817
da,0,0,0.06336181191727519
da,0,10,0.11865326098632067
da,0,10,0.05834192398469895
da,2,40,0.17213223699945956
da,0,20,0.245739731984212995
da,0,40,0.22661285195499659
da,0,0,0.2205041100969538
da,0,10,0.42143121394328773
da,2,40,0.4347918370272964
da,2,30,0.2208567800698802
da,2,20,0.27318098198156804
da,2,40,0.24438443197868764
da,0,0,0.03574590303469449
da,0,40,0.06685411906801164
da,2,20,0.14898866196162999
da,0,20,0.2386318730423227
da,2,40,0.2830168379470706
da,2,10,0.18399825394153595
da,2,10,0.44514871800784022
da,2,0,0.06547065498307347
