Character,Direction,Eccentricity,Reaction Time (s)
da,0,30,0.4799356959760189
da,0,0,0.25942882103845477
da,0,30,0.1630881349556148
da,2,0,0.5486747400136665
da,0,0,0.306741394987329841
da,2,0,0.34351700195111334
da,0,40,0.327488803025335073
da,0,10,0.214005242963321507
da,2,30,0.32950535700656474
da,0,40,0.22960316692478955
da,2,0,0.11209963902365416
da,2,0,0.07559777295682579
da,2,40,0.212947198003530502
da,0,20,0.29031310603022575
da,0,0,0.142171730985865
da,2,30,0.360658346908167
da,0,20,0.355599780986085534
da,2,0,0.3423090339638293
da,2,40,0.2564494030084461
da,0,30,0.354210996022447944
da,0,40,0.25560188496019691
da,2,30,0.44003863409161568
da,2,20,0.14972865802701563
da,2,40,0.39227111400105059
da,0,10,0.17059597407933325
da,0,20,0.6720417520264164
da,0,20,0.2168480809777975
da,2,10,0.344455426977947354
da,2,20,0.21864149696193635
da,2,20,0.023951689014211297
da,2,0,0.38950262994039804
da,2,30,0.10398150596302003
da,0,10,0.34746256405487657
da,2,10,0.39771107300184667
da,2,30,0.11876706103794277
da,2,20,0.24050387705210596
da,2,40,0.12718553293962032
da,2,0,0.27281297999434173
da,0,40,0.48545256999786943
da,0,0,0.268262758958153427
da,0,30,0.10321058507543057
da,2,20,0.15598120994400233
da,0,40,0.45133994105271995
da,0,40,0.6254062110092491
da,2,10,0.49116700198501348
da,0,0,0.2145153529709205
da,2,40,0.1678621229948476
da,0,30,0.2785926969954744
da,0,20,0.192847338039428
da,0,30,0.23350755793508142
da,0,10,0.5771854659542441
da,2,20,0.15783489297609776
da,0,0,0.13887748192064464
da,2,20,0.29008640290703624
da,2,10,0.18690298998262733
da,0,30,0.2176202000118792
da,0,40,0.336722011980600655
da,0,30,0.4930802950402722
da,0,0,0.3066054100636393
da,0,30,0.2505021160468459
da,2,40,0.37046176609583199
da,2,0,0.2594685759395361
da,2,40,0.48112863902933896
da,2,0,0.27949212002567947
da,0,10,0.17981509095989168
da,0,0,0.303339034039527178
da,2,10,0.08271298708859831
da,0,0,0.40089289804920554
da,2,10,0.38285989006981254
da,0,10,0.148048272007145
da,0,40,0.18888567993417382
da,2,40,0.42875479504000396
da,2,20,0.030517306993715465
da,0,20,0.26381766498088837
da,2,20,0.14091996906790882
da,0,10,0.3330465970793739
da,2,10,0.144206180004403
da,2,30,0.34041086998768151
da,0,10,0.21874048900790513
da,2,30,0.6807231440907344
da,2,40,0.39430207207333297
da,2,10,0.3593407580628991
da,0,20,0.22736033098772168
da,2,0,0.25687352910172194
da,2,30,0.109981365990824997
da,0,20,0.5842580480268225
da,0,30,0.3336367739830166
da,0,20,0.26200232398696244
da,0,20,0.15049631893634796
da,2,30,0.39996648004744202
da,2,40,0.19348202599212527
da,2,10,0.20287576701957732
da,2,30,0.2649732440477237
da,2,20,0.09153006202541292
da,0,40,0.17447507195174694
da,0,10,0.2155196169624105
da,0,0,0.4435118299443275
da,2,10,0.36591289304196835
da,0,10,0.48690529689192772
da,0,40,0.25842600599862635
