Character,Direction,Eccentricity,Reaction Time (s)
zhong,2,30,0.6778234030352905
zhong,0,40,0.5813473450252786
zhong,0,10,0.4320816870313138
zhong,2,30,0.6059663509950042
zhong,2,0,0.45600325195118785
da,0,0,0.8458773009479046
da,0,40,0.6782011509640142
xiao,2,20,0.6803763109492138
xiao,2,30,0.4654418339487165
da,2,0,0.6029808779712766
zhong,2,0,0.5762329710414633
zhong,0,40,0.5384497339837253
zhong,0,30,0.46825584198813885
da,0,10,0.5674470959929749
xiao,0,10,0.504304907983169
da,0,0,0.5231561280088499
xiao,0,40,0.64035932905972
da,2,40,0.6210518790176138
xiao,2,30,0.6602817029925063
zhong,2,30,0.6836697820108384
da,0,30,0.6570455589797348
da,2,30,0.535693351062946
xiao,0,20,0.6011723720002919
da,0,40,0.9560463890666142
zhong,2,0,0.5349059490254149
zhong,0,10,0.4729910360183567
xiao,0,40,0.6706294449977577
zhong,0,0,0.6892472159815952
da,2,20,0.6225011310307309
xiao,0,30,0.49070344993378967
da,2,20,0.6464320298982784
zhong,2,10,0.5579045600024983
zhong,2,10,0.5479010220151395
xiao,0,20,0.8178830469259992
zhong,2,10,0.4751843099948019
zhong,0,20,0.6152156670577824
zhong,0,0,0.5614576239604503
da,2,40,0.6645694200415164
xiao,2,40,0.5768080619163811
xiao,2,30,0.5308795230230317
zhong,2,20,0.5694183959858492
da,2,40,0.58177456993144
zhong,2,0,0.6057607349939644
xiao,0,20,0.6860173830064014
zhong,0,0,0.5734221909660846
xiao,0,10,0.515731081017293
xiao,2,10,0.4358142879791558
zhong,2,10,0.5386852810624987
xiao,0,20,0.5595947339897975
da,2,40,0.6180399589939043
zhong,2,10,0.5547404120443389
xiao,2,40,0.5951759290182963
zhong,0,30,0.589317562058568
xiao,2,0,0.4509036510717124
da,2,20,0.5376830650260672
da,0,40,0.4156288200290874
da,2,30,0.6534893829375505
zhong,0,20,0.4624537470052019
xiao,2,10,0.6246384559199214
zhong,0,20,0.673196328105405
xiao,2,0,0.511278301011771
xiao,0,30,0.5433790499344468
zhong,0,10,0.6802096769679338
da,0,0,0.6541735640494153
xiao,2,20,0.5699319730047137
zhong,0,30,0.5863587930798531
da,0,10,0.7404902429552749
xiao,0,20,0.6251191740157083
xiao,0,40,0.5935137419728562
zhong,2,10,0.5910619830247015
zhong,0,0,0.6414681450696662
zhong,0,10,0.4725799420848489
da,2,30,0.6341351619921625
xiao,2,20,0.6380519589874893
zhong,0,20,0.3357384680537507
da,0,0,0.622472605900839
da,0,10,0.5818892969982699
zhong,0,10,0.5488807839574292
zhong,2,0,0.4879315940197557
xiao,0,0,0.5811328300042078
xiao,2,40,0.5582908249925822
xiao,2,40,0.5057470959145576
da,2,0,0.5938160199439153
zhong,0,0,0.6003971149912104
zhong,0,40,0.6024231160990894
zhong,0,30,0.807478366070427
xiao,2,20,0.5023808119585738
xiao,2,20,0.4346141651039943
xiao,2,10,0.4152512310538441
xiao,0,30,0.5491817679721862
xiao,0,20,0.4547833950491622
zhong,2,0,0.5392396550159901
zhong,2,40,0.9508961129467934
da,0,30,0.6289984859758988
zhong,2,30,0.7541908520506695
da,0,40,0.6521733939880505
da,0,30,0.5705037830630317
zhong,2,10,0.565261751995422
zhong,2,20,0.6148621290922165
xiao,2,40,0.4834242679644376
