Character,Direction,Eccentricity,Reaction Time (s)
da,0,20,0.5117924719816074
xiao,2,30,0.4518757219193503
da,2,0,0.47054229595232755
da,2,10,0.4175729650305584
xiao,2,40,0.4083558479323983
xiao,0,40,0.5405967910774052
da,0,10,0.5208828849717975
da,2,10,0.4072427449282259
da,0,20,0.49810037296265364
da,2,30,0.4269065950065851
da,0,20,0.4520012059947476
da,2,20,0.47400579100940377
xiao,2,30,0.56435515698976815
xiao,0,40,0.598503784975037
xiao,0,40,0.46440907195210457
xiao,0,10,0.42462863598484546
xiao,0,0,0.43103488394990563
xiao,2,30,0.420572247938253
da,0,20,0.5289442630019039
da,0,0,0.4176288219168782
da,0,40,0.480176095967181
da,2,40,0.3901978860376403
da,2,20,0.493987868912518
da,0,10,0.33743613502010703
da,2,30,0.3976858389796689
xiao,2,10,0.40736947797238827
xiao,2,30,0.6380368610145524
xiao,0,30,0.5112296419683844
da,2,10,0.5788081700447947
xiao,2,30,0.5245230060536414
da,2,10,0.5159083009930328
da,2,0,0.4486368460347876
da,0,10,0.525822562049143
da,0,30,0.5212533380836248
xiao,0,10,0.5215430690441281
xiao,2,10,0.501731641003862
xiao,2,20,0.411115488037467
xiao,0,20,0.47008378501050174
da,0,0,0.4167330909986049
da,2,10,0.474396433099173
xiao,0,40,0.5192148779751733
xiao,0,20,0.5768898179754615
xiao,0,30,0.38547503505833447
xiao,2,0,0.42581571091432124
xiao,2,0,0.53665301392320544
xiao,0,30,0.43058721406850964
xiao,0,0,0.39716039795894176
xiao,0,0,0.42821128002833575
xiao,2,40,0.5717692680191249
xiao,0,0,0.4017505649244413
xiao,2,20,0.5926370349479839
xiao,0,40,0.4690121569437906
xiao,0,20,0.4364439939381555
da,2,10,0.5035235349787399
da,0,0,0.41239747300278395
da,2,40,0.49884307594038546
xiao,2,0,0.63955611006822437
da,2,10,0.4866754929535091
da,0,0,0.4342236209195107
da,2,20,0.6658347769873217
da,0,20,0.531680693035014
xiao,0,40,0.6686599079985172
da,0,10,0.3999233089387417
xiao,2,40,0.499405903974548
da,0,40,0.6261497410014272
da,2,40,0.5682788951089606
xiao,2,20,0.38745334800332785
xiao,0,30,0.5733990499284118
da,0,20,0.5343667409615591
xiao,2,0,0.49231318194419146
da,0,10,0.5589284800225869
da,2,30,0.5404198640026152
xiao,0,10,0.4961628100136295
da,2,0,0.41343519499059767
xiao,0,30,0.5273400669684634
da,2,40,0.5012856600806117
xiao,2,30,0.49680332199204713
da,2,20,0.4286683870013803
xiao,0,40,0.49424441903829575
da,0,0,0.5360621790168807
da,2,30,0.5190603400114924
xiao,0,10,0.5668206000700593
xiao,2,20,0.48816227505449206
da,2,0,0.4420497390674427
xiao,2,20,0.5135022239992395
da,2,40,0.49880797299556434
da,0,30,0.619464066112414
da,2,10,0.3914248279761523
da,2,20,0.505083840014413
xiao,2,40,0.5644759059650823
xiao,0,0,0.4533933160128072
da,2,0,0.46073087793774903
da,0,20,0.5172786749899387
xiao,0,30,0.5304642480332404
xiao,0,10,0.5467135920189321
da,0,30,0.4305415260372683
xiao,0,40,0.5150295000057667
xiao,0,30,0.6870113490149379
xiao,2,40,0.5525998140219599
xiao,2,0,0.519032545061782
