Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,40,0.6492315189680085
xiao,0,10,0.44065083493478596
xiao,0,10,0.44613613397814333
xiao,2,0,0.5362787019694224
da,0,40,0.5928435180103406
xiao,2,20,0.6082398920552805
da,0,10,0.5363599030533805
xiao,0,10,0.6448257040465251
xiao,0,40,0.5705748030450195
da,0,20,0.49004248005803674
da,0,30,0.4620115680154413
da,2,0,0.4491681900108233
da,2,0,0.41535670403391123
xiao,2,0,0.4774319480638951
xiao,2,10,0.49011624697595835
da,2,0,0.4285752580035478
xiao,0,0,0.4904058070387691
xiao,2,10,0.5021917909616604
da,2,20,0.44929639296606183
xiao,2,0,0.4739010420162231
xiao,0,20,0.5381470990832895
xiao,0,20,0.4274247479625046
da,0,20,0.519163666991517
da,2,30,0.3018405109643936
da,2,0,0.43198280106298625
xiao,2,40,0.571463365922682
da,0,30,0.508523419033736
da,0,10,0.5065054749138653
xiao,2,30,0.5334558869944885
xiao,2,20,0.5904828920029104
da,2,30,0.6295362270902842
da,0,0,0.4830241700913757
da,0,0,0.3625262030400336
xiao,2,30,0.5484037059359252
da,0,0,0.30301243299618363
xiao,0,10,0.5296487120212987
xiao,2,0,0.4645916969748214
da,0,0,0.6313989389920607
xiao,2,30,0.5140614950796589
xiao,2,40,0.519294471014291
da,2,10,0.4422957400092855
xiao,0,10,0.5109191889641806
xiao,0,40,0.54608186197001487
xiao,0,40,0.60383101301267743
da,0,10,0.48950339399743825
da,2,10,0.39802034199237823
xiao,0,30,0.5377414779737592
xiao,2,10,0.6792665180051699
da,0,0,0.4381671929731965
da,2,40,0.6135080689564347
xiao,0,20,0.49407500901725143
da,2,10,0.48542984505183995
xiao,2,30,0.4352099250536412
xiao,2,20,0.4930957629112527
xiao,0,20,0.4203062759479508
xiao,0,30,0.53434407701715827
xiao,0,40,0.46540910995099694
da,2,10,0.37561858107801527
xiao,0,30,0.4594224790344015
xiao,0,30,0.60621267503593117
xiao,2,40,0.5501755248988047
da,0,0,0.41852972900960594
xiao,2,30,0.5464466939447448
da,2,30,0.5488089240388945
da,0,40,0.5375686769606546
xiao,0,40,0.5323079479858279
xiao,0,10,0.47187410306651145
xiao,0,0,0.4821150309871882
xiao,2,40,0.4914391810307279
xiao,0,20,0.3400643500033766
xiao,0,30,0.4890862380852923
xiao,0,20,0.44610891304910183
xiao,0,40,0.3758027729112655
da,2,40,0.634767840965651
da,2,10,0.4950580899603665
da,2,30,0.4861434670165181
da,2,30,0.4390308250207454
xiao,2,40,0.4918201199034229
xiao,2,0,0.4632370329927653
da,2,10,0.3348005209118128
xiao,0,20,0.5041786308865994
xiao,2,40,0.5623634479707107
xiao,2,20,0.540867930976674
da,2,10,0.4303948419401422
da,2,40,0.5315783919068053
xiao,2,0,0.4859336339868605
da,2,40,0.47572085598949343
xiao,2,20,0.5127111700130627
xiao,2,20,0.5481167249381542
da,2,20,0.4985624710097909
xiao,0,30,0.39856923604384065
xiao,2,20,0.49291253194678575
xiao,0,40,0.4751571239903569
da,0,10,0.5700475480407476
da,0,30,0.5561005040071905
xiao,0,0,0.4491072549717501
da,2,20,0.43075761292129755
da,0,20,0.48102653003297746
da,0,0,0.49724039109423757
da,0,30,0.5055138010066003
