Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,20,0.2581612270325422
0.0,2,0,0.25974588602548465
0.0,0,5,0.363496896030847
0.0,2,5,0.3492605940508656
0.0,0,20,0.2988272679853253
0.0,0,25,0.1966301020490937
0.0,2,15,0.30483800100628287
0.0,2,10,0.26234872097847983
0.0,2,20,0.3464933939999901
0.0,0,10,0.26948437901446596
0.0,2,0,0.1963488080049865
0.0,2,30,0.3245836980268359
0.0,2,35,0.2272333209752105
0.0,0,20,0.22724242503987625
0.0,2,10,0.32876845096470788
0.0,2,15,0.3146744599798694
0.0,2,20,0.2951572320307605
0.0,0,30,0.329749397981911
0.0,0,10,0.1989148079790175
0.0,0,30,0.2629082140047103
0.0,2,20,0.2577484940062277
0.0,0,15,0.25863339997595176
0.0,0,35,0.35769408595515415
0.0,2,15,0.27166785198030993
0.0,0,40,0.3416220060107298
0.0,0,40,0.3293612519884482
0.0,2,15,0.2804117539781146
0.0,0,15,0.24941124999895692
0.0,2,25,0.3567275669891387
0.0,0,35,0.29577119197696447
0.0,0,30,0.292435881954617
0.0,0,25,0.2302950990269892
0.0,2,30,0.28256689900532365
0.0,2,40,0.28485443697310984
0.0,2,15,0.1945652489666827
0.0,2,15,0.22994762897724286
0.0,2,5,0.3135489600081928
0.0,2,25,0.31732703001005575
0.0,0,40,0.3431925309705548
0.0,2,10,0.35440805399557576
0.0,2,25,0.31573316000867635
0.0,2,15,0.28758664400083944
0.0,2,30,0.2508464870043099
0.0,2,40,0.33797668198589236
0.0,2,20,0.3144528340315446
0.0,0,0,0.37849582497496158
0.0,0,25,0.27962941699661314
0.0,0,5,0.39626901004696265
0.0,0,10,0.2993069789954461
0.0,2,10,0.2800140139879659
0.0,2,20,0.21807785297278315
0.0,2,5,0.23130075703375041
0.0,2,25,0.33380196203943342
0.0,0,0,0.33260689903283492
0.0,2,30,0.27196137000247836
0.0,0,25,0.31500562199158594
0.0,2,25,0.19553110998822376
0.0,2,35,0.2525136949843727
0.0,0,30,0.23037077096756548
0.0,2,40,0.22363487200345844
