Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,20,0.27171135699609295
0.0,2,20,0.26562270403513685
0.0,0,20,0.31124038400594145
0.0,2,0,0.2450658370112069
0.0,2,25,0.2851000560214743
0.0,2,25,0.34996880298713222
0.0,0,0,0.27538697596173733
0.0,0,10,0.28952225599205121
0.0,2,5,0.36352184096584097
0.0,2,10,0.25180591098032892
0.0,0,5,0.29719690702389926
0.0,2,40,0.36018137698527426
0.0,2,5,0.297857869018334895
0.0,0,5,0.2949888510047458
0.0,2,15,0.311142582981847227
0.0,0,15,0.28092290902277455
0.0,0,25,0.27192296598805115
0.0,0,5,0.36434895199956372
0.0,2,20,0.36157878099940717
0.0,2,35,0.38149464699672535
0.0,0,35,0.309677140973508358
0.0,0,10,0.36356754204956815
0.0,0,20,0.3253425959846936
0.0,2,5,0.34063094002427533
0.0,0,25,0.35841779403854162
0.0,0,0,0.3354426409932785
0.0,0,15,0.3029393149889074266
0.0,0,30,0.32409357001073658
0.0,0,30,0.2763325200066902
0.0,2,25,0.3537982359994203
0.0,2,35,0.31824490799335763
0.0,2,10,0.26016465896973386
0.0,2,40,0.35588072299724445
0.0,2,30,0.3787273509986699
0.0,0,30,0.22930369403911754
0.0,2,30,0.2506189669948071
0.0,0,0,0.2976923109963536
0.0,0,35,0.30703243396710604
0.0,2,25,0.30926890996051952
0.0,0,30,0.27133654901990667
0.0,2,30,0.29844757003011182
0.0,0,15,0.28345729800639674
0.0,2,40,0.31476093802601099
0.0,2,10,0.2963736050296575
0.0,0,5,0.26667263196548447
0.0,0,40,0.30685895999893546
0.0,0,5,0.34850926398066804
0.0,2,20,0.3372328590368852
0.0,2,5,0.2856901830015704
0.0,0,25,0.25260997798992321
0.0,2,25,0.342273254012689
0.0,2,15,0.25716568103060126
0.0,2,10,0.3683770720101893
0.0,2,30,0.361502595001366
0.0,0,40,0.33961533499415964
0.0,2,35,0.35512419002363458
0.0,0,40,0.33338812696747482
0.0,0,30,0.36095192402834073
0.0,0,10,0.27289780501043424
0.0,2,35,0.311296365992166102
0.0,2,0,0.36770687000826
0.0,0,25,0.2951548379729502
0.0,0,30,0.31768285197904333
