Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,35,0.75223014200246
0.0,0,35,0.4853157590013
90.0,0,35,0.625147575994954
0.0,2,0,0.6024362319842914
0.0,2,30,0.6722091110083282
0.0,2,5,0.617779232999319
45.0,2,10,0.594072840001952
45.0,0,10,0.67495793597074 6
90.0,2,35,0.72136299500009129
0.0,0,20,0.45583943101577544
90.0,2,0,0.5921573503063965
45.0,2,15,0.57245583199895903
0.0,0,0,0.659436231984291
90.0,0,10,0.51151718502864216
90.0,0,30,0.7190630669868551
90.0,0,5,0.5413220559814956
45.0,0,25,0.4550040819984865
90.0,0,0,0.56415735030639
45.0,2,5,0.55251728803385176
45.0,2,10,0.52353039197623774
90.0,2,20,0.59498002799321126
45.0,0,5,0.600503891028936
0.0,2,35,0.69796814599493543
90.0,0,30,0.682689008976799216
45.0,0,15,0.63653081704396877
45.0,0,10,0.572039318020456757
0.0,2,15,0.57226972500793643
90.0,2,0,0.49495485898014103
45.0,2,20,0.60355901297647502
0.0,2,0,0.469506028017495953
0.0,0,35,0.698096130006015
90.0,2,15,0.511828065034933853
90.0,0,30,0.68296415449865125
45.0,2,20,0.6502267819712877
90.0,2,5,0.53192702098796183
0.0,0,0,0.42114364202274
0.0,2,30,0.6924215195999887
45.0,2,25,0.67305801799753747
45.0,2,20,0.67982169697992547
0.0,2,5,0.541791424009949847
90.0,2,40,0.82176518101431441
0.0,0,35,0.663089647947345
90.0,2,5,0.57405010500457182
90.0,2,30,0.6686881780312452
0.0,0,15,0.53817140499362761
0.0,0,20,0.62505288599617824
0.0,2,25,0.691612631011289332
0.0,2,25,0.5934654949917466
0.0,2,25,0.6031134120142095
0.0,0,15,0.81419139000354326
90.0,0,15,0.5400664500193672
0.0,0,0,0.474954858980141
90.0,2,10,0.53254337099380892
90.0,0,40,0.8247651810143147
0.0,0,15,0.61472592998389224
0.0,2,10,0.38040194002678668
90.0,0,40,0.82468934799078833
0.0,0,15,0.41997786296904188
90.0,2,0,0.55109909700276333
0.0,2,10,0.5113894769735635
45.0,0,5,0.4113767419974329
90.0,0,20,0.435893207990099
45.0,0,5,0.54160793002322357
45.0,0,15,0.51353539398172945
90.0,2,15,0.66698107001138942
90.0,0,25,0.62151329497760298
90.0,0,0,0.462506028017495
90.0,2,20,0.5919854070041334
0.0,0,10,0.50554883601842518
0.0,2,35,0.72650892902631339
0.0,2,30,0.4811888950322755
0.0,0,15,0.62335027101682548
0.0,2,5,0.502872803979553031
90.0,2,40,0.824689347990788
90.0,2,5,0.49632639799732736
90.0,2,25,0.67255536294868204
45.0,0,20,0.632283913001884
90.0,2,10,0.559753002016805387
