Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.6094362319842912
0.0,2,20,0.48969536296790466
90.0,2,40,0.7896252329880372
0.0,2,15,0.5952583159948699
90.0,0,5,0.44330421095946804
0.0,2,35,0.73602454201783985
0.0,2,15,0.4618154210038483
0.0,2,10,0.5538269589887932
0.0,0,30,0.7061923180148005
90.0,2,30,0.6756173540046439
90.0,0,20,0.5885741420136765
0.0,2,25,0.6435743620037101
90.0,0,15,0.61363388998201117
0.0,0,10,0.6968789390171878
90.0,2,30,0.5430995479598641
90.0,0,30,0.4501808709814213
0.0,2,0,0.5402795979846269
90.0,2,10,0.46634399596834555
0.0,0,15,0.6341731850034557
90.0,2,30,0.74392148200422525
0.0,0,10,0.6358073940151371
0.0,0,35,0.661144650974776
90.0,2,15,0.5778207800188102
90.0,2,25,0.6401570269954391
0.0,0,10,0.4980355559731834
0.0,2,35,0.6448581220000051
0.0,2,25,0.6856290599959902
90.0,0,0,0.4830157350306399
90.0,2,10,0.5585597289609723
90.0,2,20,0.6238636590074748
0.0,2,25,0.71388568502618
90.0,2,20,0.6409600279876031
0.0,0,10,0.4037141829961911
0.0,0,5,0.4203204109775834
0.0,0,30,0.588212613016367
90.0,2,35,0.7175647410331294
0.0,2,15,0.5764790959656239
90.0,0,20,0.5940274110180326
90.0,0,30,0.6658621570025571
90.0,0,20,0.6868092709919438
90.0,2,20,0.5068541500042193
90.0,0,0,0.4101436420227401
90.0,0,25,0.6163335710531101
0.0,0,0,0.4589548589801416
90.0,2,0,0.59163750297157094
90.0,2,10,0.6066987860086374
90.0,0,35,0.5519727190257981
0.0,2,35,0.5759848909801804
0.0,2,5,0.6046396389580332
0.0,2,0,0.4280654469807632
0.0,0,20,0.3805230930331163
0.0,0,40,0.8087651810143143
90.0,0,25,0.55893917698413134
0.0,2,15,0.46256969900336117
0.0,2,35,0.7241281989845447
0.0,2,10,0.4610037770029157
90.0,2,30,0.48101908998796716
90.0,2,5,0.46109932302031666
0.0,0,5,0.4806467019766569
90.0,0,30,0.58985621900390834
90.0,2,0,0.41920407803263515
0.0,0,15,0.5978016119846143
0.0,2,5,0.4372456190176308
90.0,2,15,0.5899088699952699
0.0,0,5,0.6021787900081836
0.0,0,20,0.6880241619772278
90.0,2,25,0.58238548495806754
90.0,2,0,0.6035633569932543
90.0,0,25,0.6738085169577971
90.0,2,40,0.6909940570127219
90.0,0,35,0.8269176589790732
90.0,0,10,0.45262147299945354
0.0,2,40,0.6854666520259343
0.0,2,0,0.418016463983804
90.0,0,10,0.5194224159931764
0.0,2,10,0.46290958498138934
0.0,0,5,0.5990729639609344
0.0,2,35,0.6893883390165865
0.0,0,10,0.46990174101665616
0.0,0,30,0.5347635390353389
0.0,2,25,0.5107491810340434
90.0,2,30,0.5682871780125424
90.0,0,5,0.41526489700656384
0.0,0,0,0.4345060280174948
0.0,0,30,0.6132970229675993
0.0,0,5,0.4667188629950397
90.0,0,25,0.5139582959818654
0.0,2,35,0.6202849030075595
0.0,0,15,0.5958792209858075
0.0,0,15,0.51974959801649675
0.0,0,20,0.3805227500205077
90.0,2,20,0.5659393959795125
0.0,0,30,0.6614336890098639
90.0,2,15,0.5607827000017278
90.0,2,0,0.4205626669735648
0.0,0,15,0.3834128459915519
90.0,0,25,0.59622476898366585
0.0,0,35,0.758118757971096
0.0,0,0,0.5940990970027633
90.0,2,30,0.5292746699624695
0.0,2,40,0.4801254879590124
0.0,2,20,0.4328144179889932
90.0,0,25,0.44449085597880185
90.0,2,25,0.4991768189962022
90.0,2,35,0.5882315650163218
90.0,2,15,0.5338364649889991
90.0,0,10,0.43829614896094427
0.0,2,5,0.46848868203675374
0.0,0,30,0.6393701620181091
90.0,2,35,0.7138151750201359
90.0,0,15,0.53942456000717357
0.0,2,35,0.5286349179805256
0.0,2,30,0.7399270470091142
90.0,2,0,0.38439430102007464
0.0,0,25,0.7003630570136011
90.0,0,35,0.556739985011518
90.0,0,30,0.7598267959612422
90.0,2,20,0.5439626339939423
0.0,0,20,0.52051814997801557
0.0,0,15,0.424103767988272
90.0,2,25,0.4398074990371242
90.0,2,5,0.581334691955707
90.0,0,35,0.7851299079717137
0.0,2,20,0.6633515780116431
90.0,0,25,0.55490993600105867
0.0,0,5,0.42492157299490646
90.0,0,40,0.8096893479907885
90.0,0,35,0.5396184639888816
90.0,2,25,0.5683933600015007
90.0,2,10,0.6024606160004623
90.0,2,20,0.4501415389683098
90.0,2,10,0.5509654419729486
90.0,0,10,0.4820135729969479
90.0,0,20,0.5432130270055495
0.0,0,35,0.5867727440199815
0.0,0,5,0.5102950299810618
90.0,2,25,0.6490257220109925
0.0,2,5,0.4363229330047034
90.0,0,5,0.431824569015298
0.0,0,20,0.5710937060089782
90.0,0,15,0.5594666310073808
90.0,2,5,0.43811132396105677
90.0,0,15,0.48489461798453704
0.0,0,40,0.7223841009987518
90.0,0,0,0.5362402299651876
0.0,2,5,0.5252393839764409
0.0,2,30,0.6694635330303572
0.0,0,0,0.2031802439759485
0.0,2,30,0.6990483459853567
0.0,0,25,0.7499510409892537
90.0,2,0,0.3469367829710245
90.0,2,30,0.5600054679671302
90.0,2,0,0.4105471449601464
0.0,0,10,0.5176981640397571
0.0,2,20,0.5939951310283504
90.0,0,25,0.5558358350372873
0.0,0,35,0.6892770109931007
90.0,2,15,0.50314990202197805
90.0,2,5,0.4356714420439675
90.0,0,0,0.383880655982066
90.0,2,10,0.43838611198589206
0.0,2,40,0.7659049099916592
0.0,2,40,0.613606697965879
0.0,0,40,0.68169502101140097
0.0,0,40,0.71670281800907105
90.0,0,0,0.4374304629862309
0.0,0,35,0.5707270830171183
90.0,0,40,0.5310100789996795
0.0,0,40,0.5365999050019309
0.0,0,40,0.6640592730091885
0.0,0,20,0.5962705219700001
0.0,0,40,0.6295236020232551
90.0,2,10,0.480450549039524
0.0,2,40,0.5623306229826994
90.0,2,15,0.5176640679710545
0.0,2,5,0.4193800929817371
90.0,2,40,0.741611566003412
90.0,2,40,0.7302853840170428
0.0,2,40,0.74504143501631916
90.0,0,40,0.69807737702224404
