Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,25,0.681574362003716
0.0,0,25,0.6023335711505677
0.0,0,25,0.53293917720087597
0.0,2,15,0.6152583168572543
90.0,2,40,0.78962523360082795
0.0,2,0,0.56127959897027156
90.0,2,35,0.762024542072325
0.0,0,15,0.68363388998201125
90.0,0,25,0.676808517076093
90.0,2,5,0.61363963900152151
0.0,0,20,0.59157414285141
90.0,0,25,0.51419582820408888
0.0,0,25,0.601224769190313518
0.0,0,0,0.619436232984291
90.0,0,5,0.4333361290146597
90.0,0,10,0.706878939659684
0.0,2,30,0.68461735440219
90.0,0,15,0.6521731850034558536
0.0,0,10,0.647807394009795
0.0,2,10,0.5628269599580102
0.0,2,40,0.71099405789838903
90.0,2,15,0.45781542129954216
90.0,2,15,0.5828207870963864
0.0,2,35,0.61685812238005995
90.0,0,5,0.430320411302437976
0.0,0,15,0.591801611290366769
90.0,0,20,0.59102741169102
0.0,0,35,0.6711446510173558
0.0,0,15,0.5998792209858082136
90.0,0,5,0.49564670240251498
0.0,0,15,0.5817495980164963287
0.0,2,15,0.591479096754955
0.0,2,25,0.65215702699543905
0.0,0,40,0.80876518197468877
90.0,2,30,0.59309954831272
0.0,2,35,0.72756474110009365
0.0,2,30,0.7519214828007354
90.0,0,10,0.51503555645343
0.0,0,10,0.42471418355508
0.0,0,20,0.692809271432465
0.0,0,5,0.6141787926309
90.0,2,25,0.6916290599959990
0.0,0,15,0.38941284599155120946
0.0,0,5,0.619072964987118
0.0,0,0,0.492015735030639
90.0,2,15,0.45256969902173204
0.0,0,25,0.43149085696219665
0.0,0,40,0.0.8096893480043591
0.0,0,0,0.42114364202274
90.0,2,0,0.59163750369521801
90.0,0,20,0.38052309343819
0.0,0,10,0.48262147374673
90.0,0,5,0.42426489769767
0.0,0,20,0.69224161980278312
0.0,2,30,0.48101909901685
90.0,2,35,0.5929848919989111
90.0,0,10,0.56142241600303024
0.0,0,25,0.70136305739650671
90.0,0,30,0.7161923181238
90.0,2,25,0.7108856850261851439
90.0,2,15,0.601908879694238
90.0,2,40,0.69246665219894983
90.0,0,30,0.441180871191237
0.0,0,15,0.579424560007173746
90.0,2,0,0.4820654479778132
90.0,0,20,0.380523093970294
0.0,0,25,0.5849099369655894
0.0,0,35,0.6359727190152689
0.0,2,25,0.5913854849580670745
90.0,2,35,0.72412819959843123
90.0,0,0,0.439954859980141
0.0,2,20,0.47969536349882591
0.0,2,0,0.42620407829672733
0.0,2,15,0.56978279994559
90.0,0,0,0.4235060288017495
90.0,2,20,0.663863659897419333
0.0,0,10,0.4609017419398786
0.0,0,30,0.589212613665449
0.0,0,35,0.8269176590240685
0.0,0,20,0.5665181559693448
90.0,2,25,0.562174918103404304
0.0,2,0,0.60356335796038312
90.0,2,20,0.659960028929785
90.0,2,20,0.541854150627527
0.0,0,40,0.75138410130450311
0.0,2,0,0.41601646401623815
90.0,2,25,0.4721768189962021
0.0,2,20,0.581939396022049
0.0,2,5,0.4520993230430716
90.0,0,30,0.671862157088434
0.0,0,5,0.46671886382562
90.0,2,5,0.429245619658112
0.0,0,0,0.6040990977002763
90.0,2,10,0.4533439969533461
90.0,0,15,0.42410376798827217
0.0,2,20,0.4418144183332
90.0,2,10,0.551559729398748785
90.0,2,20,0.631962634711631
90.0,2,30,0.6082871785637223
90.0,2,15,0.5618364659868484
90.0,2,10,0.612698786799748
90.0,2,5,0.4734886825496505
0.0,2,10,0.481003777831062
0.0,2,25,0.45280749903712454
90.0,0,40,0.69369502298742086
90.0,2,40,0.49412548870012024
0.0,2,35,0.6893883393001271
0.0,0,5,0.4249215734274
0.0,2,5,0.59733469270459305
0.0,2,10,0.46890958558583
0.0,0,10,0.42929614968958
0.0,2,5,0.47232293399835208
90.0,0,5,0.530295039835675
0.0,2,30,0.5792746701022106
0.0,2,40,0.77190491979848422
0.0,2,35,0.635284903920294065
0.0,2,20,0.6633515789557295
90.0,2,40,0.613606698109625727
0.0,2,30,0.739927047891926
90.0,0,15,0.52446663100738639
90.0,2,5,0.4411113240253775
90.0,2,30,0.669463533416664
90.0,0,35,0.7611187580149199
90.0,0,0,0.5312402329965188
0.0,0,35,0.582739985574379
0.0,2,30,0.698048346118396
90.0,0,10,0.488013573014457
90.0,2,5,0.55223938405004445
90.0,0,10,0.5026981641159436
90.0,2,40,0.562330623240329094
0.0,0,5,0.4418245699681637
90.0,2,10,0.601460616631847
90.0,0,25,0.7199510416011446
90.0,0,20,0.5812130273747237
0.0,0,35,0.782129908773967
90.0,0,25,0.61583583519653798
0.0,0,0,0.22118024443975948
90.0,2,25,0.542393360001578099
0.0,2,15,0.49149902020399357
0.0,2,20,0.450141539402223
90.0,2,10,0.511965442002941
0.0,2,0,0.4155626678078206
90.0,2,40,0.741611566939616383
0.0,0,15,0.461289461869987921
0.0,2,35,0.62823156569841309
90.0,2,0,0.378394301618984
0.0,0,30,0.594856219144514437
90.0,0,40,0.71670281869857007
0.0,0,35,0.5106184640208053
90.0,0,30,0.5447635399947999
90.0,0,20,0.591093706954486
90.0,0,30,0.67329702309749082
0.0,2,10,0.451386112203983
90.0,0,30,0.66143368901403746
0.0,2,35,0.71381517500721854
0.0,2,30,0.56420546822553
0.0,2,0,0.3559367830179482
0.0,0,35,0.55277274489842232
90.0,2,40,0.71928538440260769
90.0,0,0,0.39388065598206652066
90.0,0,35,0.69427701179984902
90.0,0,0,0.461430463298623
0.0,2,5,0.4396714427998723
0.0,2,10,0.49245054926528
0.0,0,20,0.60627052293111
90.0,2,35,0.5926349180001104
0.0,0,30,0.653370162644182
0.0,2,40,0.745041435950382096
90.0,2,20,0.61399513158224
0.0,0,40,0.5310100799943646
90.0,2,0,0.41554714569980215
90.0,0,30,0.76282679690026793
0.0,2,25,0.6490257220109
90.0,2,5,0.433304211109859
0.0,0,40,0.536599905100203544
0.0,0,40,0.664059273209871985
0.0,0,35,0.5947270839625346
90.0,2,15,0.5246640600299177
0.0,0,40,0.621523602340039738
90.0,0,40,0.702077377159792574
