Face,Direction,Eccentricity,Reaction Time (s)
21,0,35,0.9704309009830467
21,0,5,0.5258187280036509
21,2,25,0.6154010519967414
23,0,5,0.8287406189832836
23,2,15,0.8179097339743748
21,0,20,0.8512209089822136
19,0,10,0.7776466460200027
21,2,15,0.8347219279967248
23,2,5,0.5042983749927953
21,0,20,0.8528331520501524
21,2,40,0.6749512950191274
23,2,20,0.7256866249954328
19,2,35,0.981871307012625
21,0,20,0.9214163370197639
21,2,5,0.723017622041516
21,2,10,0.6574748420389369
19,0,40,0.7704562990111299
21,0,20,0.9152120690559968
19,2,5,0.6126305499929003
19,0,40,0.8914034989732318
19,2,40,0.8508678600424901
21,0,20,0.8480662879999727
19,0,10,0.5519157550181262
19,2,25,0.9003375370171852
19,2,25,0.6594097589841112
19,2,20,0.5433525170083158
19,0,10,0.5231652469839901
21,2,10,0.5721676140325144
23,2,0,0.7768859500065446
19,0,15,0.7529878620407544
21,2,30,0.9593421120080166
19,0,25,0.8627065940527245
19,2,15,0.5501212190254591
23,0,30,0.796408195036929
19,2,25,0.6551602199906483
19,0,0,0.7464621299877763
21,0,10,0.5896838829503395
19,2,20,0.9260094260098413
23,0,40,0.8299909370252863
21,0,25,0.9305903630447574
21,0,10,0.6623945470200852
19,0,20,0.7277427460066974
21,2,10,0.7157414699904621
19,0,5,0.5394048880087212
23,0,5,0.7094933399697766
19,0,15,0.7482240250101313
19,2,20,0.8590340130031109
23,2,20,0.7690652250312269
21,2,25,0.6131670249858871
21,0,30,0.5348936709808186
19,0,5,0.6923318970366381
23,2,40,0.987459055997897
19,0,25,0.7365382799762301
21,0,30,0.7006146719795652
19,0,30,0.5822261940338649
23,0,35,0.9838269020384178
19,2,40,0.8517148990067653
21,2,30,0.9941651159897447
23,2,0,0.623841239977628
21,2,5,0.4416673619998619
19,2,35,0.9407124390476383
19,2,25,0.8876878700102679
23,2,25,0.6879784670076333
23,2,40,0.8210784040158615
23,2,10,0.788121429993771
19,0,35,0.9748488960321993
21,0,25,0.8221575589850545
19,0,0,0.5494830180075951
21,0,35,0.775124940990936
19,0,40,0.9274559300276451
23,2,15,0.6868985859910026
19,2,5,0.5523194740060717
23,0,5,0.5226416330086067
19,2,20,0.5944775239913724
23,0,10,0.8592031309963204
23,2,20,0.9671569759957492
23,0,10,0.6064929170208052
19,2,0,0.6483541449997574
23,2,10,0.5855013129999861
21,0,40,1.044493119046092
21,0,35,0.6843960160040297
23,2,15,0.5871068979729898
19,0,25,0.7691994540160522
19,0,15,0.6254024929949082
19,2,40,0.972710438980721
21,2,10,0.8550462800194509
23,2,10,0.8241569329984486
19,0,35,0.9460974580142647
19,2,30,0.8168865419691429
21,0,35,0.7905607519787736
21,2,15,0.5303655229858123
23,0,30,0.6591245620045811
23,2,40,0.9585413400316611
21,2,5,0.7109174259821884
21,0,35,0.7848810889991
21,2,40,1.0411454950342886
19,0,15,0.7955384100205265
21,2,5,0.5888286580215208
23,2,20,0.877273213956505
19,0,15,0.8781631939928047
23,2,10,0.617911740031559
21,0,30,0.9250624910346232
21,0,30,0.6185539830010384
21,0,20,0.6167306120041758
19,0,5,0.4926708689774387
23,2,30,0.9558981109992601
21,2,0,0.6341844989801757
21,2,15,0.4912674059625715
19,2,30,0.6128459559986368
19,2,20,0.7115547510096803
23,2,30,0.8371477529988624
23,2,0,0.6623708850238472
19,2,15,0.8011576140415855
19,0,0,0.4927568090264685
21,0,20,0.8614870829624124
19,0,15,0.8371916789910756
21,0,40,1.14038624195382
21,2,35,0.7689228699891828
23,2,5,0.5045704659889452
21,0,40,1.0216735560097732
21,0,15,0.6113350709783845
21,2,20,0.6538111680420116
23,2,35,0.8037801720201969
21,0,0,0.6824881049687974
23,2,5,0.4915234599728137
21,0,15,0.6779490149696358
21,0,25,0.7480445010005496
21,0,0,0.5457403949694708
19,0,5,0.6666610570158809
21,2,10,0.5704223839798942
23,2,30,0.7509343620273285
19,0,15,0.7592132409918122
21,2,30,0.6595174530521035
21,0,30,0.5783963640220463
19,0,0,0.837006522982847
21,0,40,0.8842245260020718
21,0,15,0.8364331509801559
19,0,20,0.8546939800144173
19,2,0,0.538001343945507
23,0,30,0.896709026012104
21,2,35,0.8661825400195085
21,2,15,0.5259655629633926
19,2,40,1.1056548610329628
23,2,0,0.5762423660024069
23,0,0,0.6481920030200854
19,2,25,0.9640987949678674
21,0,35,0.6881074060220271
23,0,5,0.6113951630541123
23,2,25,0.7143736170022748
19,2,10,0.6391069200471975
21,2,35,0.9969223749940284
23,2,40,0.965161641035229
23,0,25,0.8003382669994608
21,0,25,0.8037352769752033
23,0,30,0.9147593739908189
21,0,40,0.8986653910251334
21,2,15,0.8560053289984353
23,2,0,0.4336822919896804
23,2,35,0.619466224045027
21,0,10,0.7478023520088755
23,0,25,0.6710624669794925
21,2,35,0.9144014029880054
23,0,0,0.5135341300279833
21,0,10,0.643766775005497
23,2,30,0.7801932009751908
19,0,20,0.617125276022125
21,0,0,0.4460098999785259
23,2,0,0.6653636120026931
19,2,0,0.5566808770061471
23,0,5,0.5855583909782581
19,2,35,0.8738356159883551
21,2,5,0.8494443370145746
23,0,10,0.448656743997708
21,0,35,0.9060555910225958
19,0,40,0.8313753540278412
19,2,35,0.871478985005524
21,2,30,0.8914458730444312
23,0,25,0.7477134219952859
19,2,25,0.812151713995263
19,0,0,0.6000548659777269
