Letter,Direction,Eccentricity,Reaction Time (s)
E,2,40,0.1182955619879067
E,2,10,0.32156630891840905
E,2,30,0.05307588691357523
E,2,40,0.3370328071061522
E,2,40,0.3022713379468769
E,0,30,0.3163140600081533
E,0,0,0.22100462310481817
E,0,30,0.27997744004242122
E,0,40,0.19038011995144188
E,0,40,0.3214672589674592
E,0,0,0.3845095409778878
E,2,20,0.1361858838936314
E,0,20,0.33809571096207947
E,2,0,0.22256894307211041
E,0,10,0.2929854019638151
E,0,40,0.40912723804358393
E,2,40,0.4365404459647834
E,2,30,0.2653299861121923
E,0,0,0.41049342504702508
E,0,0,0.3916866770479828
E,0,20,0.12402513099368662
E,2,10,0.2296377379912883
E,0,0,0.37245344703551382
E,0,10,0.12992023397237062
E,0,10,0.33625944801606238
E,2,0,0.48006365494802594
E,0,10,0.3958406520076096
E,2,20,0.27091447196435183
E,0,20,0.1775980240199715
E,0,40,0.4811862639151514
E,0,30,0.14960569597315043
E,0,40,0.20619238505605608
E,2,0,0.19172863301355392
E,0,30,0.19614014204125851
E,2,30,0.23986211197916418
E,2,0,0.2462595890276134
E,0,40,0.2762002450414002
E,2,20,0.28501365198753774
E,0,10,0.4334856839850545
E,0,30,0.4853708749869838
E,2,0,0.4629515779670328
E,2,30,0.36330924392677844
E,0,20,0.2144169849343598
E,2,40,0.24420375504996628
E,0,10,0.2625558649888262
E,0,30,0.32021533395163715
E,0,0,0.21947230296209455
E,2,20,0.3760574780171737
E,0,40,0.23046123492531478
E,2,30,0.3285308969207108
E,2,10,0.4392177210887894
E,2,10,0.25983728002756834
E,2,0,0.3956038939068094
E,2,0,0.23164757702033967
E,2,20,0.21923883410636336
E,2,0,0.1547070280648768
E,0,10,0.30825825489591807
E,2,20,0.13218956300988793
E,2,10,0.3750001289183274
E,0,10,0.27682438995689154
E,0,0,0.04552562802564353
E,0,0,0.20548561494797468
E,2,10,0.31579052307642996
E,2,10,0.2831893990235403
E,0,20,0.24438860001973808
E,2,20,0.39863218895625323
E,2,10,0.36442349005956203
E,0,20,0.31833792198449373
E,2,20,0.2809029480209574
E,0,30,0.2691402219934389
E,0,20,0.322621587035246193
E,0,40,0.338000575033947825
E,2,40,0.23594884807243943
E,2,20,0.27385583696886897
E,2,30,0.27028731803875417
E,2,10,0.2861650689970702
E,2,0,0.17712782905437052
E,2,20,0.23249283996410668
E,2,40,0.21728904501069337
E,0,0,0.29235770794562995
E,2,0,0.22789733100216836
E,2,40,0.21675343899987638
E,2,30,0.012067056028172374
E,2,10,0.22642099289223552
E,0,20,0.13550486392341554
E,0,10,0.22184209807310253
E,0,30,0.009445336065255105
E,0,30,0.24915029993280768
E,2,30,0.11999066697899252
E,0,20,0.327721969075501
E,2,40,0.16051333397626877
E,0,40,0.22125921491533518
E,0,0,0.23903678392525762
E,2,30,0.5428753700107336
E,0,30,0.3033213870367035
E,2,30,0.21090021403506398
E,0,40,0.1735683949664235
E,0,20,0.4600016550393775
E,2,40,0.30999655295163393
E,0,10,0.31934599105734378
