Letter,Direction,Eccentricity,Reaction Time (s)
E,2,30,0.8076996249997137
P,0,30,0.5086129589999473
E,2,30,0.580037166999773
E,0,30,0.49862995800003773
E,0,10,0.40502333299991733
E,0,30,0.42892354099967633
E,2,30,0.4732501250000496
E,2,0,0.4715987499998846
E,2,20,0.4304730000003474
E,0,0,0.464891125000122
E,2,20,0.43930437500011976
E,2,10,0.4020155420002993
E,0,20,0.428611415999967
E,2,0,0.40142424999976356
E,0,40,0.44399650000013935
P,0,30,0.4295299579998755
E,0,10,0.44964000000027227
P,0,40,0.4414118330000747
E,2,40,0.45445529199969315
P,2,20,0.48086479199992027
P,0,0,0.5059012080000684
E,0,40,0.4992832500001896
E,2,20,0.4658393340000657
P,2,30,0.49348429200017563
E,0,10,0.430954292000024
P,2,10,0.44173466599977473
E,0,20,0.4076730830001907
P,0,20,0.5025302090002697
E,2,10,0.39227675000029194
P,2,40,0.5603927910001403
E,0,0,0.3910588749999988
P,2,0,0.526000791000115
E,0,0,0.4673517080000238
P,2,20,0.450160459000017
E,2,10,0.432598667000093
E,2,30,0.4746627909999006
E,2,0,0.45351549999986673
P,2,20,0.48079508399996485
E,2,10,0.44246949999978824
P,2,10,0.42410066599995844
E,0,40,0.5104553329997543
P,2,40,0.4706536670000787
P,0,10,0.49282020900000134
E,0,0,0.3955873330000941
E,0,0,0.4184529580002163
E,2,40,0.43202137499974924
P,0,20,0.43723983299969404
P,2,40,0.545990250000159
P,2,20,0.44513558300013756
P,2,10,0.4701554169996598
P,2,30,0.5369318749999366
P,2,40,0.46279158299967094
P,0,20,0.43148716699988654
P,0,40,0.46941941700015377
E,2,20,0.46457308400022157
E,2,30,0.5360990409999431
P,0,40,0.39318074999982855
P,2,40,0.4428568749999613
E,2,20,0.4796168329999091
P,0,30,0.41354445799970563
E,0,20,0.49429408300011346
P,0,0,0.48169483399988167
P,0,0,0.43715933299972676
E,2,0,0.42622391699978834
E,2,30,0.4544162080001115
P,0,0,0.4533215410001503
E,0,20,0.4646500419999029
P,2,0,0.40359591700007513
P,0,30,0.5046894170000087
E,0,20,0.44012920799968924
P,2,0,0.44316320899997663
E,2,0,0.40853170799982763
P,0,10,0.3864444589999039
P,0,30,0.44125837499996123
P,2,0,0.46393645899979674
E,0,40,0.5799585830000069
P,0,10,0.4369530419999137
E,2,40,0.4570480420002241
P,2,40,0.4658319170002869
E,0,40,0.48164712500010864
P,0,10,0.4569818340000893
P,2,30,0.5037130830000933
E,0,40,0.7591377079997983
E,2,40,0.49072837499988964
P,0,30,0.4445951669999886
E,2,10,0.4038558750003176
P,0,0,0.45236779100014246
E,2,20,0.4663149160001012
E,0,20,0.5229703750001136
P,0,30,0.4750672499999382
P,0,10,0.5082674999998744
P,0,10,0.4678662090000216
P,2,10,0.4572628750001968
P,0,10,0.4608954170003017
P,0,30,0.4721181249997244
E,0,40,0.5501425840002412
P,2,30,0.5318637919999674
P,0,20,0.43578708299992286
P,2,0,0.4514299170000413
P,2,10,0.48754637499996534
